"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule"
"1","lowatr_exit_peak_r20","1","year_split","1","phase0_yearly_model1","lowatr_exit_peak_r20.set","2024_full","2024.01.01","2024.12.31","1","configs\001_lowatr_exit_peak_r20_2024_full_m1.ini","lowatr_peak_r20_split_2024_full_m1","profiles\lowatr_exit_peak_r20.set","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if any yearly split is red, too sparse, or has weak recovery."
"2","lowatr_exit_peak_r20","1","year_split","2","phase0_yearly_model1","lowatr_exit_peak_r20.set","2025_full","2025.01.01","2025.12.31","1","configs\002_lowatr_exit_peak_r20_2025_full_m1.ini","lowatr_peak_r20_split_2025_full_m1","profiles\lowatr_exit_peak_r20.set","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if any yearly split is red, too sparse, or has weak recovery."
"3","lowatr_exit_peak_r20","1","year_split","3","phase0_yearly_model1","lowatr_exit_peak_r20.set","2026_ytd","2026.01.01","2026.07.12","1","configs\003_lowatr_exit_peak_r20_2026_ytd_m1.ini","lowatr_peak_r20_split_2026_ytd_m1","profiles\lowatr_exit_peak_r20.set","8F8C1395084BFBC23472D97A93C6E32FCB0AAC526C6AFE9BB53604F085FDD678","Reject if any yearly split is red, too sparse, or has weak recovery."
