"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","base_mfe_aug","full","full","2025_full","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T04:01:58","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_base_mfe_aug_2025_full."
"2","","base_mfe_aug","path","path","2025_mar_to_may","2025.03.01","2025.05.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T04:02:10","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_base_mfe_aug_2025_mar_to_may."
"3","","base_mfe_aug","path","path","2025_apr_to_may","2025.04.01","2025.05.31","PARSED_FROM_LOG","0","1000","2026-07-12T04:02:23","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_base_mfe_aug_2025_apr_to_may."
"4","","base_mfe_aug","path","path","2025_apr15_to_may","2025.04.15","2025.05.31","PARSED_FROM_LOG","0","1000","2026-07-12T04:02:34","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_base_mfe_aug_2025_apr15_to_may."
"5","","base_mfe_aug","target","target","2025_may","2025.05.01","2025.05.31","PARSED_FROM_LOG","0","1000","2026-07-12T04:02:46","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_base_mfe_aug_2025_may."
"6","","base_mfe_aug","guard","guard","2025_jun_guard","2025.06.01","2025.06.30","PARSED_FROM_LOG","0","1000","2026-07-12T04:02:57","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_base_mfe_aug_2025_jun_guard."
"7","","may_window_r280","full","full","2025_full","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T04:03:20","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r280_2025_full."
"8","","may_window_r280","path","path","2025_mar_to_may","2025.03.01","2025.05.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T04:03:33","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r280_2025_mar_to_may."
"9","","may_window_r280","path","path","2025_apr_to_may","2025.04.01","2025.05.31","PARSED_FROM_LOG","2475.99","3475.99","2026-07-12T04:03:46","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r280_2025_apr_to_may."
"10","","may_window_r280","path","path","2025_apr15_to_may","2025.04.15","2025.05.31","PARSED_FROM_LOG","2475.99","3475.99","2026-07-12T04:03:57","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r280_2025_apr15_to_may."
"11","","may_window_r280","target","target","2025_may","2025.05.01","2025.05.31","PARSED_FROM_LOG","2475.99","3475.99","2026-07-12T04:04:08","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r280_2025_may."
"12","","may_window_r280","guard","guard","2025_jun_guard","2025.06.01","2025.06.30","PARSED_FROM_LOG","0","1000","2026-07-12T04:04:19","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r280_2025_jun_guard."
"13","","may_window_r100","full","full","2025_full","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T04:04:42","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r100_2025_full."
"14","","may_window_r100","path","path","2025_mar_to_may","2025.03.01","2025.05.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T04:04:55","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r100_2025_mar_to_may."
"15","","may_window_r100","path","path","2025_apr_to_may","2025.04.01","2025.05.31","PARSED_FROM_LOG","1308.69","2308.69","2026-07-12T04:05:08","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r100_2025_apr_to_may."
"16","","may_window_r100","path","path","2025_apr15_to_may","2025.04.15","2025.05.31","PARSED_FROM_LOG","1308.69","2308.69","2026-07-12T04:05:21","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r100_2025_apr15_to_may."
"17","","may_window_r100","target","target","2025_may","2025.05.01","2025.05.31","PARSED_FROM_LOG","1308.69","2308.69","2026-07-12T04:05:32","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r100_2025_may."
"18","","may_window_r100","guard","guard","2025_jun_guard","2025.06.01","2025.06.30","PARSED_FROM_LOG","0","1000","2026-07-12T04:05:43","NO_REPORT","Tester finished but no report file was found for current_best_may_path_dependency_model0_may_window_r100_2025_jun_guard."
