"QueueRank","Candidate","Phase","Window","Model","Deposit","PackageConfig","ReportDestination","ExpectedReportName","ProfileSha256","SourceSha256","RunLabel","StopRule"
"1","ars_center","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\001_ars_center_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_center_older_2015_2018_m1","ars_center_older_2015_2018_m1","2D9AA958063D028E89837FD9B0B1A3459B2918AFD24A54DA51F23B87ABFA0BF5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"2","ars_center","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\002_ars_center_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_center_repair_2019_2020_m1","ars_center_repair_2019_2020_m1","2D9AA958063D028E89837FD9B0B1A3459B2918AFD24A54DA51F23B87ABFA0BF5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"3","ars_center","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\003_ars_center_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_center_continuous_2015_2020_m1","ars_center_continuous_2015_2020_m1","2D9AA958063D028E89837FD9B0B1A3459B2918AFD24A54DA51F23B87ABFA0BF5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"4","ars_sweep05","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\004_ars_sweep05_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep05_older_2015_2018_m1","ars_sweep05_older_2015_2018_m1","F0519B5BC425946243AD86BC43FD0C3F22555D71AB097A7A82AFF946028CC45E","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"5","ars_sweep05","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\005_ars_sweep05_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep05_repair_2019_2020_m1","ars_sweep05_repair_2019_2020_m1","F0519B5BC425946243AD86BC43FD0C3F22555D71AB097A7A82AFF946028CC45E","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"6","ars_sweep05","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\006_ars_sweep05_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep05_continuous_2015_2020_m1","ars_sweep05_continuous_2015_2020_m1","F0519B5BC425946243AD86BC43FD0C3F22555D71AB097A7A82AFF946028CC45E","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"7","ars_sweep15","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\007_ars_sweep15_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep15_older_2015_2018_m1","ars_sweep15_older_2015_2018_m1","7E467185527E6A3044101CB43A115392EBBC320B832B4CB0146C218E88E899D1","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"8","ars_sweep15","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\008_ars_sweep15_repair_2019_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep15_repair_2019_2020_m1","ars_sweep15_repair_2019_2020_m1","7E467185527E6A3044101CB43A115392EBBC320B832B4CB0146C218E88E899D1","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"9","ars_sweep15","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\009_ars_sweep15_continuous_2015_2020_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep15_continuous_2015_2020_m1","ars_sweep15_continuous_2015_2020_m1","7E467185527E6A3044101CB43A115392EBBC320B832B4CB0146C218E88E899D1","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
"10","ars_reclaim05","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_asian_range_sweep_discovery_model1_package\configs\010_ars_reclaim05_older_2015_2018_m1.ini","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_reclaim05_older_2015_2018_m1","ars_reclaim05_older_2015_2018_m1","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","Pre-2021 only: center plus at least two one-factor neighbors must each have both disjoint eras positive, continuous PF >=1.20, trades >=100, DD <=3.00%, positive payoff, and return/DD >=1.00."
