"Candidate","Role","OlderNet","OlderRetentionPercent","RecentNet","RecentRetentionPercent","ContinuousNet","NetGrowthPercent","CagrPercent","CagrGrowthPoints","ProfitFactor","Trades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdownRatio","PositiveEras","RetainsBothEras","SameTrades","EfficiencyNoWorse","DrawdownPass","GrowthPass","DiscoveryGatePass","Decision"
"rqri_control","control","1036.19","100","370.6","100","1379.93","0","2.18","0","1.88","261","1.05","11.6775","13.1429","True","True","True","True","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rqri_rr165","reward_upper","1029.41","99.35","354.88","95.76","1369.88","-0.73","2.16","-0.02","1.87","261","1.06","11.5925","12.9245","True","False","True","False","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rqri_risk065","risk_lower","1029.41","99.35","354.88","95.76","1369.88","-0.73","2.16","-0.02","1.87","261","1.06","11.5925","12.9245","True","False","True","False","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rqri_risk075","risk_upper","1029.41","99.35","354.88","95.76","1369.88","-0.73","2.16","-0.02","1.87","261","1.06","11.5925","12.9245","True","False","True","False","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rqri_body070","body_risk_diagnostic","1029.41","99.35","354.88","95.76","1369.88","-0.73","2.16","-0.02","1.87","261","1.06","11.5925","12.9245","True","False","True","False","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rqri_rr135","reward_lower","1029.41","99.35","354.88","95.76","1369.88","-0.73","2.16","-0.02","1.87","261","1.06","11.5925","12.9245","True","False","True","False","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"rqri_center150_070","center","1029.41","99.35","354.88","95.76","1369.88","-0.73","2.16","-0.02","1.87","261","1.06","11.5925","12.9245","True","False","True","False","True","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
