"QueueRank","Candidate","CandidateRank","SourceType","Phase","Window","Model","Deposit","ExpectedReportName","ProfileSha256","SourceSha256","StopRule","To","Set","BreakoutBufferATR","LookbackDays","Config","ADXFilter","EMAFilter","MinimumBodyPercent","MaximumSetupRangeATR","From","TakeProfitR","EMAPeriod","ChandelierTrail","MinimumVolumeRatio","ProfileSnapshot"
"11","dnrb_maxatr070","4","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_maxatr070_discovery_2019_2020_m1","F8E4BF7F48002BF1381D9DC4456874368254D6365EC8FA523E129CFA9A84CBBE","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_maxatr070.set","0.05","7","configs\011_dnrb_maxatr070_discovery_2019_2020_m1.ini","false","true","35.0","0.70","2019.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr070.set"
"12","dnrb_maxatr070","4","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_maxatr070_continuous_2015_2020_m1","F8E4BF7F48002BF1381D9DC4456874368254D6365EC8FA523E129CFA9A84CBBE","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_maxatr070.set","0.05","7","configs\012_dnrb_maxatr070_continuous_2015_2020_m1.ini","false","true","35.0","0.70","2015.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr070.set"
"13","dnrb_maxatr100","5","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_maxatr100_older_2015_2018_m1","147FC99B8D03111F7662C2F33DA01029ED2A9068FC3B379AF9BD29BFB21A2E9E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_maxatr100.set","0.05","7","configs\013_dnrb_maxatr100_older_2015_2018_m1.ini","false","true","35.0","1.00","2015.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr100.set"
"14","dnrb_maxatr100","5","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_maxatr100_discovery_2019_2020_m1","147FC99B8D03111F7662C2F33DA01029ED2A9068FC3B379AF9BD29BFB21A2E9E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_maxatr100.set","0.05","7","configs\014_dnrb_maxatr100_discovery_2019_2020_m1.ini","false","true","35.0","1.00","2019.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr100.set"
"15","dnrb_maxatr100","5","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_maxatr100_continuous_2015_2020_m1","147FC99B8D03111F7662C2F33DA01029ED2A9068FC3B379AF9BD29BFB21A2E9E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_maxatr100.set","0.05","7","configs\015_dnrb_maxatr100_continuous_2015_2020_m1.ini","false","true","35.0","1.00","2015.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr100.set"
"16","dnrb_buffer000","6","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_buffer000_older_2015_2018_m1","D9D86E2993B29B77E3DB983BE8317CBD2B1E2F9CAD5E37A29512306EA92345CB","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_buffer000.set","0.00","7","configs\016_dnrb_buffer000_older_2015_2018_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_buffer000.set"
"17","dnrb_buffer000","6","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_buffer000_discovery_2019_2020_m1","D9D86E2993B29B77E3DB983BE8317CBD2B1E2F9CAD5E37A29512306EA92345CB","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_buffer000.set","0.00","7","configs\017_dnrb_buffer000_discovery_2019_2020_m1.ini","false","true","35.0","0.85","2019.01.01","3.00","50","true","1.00","profiles\dnrb_buffer000.set"
"18","dnrb_buffer000","6","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_buffer000_continuous_2015_2020_m1","D9D86E2993B29B77E3DB983BE8317CBD2B1E2F9CAD5E37A29512306EA92345CB","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_buffer000.set","0.00","7","configs\018_dnrb_buffer000_continuous_2015_2020_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_buffer000.set"
"19","dnrb_buffer010","7","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_buffer010_older_2015_2018_m1","8458BDFBC506DCF1C7AE4ED8DFBD61080C3EF3F48C1D39EC95B5B4023A10BF1B","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_buffer010.set","0.10","7","configs\019_dnrb_buffer010_older_2015_2018_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_buffer010.set"
"20","dnrb_buffer010","7","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_buffer010_discovery_2019_2020_m1","8458BDFBC506DCF1C7AE4ED8DFBD61080C3EF3F48C1D39EC95B5B4023A10BF1B","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_buffer010.set","0.10","7","configs\020_dnrb_buffer010_discovery_2019_2020_m1.ini","false","true","35.0","0.85","2019.01.01","3.00","50","true","1.00","profiles\dnrb_buffer010.set"
"21","dnrb_buffer010","7","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_buffer010_continuous_2015_2020_m1","8458BDFBC506DCF1C7AE4ED8DFBD61080C3EF3F48C1D39EC95B5B4023A10BF1B","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_buffer010.set","0.10","7","configs\021_dnrb_buffer010_continuous_2015_2020_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_buffer010.set"
"22","dnrb_body025","8","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_body025_older_2015_2018_m1","A90265864377DE4E3100B3071FE550924FF782B9BC56C04A7F098FA7E1F935A0","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_body025.set","0.05","7","configs\022_dnrb_body025_older_2015_2018_m1.ini","false","true","25.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_body025.set"
"23","dnrb_body025","8","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_body025_discovery_2019_2020_m1","A90265864377DE4E3100B3071FE550924FF782B9BC56C04A7F098FA7E1F935A0","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_body025.set","0.05","7","configs\023_dnrb_body025_discovery_2019_2020_m1.ini","false","true","25.0","0.85","2019.01.01","3.00","50","true","1.00","profiles\dnrb_body025.set"
