"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","discovery_model1","","aer_move065.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_move065_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_move065_continuous_2015_2020_m1.htm","10000","2191","5.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_vol000.set","older_2015_2018","2015.01.01","2018.12.31","aer_vol000_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_vol000_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_vol000.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_vol000_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_vol000_discovery_2019_2020_m1.htm","10000","730","1.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_vol000.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_vol000_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_vol000_continuous_2015_2020_m1.htm","10000","2191","5.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_vol110.set","older_2015_2018","2015.01.01","2018.12.31","aer_vol110_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_vol110_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_vol110.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_vol110_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_vol110_discovery_2019_2020_m1.htm","10000","730","1.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_vol110.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_vol110_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_vol110_continuous_2015_2020_m1.htm","10000","2191","5.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_adx28.set","older_2015_2018","2015.01.01","2018.12.31","aer_adx28_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adx28_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_adx28.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_adx28_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adx28_discovery_2019_2020_m1.htm","10000","730","1.9986","-7.53","9992.47","-0.08","-0.04","-0.04","0","-7.53","0","0","1","1","7.53","0.08","7.53","7.53","-1"
"","","discovery_model1","","aer_adx28.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_adx28_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adx28_continuous_2015_2020_m1.htm","10000","2191","5.9986","-7.53","9992.47","-0.08","-0.01","-0.01","0","-7.53","0","0","1","1","7.53","0.08","7.53","7.53","-1"
"","","discovery_model1","","aer_adx36.set","older_2015_2018","2015.01.01","2018.12.31","aer_adx36_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adx36_older_2015_2018_m1.htm","10000","1460","3.9973","-8.64","9991.36","-0.09","-0.02","-0.02","0","-8.64","-3.96","0","1","1","8.64","0.09","8.64","8.64","-1"
"","","discovery_model1","","aer_adx36.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_adx36_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adx36_discovery_2019_2020_m1.htm","10000","730","1.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_adx36.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_adx36_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adx36_continuous_2015_2020_m1.htm","10000","2191","5.9986","-8.63","9991.37","-0.09","-0.01","-0.01","0.64","-2.16","-0.42","25","4","2","21.78","0.22","16.72","21.78","-0.3962"
"","","discovery_model1","","aer_wick50.set","older_2015_2018","2015.01.01","2018.12.31","aer_wick50_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_wick50_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_wick50.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_wick50_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_wick50_discovery_2019_2020_m1.htm","10000","730","1.9986","7.54","10007.54","0.08","0.04","0.04","1.93","3.77","0.19","50","2","1","14.5","0.14","8.08","14.5","0.52"
"","","discovery_model1","","aer_wick50.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_wick50_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_wick50_continuous_2015_2020_m1.htm","10000","2191","5.9986","7.54","10007.54","0.08","0.01","0.01","1.93","3.77","0.19","50","2","1","14.5","0.14","8.08","14.5","0.52"
"","","discovery_model1","","aer_rr135.set","older_2015_2018","2015.01.01","2018.12.31","aer_rr135_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_rr135_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_rr135.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_rr135_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_rr135_discovery_2019_2020_m1.htm","10000","730","1.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_rr135.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_rr135_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_rr135_continuous_2015_2020_m1.htm","10000","2191","5.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
