QueueRank,Candidate,Role,Window,From,To,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
11,tsslc_center_body040_cap020,center,later_2019_2020,2019.01.01,2020.12.31,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,6812E06DBE2E7F33F72A7F11951B3DAEC538FE198A8EAD8201D52203F3A65847,71F7BAEF2FC8CAA5D5B90C66DE013FF5A85F3977F5DD2BB269A3A69A3B9658BE,216EB8E05C0908FB3266B233ACA8BCC9FDB450BD6E53FC3EABA2FD6F6EB41A4C
12,tsslc_center_body040_cap020,center,continuous_2015_2020,2015.01.01,2020.12.31,1369.37,13.69,2.16,1.86,265,1.06,11.5881,12.9151,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,6812E06DBE2E7F33F72A7F11951B3DAEC538FE198A8EAD8201D52203F3A65847,4F941D0A32B350FAC479488B518384FC54CFEDCC3564B228427380920916A84C,FBD51CE357D0B62F65DC6FDEC8E44C5B2C3531B9030E4D985FB34DEDF2143C12
13,tsslc_body045,threshold_upper_neighbor,older_2015_2018,2015.01.01,2018.12.31,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,662A96FA015ABCB66B80B9DC5E4885DE44BDFD4CB650702711E99B8706AC6500,0AD0DD0865BD82CDEF1C269BF141A84F97622D264E5727CB1981FD2CC93E2C22,B15B6DD7256420EB0BA02496C9AB86C62632E6BB22A44DC99053902C90A302AA
14,tsslc_body045,threshold_upper_neighbor,later_2019_2020,2019.01.01,2020.12.31,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,662A96FA015ABCB66B80B9DC5E4885DE44BDFD4CB650702711E99B8706AC6500,B7D2D2C5B4466AAAEEDE04A8928E214C6093BC55D7EE406D74610A745D525B6D,0A854CB039DA1A38DE0066B00D1ABDDF6FBFE512ABEEE05FA49566D2CE103BD0
15,tsslc_body045,threshold_upper_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1353.74,13.54,2.14,1.85,265,1.06,11.4559,12.7736,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,662A96FA015ABCB66B80B9DC5E4885DE44BDFD4CB650702711E99B8706AC6500,90216EDA79E24A13724F5C39CE253F99C551EADBECDD91C5986BD598BCDD085E,1B70440A600F1719EC8208D0AF86B9A5076A71CF72800D67D0C639C1ECB57B00
16,tsslc_cap018,cap_lower_neighbor,older_2015_2018,2015.01.01,2018.12.31,1017.35,10.17,2.45,1.92,187,1.11,8.6797,9.1622,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,59FB5BA80452AE2583C9C1353147AC28F8C3FBE451A67518139E8153D5CB92FC,1F60A15AEFAE2620E6C4209B92C89C4CEAA2332F307D04E116306545B686DD3D,5A1007E28C58A217870FE7E97B68132B76E96538C49B61A9E46581595C0A04B1
17,tsslc_cap018,cap_lower_neighbor,later_2019_2020,2019.01.01,2020.12.31,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,59FB5BA80452AE2583C9C1353147AC28F8C3FBE451A67518139E8153D5CB92FC,B44DA545E6EA3278712B3663AB27B033388F2CF2E6E1DCD95FFA84A3FD39E4FD,5262468CB29FC94D624FEBEEAC60CDD530294E7280FD257EC67265A52AD06E6C
18,tsslc_cap018,cap_lower_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1369.37,13.69,2.16,1.86,265,1.06,11.5881,12.9151,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,59FB5BA80452AE2583C9C1353147AC28F8C3FBE451A67518139E8153D5CB92FC,2C5B48FA5D2CF13BAC68B175FC3304D7AF65BC01C9E0CE971A40F74A66EF32F9,21BBD345A3E914EC89BDA0C45ADFE648FEE10C8989D9128CF8CDAF35065AC1B5
19,tsslc_cap022,cap_upper_neighbor,older_2015_2018,2015.01.01,2018.12.31,1017.35,10.17,2.45,1.92,187,1.11,8.6797,9.1622,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,C64B0F32C617ED4E01475837023A816526C6784635B4932A644A306112D223C7,5FCF225089AED99D99B2BBBAD9CA918B64913F1FC0FDF47645F6E83FECD6000D,283B3BD02C805B64C6390B1EBFCB2DED96540BE74FA20F848390CAFE4BCBD06E
20,tsslc_cap022,cap_upper_neighbor,later_2019_2020,2019.01.01,2020.12.31,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,C64B0F32C617ED4E01475837023A816526C6784635B4932A644A306112D223C7,C724B48CC01AB511D4BD3D743567A3657ED9C72D985DF374424E84B899414339,23378B83C119F4A9C3659741071A21F669F7030C20ABE1839187EFB8535AB6E1
21,tsslc_cap022,cap_upper_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,1369.37,13.69,2.16,1.86,265,1.06,11.5881,12.9151,C5FF7608247DA628C5A8AF75BCAC31B70DEDCE42C7DBC2391F7B10F17847E054,189225B2743CCB77D1E246E0AF3578695CB70B4679354739C910579A7120F2CA,C64B0F32C617ED4E01475837023A816526C6784635B4932A644A306112D223C7,DD8F4F854DF71CE257EB9AAD0C66F71D262273DEA61699DA556038018CB4AC27,4A453C52A5B115A332065D94FDB59A92F82A2B5B827544344FEA88D4AAC3D2EE
