EntryTime,Lane,Volume,EntryBalance,InitialRiskMoney,LaneRiskPercent,LaneCapPercent,OpenPositionsAfterEntry,PortfolioInitialRiskPercent,PortfolioCapPercent,LanePass,PortfolioPass,EntryComment
2021-07-16T14:00:00,momentum,0.02,11072.02,13.92,0.1257,0.15,1,0.1257,0.75,True,True,MTSM_SELL
2021-07-19T15:00:00,momentum,0.02,11058.06,14.66,0.1326,0.15,1,0.1326,0.75,True,True,MTSM_SELL
2021-07-28T17:00:00,momentum,0.02,11043.38,13.78,0.1248,0.15,1,0.1248,0.75,True,True,MTSM_SELL
2021-08-17T09:00:00,momentum,0.02,11029.60,15.26,0.1384,0.15,1,0.1384,0.75,True,True,MTSM_BUY
2021-08-27T08:00:00,momentum,0.02,11025.20,14.68,0.1331,0.15,1,0.1331,0.75,True,True,MTSM_BUY
2021-09-14T20:00:00,reversion,0.08,11019.58,45.52,0.4131,0.45,1,0.4131,0.75,True,True,RRO;Band VWAP reversion;Upper
2021-09-29T12:00:00,momentum,0.02,11105.61,13.50,0.1216,0.15,1,0.1216,0.75,True,True,MTSM_BUY
2021-10-04T03:00:00,reversion,0.1,11092.09,28.40,0.2560,0.45,1,0.2560,0.75,True,True,RRO;Band VWAP reversion;Upper
2021-10-11T16:00:00,momentum,0.02,11233.89,14.84,0.1321,0.15,1,0.1321,0.75,True,True,MTSM_SELL
2021-10-18T10:00:00,momentum,0.02,11219.03,15.30,0.1364,0.15,1,0.1364,0.75,True,True,MTSM_SELL
2021-10-22T10:00:00,momentum,0.01,11210.45,8.76,0.0781,0.15,1,0.0781,0.75,True,True,MTSM_BUY
2021-10-25T17:00:00,momentum,0.01,11227.98,9.75,0.0868,0.15,1,0.0868,0.75,True,True,MTSM_BUY
2021-10-27T13:00:00,reversion,0.1,11225.40,39.20,0.3492,0.45,1,0.3492,0.75,True,True,RRO;Band VWAP reversion;Lower
2021-10-28T06:00:00,momentum,0.02,11336.10,11.88,0.1048,0.15,1,0.1048,0.75,True,True,MTSM_BUY
2021-11-09T13:00:00,reversion,0.1,11332.32,24.70,0.2180,0.45,1,0.2180,0.75,True,True,RRO;Band VWAP reversion;Upper
2021-11-12T11:00:00,momentum,0.02,11307.42,14.34,0.1268,0.15,1,0.1268,0.75,True,True,MTSM_SELL
2021-11-22T13:00:00,momentum,0.02,11293.08,16.04,0.1420,0.15,1,0.1420,0.75,True,True,MTSM_SELL
2021-11-23T11:00:00,momentum,0.01,11325.20,9.44,0.0834,0.15,1,0.0834,0.75,True,True,MTSM_SELL
2021-11-30T21:00:00,reversion,0.06,11344.10,46.80,0.4125,0.45,1,0.4125,0.75,True,True,RRO;Band VWAP reversion;Lower
2021-12-02T08:00:00,momentum,0.02,11423.86,12.78,0.1119,0.15,1,0.1119,0.75,True,True,MTSM_SELL
2021-12-09T16:00:00,adaptive_trend,0.01,11416.72,16.16,0.1415,0.15,1,0.1415,0.75,True,True,ATB_H4_SELL
2021-12-16T05:00:00,reversion,0.1,11411.27,25.50,0.2235,0.45,1,0.2235,0.75,True,True,RRO;Band VWAP reversion;Upper
2021-12-17T08:00:00,momentum,0.02,11385.77,15.96,0.1402,0.15,1,0.1402,0.75,True,True,MTSM_BUY
2021-12-21T15:00:00,momentum,0.02,11379.85,13.54,0.1190,0.15,1,0.1190,0.75,True,True,MTSM_BUY
2021-12-21T19:00:00,reversion,0.1,11366.67,39.40,0.3466,0.45,1,0.3466,0.75,True,True,RRO;Band VWAP reversion;Lower
2021-12-28T13:00:00,momentum,0.02,11447.51,11.64,0.1017,0.15,1,0.1017,0.75,True,True,MTSM_BUY
2022-01-28T12:00:00,momentum,0.02,11435.77,15.76,0.1378,0.15,1,0.1378,0.75,True,True,MTSM_SELL
2022-02-04T12:00:00,momentum,0.03,11439.94,16.89,0.1476,0.15,1,0.1476,0.75,True,True,MTSM_BUY
2022-02-16T12:00:00,momentum,0.02,11423.02,13.40,0.1173,0.15,1,0.1173,0.75,True,True,MTSM_BUY
2022-02-17T06:00:00,momentum,0.02,11409.56,15.14,0.1327,0.15,1,0.1327,0.75,True,True,MTSM_BUY
2022-03-17T11:12:30,momentum,0.02,11439.84,16.96,0.1483,0.15,1,0.1483,0.75,True,True,MTSM_BUY
2022-04-13T19:00:00,momentum,0.01,11441.52,9.71,0.0849,0.15,1,0.0849,0.75,True,True,MTSM_BUY
2022-04-18T10:00:00,momentum,0.02,11432.57,14.22,0.1244,0.15,1,0.1244,0.75,True,True,MTSM_BUY
2022-04-29T15:00:00,momentum,0.01,11422.47,9.91,0.0868,0.15,1,0.0868,0.75,True,True,MTSM_BUY
2022-05-18T07:00:00,momentum,0.01,11412.54,9.17,0.0804,0.15,1,0.0804,0.75,True,True,MTSM_SELL
2022-05-23T07:00:00,momentum,0.01,11405.56,9.37,0.0822,0.15,1,0.0822,0.75,True,True,MTSM_BUY
2022-05-27T11:00:00,momentum,0.02,11406.50,13.68,0.1199,0.15,1,0.1199,0.75,True,True,MTSM_BUY
2022-06-02T10:00:00,momentum,0.02,11392.82,16.50,0.1448,0.15,1,0.1448,0.75,True,True,MTSM_BUY
2022-06-27T10:00:00,momentum,0.03,11425.82,13.11,0.1147,0.15,1,0.1147,0.75,True,True,MTSM_BUY
2022-06-29T10:00:00,momentum,0.03,11412.68,16.05,0.1406,0.15,1,0.1406,0.75,True,True,MTSM_SELL
2022-07-01T07:00:00,momentum,0.02,11396.60,12.70,0.1114,0.15,1,0.1114,0.75,True,True,MTSM_SELL
2022-07-08T11:00:00,momentum,0.02,11422.02,15.66,0.1371,0.15,1,0.1371,0.75,True,True,MTSM_SELL
2022-07-20T10:00:00,momentum,0.02,11406.34,12.98,0.1138,0.15,1,0.1138,0.75,True,True,MTSM_SELL
2022-07-20T20:00:00,adaptive_trend,0.01,11393.28,16.15,0.1418,0.15,1,0.1418,0.75,True,True,ATB_H4_SELL
2022-07-21T10:00:00,momentum,0.03,11393.28,14.55,0.1277,0.15,2,0.2695,0.75,True,True,MTSM_SELL
2022-08-11T06:00:00,momentum,0.02,11396.09,16.08,0.1411,0.15,1,0.1411,0.75,True,True,MTSM_SELL
2022-08-16T16:00:00,momentum,0.02,11387.47,14.12,0.1240,0.15,1,0.1240,0.75,True,True,MTSM_SELL
2022-08-19T08:00:00,momentum,0.02,11373.24,11.64,0.1023,0.15,1,0.1023,0.75,True,True,MTSM_SELL
2022-08-22T09:00:00,momentum,0.02,11366.26,11.60,0.1021,0.15,1,0.1021,0.75,True,True,MTSM_SELL
2022-09-06T16:00:00,momentum,0.01,11389.44,8.70,0.0764,0.15,1,0.0764,0.75,True,True,MTSM_SELL
2022-09-15T07:00:00,momentum,0.02,11397.95,11.66,0.1023,0.15,1,0.1023,0.75,True,True,MTSM_SELL
2022-09-28T10:00:00,momentum,0.01,11399.09,8.63,0.0757,0.15,1,0.0757,0.75,True,True,MTSM_SELL
2022-10-10T07:00:00,momentum,0.01,11390.46,9.90,0.0869,0.15,1,0.0869,0.75,True,True,MTSM_SELL
2022-10-11T06:00:00,momentum,0.01,11410.26,8.67,0.0760,0.15,1,0.0760,0.75,True,True,MTSM_SELL
2022-10-21T07:00:00,momentum,0.02,11405.48,14.28,0.1252,0.15,1,0.1252,0.75,True,True,MTSM_SELL
