"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"conflict_may2p35","26","26","3598.02","","","","","","0","0"
"conflict_may2p25","26","26","3479.95","","","","","","0","0"
"conflict_may2p65","26","26","3207.23","","","","","","0","0"
"conflict_may2p50","26","26","3172.04","","","","","","0","0"
"conflict_may2p75","26","26","2834.44","","","","","","-264.4","1"
