"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"base","13","13","11366.37","6222.35","1107.93","214.3","2390.2","","0","0"
"m5_flat_strict_align","13","13","5677.73","2002.28","20.66","214.62","2002.28","","-16.72","5"
"m5_active_only","13","13","5902.16","1936.68","378.06","213.12","1936.68","","-13.25","5"
"m5_flat_micro_free","13","13","6344.07","1771.02","1119.87","42.33","1984.59","","-7.95","3"
