"QueueRank","Candidate","Window","Model","ExpectedReportName","Status","SourcePath","DestinationPath","Action"
"1","r10_pg40_atr085_adapt7","2019_full","4","peak_r20_oos_r10_pg40_atr085_adapt7_2019_full_m4","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\peak_r20_oos_r10_pg40_atr085_adapt7_2019_full_m4.htm","outputs\peak_r20_regime_combo_model4_yearly_package\reports_here\peak_r20_oos_r10_pg40_atr085_adapt7_2019_full_m4.htm","Moved to reports_here"
"2","r10_pg40_atr085_adapt7","2020_full","4","peak_r20_oos_r10_pg40_atr085_adapt7_2020_full_m4","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\peak_r20_oos_r10_pg40_atr085_adapt7_2020_full_m4.htm","outputs\peak_r20_regime_combo_model4_yearly_package\reports_here\peak_r20_oos_r10_pg40_atr085_adapt7_2020_full_m4.htm","Moved to reports_here"
"3","r10_pg40_atr085_adapt7","2021_full","4","peak_r20_oos_r10_pg40_atr085_adapt7_2021_full_m4","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\peak_r20_oos_r10_pg40_atr085_adapt7_2021_full_m4.htm","outputs\peak_r20_regime_combo_model4_yearly_package\reports_here\peak_r20_oos_r10_pg40_atr085_adapt7_2021_full_m4.htm","Moved to reports_here"
"4","r10_pg40_atr085_adapt7","2022_full","4","peak_r20_oos_r10_pg40_atr085_adapt7_2022_full_m4","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\peak_r20_oos_r10_pg40_atr085_adapt7_2022_full_m4.htm","outputs\peak_r20_regime_combo_model4_yearly_package\reports_here\peak_r20_oos_r10_pg40_atr085_adapt7_2022_full_m4.htm","Moved to reports_here"
"5","r10_pg40_atr085_adapt7","2023_full","4","peak_r20_oos_r10_pg40_atr085_adapt7_2023_full_m4","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\peak_r20_oos_r10_pg40_atr085_adapt7_2023_full_m4.htm","outputs\peak_r20_regime_combo_model4_yearly_package\reports_here\peak_r20_oos_r10_pg40_atr085_adapt7_2023_full_m4.htm","Moved to reports_here"
"6","r10_pg40_atr085_adapt7","2024_full","4","peak_r20_oos_r10_pg40_atr085_adapt7_2024_full_m4","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\peak_r20_oos_r10_pg40_atr085_adapt7_2024_full_m4.htm","outputs\peak_r20_regime_combo_model4_yearly_package\reports_here\peak_r20_oos_r10_pg40_atr085_adapt7_2024_full_m4.htm","Moved to reports_here"
"7","r10_pg40_atr085_adapt7","2025_full","4","peak_r20_oos_r10_pg40_atr085_adapt7_2025_full_m4","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\peak_r20_oos_r10_pg40_atr085_adapt7_2025_full_m4.htm","outputs\peak_r20_regime_combo_model4_yearly_package\reports_here\peak_r20_oos_r10_pg40_atr085_adapt7_2025_full_m4.htm","Moved to reports_here"
"8","r10_pg40_atr085_adapt7","2026_ytd","4","peak_r20_oos_r10_pg40_atr085_adapt7_2026_ytd_m4","ROUTED","outputs\returned_mt5_reports\first_pass_inbox\peak_r20_oos_r10_pg40_atr085_adapt7_2026_ytd_m4.htm","outputs\peak_r20_regime_combo_model4_yearly_package\reports_here\peak_r20_oos_r10_pg40_atr085_adapt7_2026_ytd_m4.htm","Moved to reports_here"
