QueueRank,Candidate,Role,Window,From,To,AgreementEnabled,AgreementRiskPercent,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,SourceSha256,BinarySha256,ProfileSha256,ConfigSha256,ReportSha256
1,maa_control,control,older_2015_2018,2015.01.01,2018.12.31,false,0.25,1001.72,10.02,2.42,1.9,187,1.11,8.5464,9.027,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,FD4039C7CF9B443CF0FF37B3F3A176991E420C0FA788361D22E20ECE47DC23FC,9B51C70F0875D9B352E5213B876D1D6CB00B53C0A6122FD1D7C9A21DBFA881FA,C1C74F57F0ABDAB36D587C771299DDC0D05EC17A4B9F4CC0A4523D0233CDC8D9
2,maa_control,control,later_2019_2020,2019.01.01,2020.12.31,false,0.25,370.41,3.7,1.84,1.94,75,0.93,3.9135,3.9785,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,FD4039C7CF9B443CF0FF37B3F3A176991E420C0FA788361D22E20ECE47DC23FC,0E204460B5E79C745F1C38D09E3EF865AE7D582BA5E3B79735A38732E4F6820A,592836FF074906B2D7932A9BC1676467BDF07989E3837ADB17DC07B9F9936D4D
3,maa_control,control,continuous_2015_2020,2015.01.01,2020.12.31,false,0.25,1353.74,13.54,2.14,1.85,265,1.06,11.4559,12.7736,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,FD4039C7CF9B443CF0FF37B3F3A176991E420C0FA788361D22E20ECE47DC23FC,B753F4CF93880DC91D9D91EF2056DC2E8C977FF404A0FA1C1A6E9B76EF98367E,865AB33957E36092487B9D443EA93F9F4E3950E5F58F118C6A7E370571C6C2C4
4,maa_r020,conservative_neighbor,older_2015_2018,2015.01.01,2018.12.31,true,0.2,975.72,9.76,2.36,1.84,187,1.11,8.3245,8.7928,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,34DAD91D0F1156AF5061BD5A6E35D46DF5AC95B780A2C2B4F2A88B6EC7A3858A,48F6FD60EA8AD92783326238F222106BA77A4807B573B7D6FD96F9526555F57A,25197C8E43BE66F1DD2793B932DA832B3EC79D02D36CC771DF15C33542E4D1FF
5,maa_r020,conservative_neighbor,later_2019_2020,2019.01.01,2020.12.31,true,0.2,376.05,3.76,1.86,1.92,75,0.99,3.7594,3.798,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,34DAD91D0F1156AF5061BD5A6E35D46DF5AC95B780A2C2B4F2A88B6EC7A3858A,61471D464CAAADEBDC74F3C5293197972E059DC7BCB9F3FBB87AA025F1AB6C9D,07D0B7582FB1C52C0360EC2A4698CC2787471E6837C4D5B114B2E1C33C98DF14
6,maa_r020,conservative_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,true,0.2,1338.46,13.38,2.12,1.81,265,1.11,10.8333,12.0541,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,34DAD91D0F1156AF5061BD5A6E35D46DF5AC95B780A2C2B4F2A88B6EC7A3858A,FACB80A00A95F4D5A910BA9286221431B1BA6E56CAE433DA53DF3B7E8282F41C,F94E0A3D5AC591FBA1D778990479B62A0349B42E594F1C3D3DC1990EFEDBCF46
7,maa_r0225,lower_neighbor,older_2015_2018,2015.01.01,2018.12.31,true,0.225,1003.28,10.03,2.42,1.85,187,1.11,8.5597,9.036,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,17B67B6CB9038AB385BD499EA5A883C457E81E43FA440061E462AB59A316457A,73CCAEFF2F53A40181F7BA1A87EE24692FD982F409E0C19704593EAD06AEEF43,8171AAFBD4199B5686CB76C97AE30213FEA13BF7A9E57DD1C938D40B7E79F2C6
8,maa_r0225,lower_neighbor,later_2019_2020,2019.01.01,2020.12.31,true,0.225,424.24,4.24,2.1,2.04,75,0.98,4.2411,4.3265,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,17B67B6CB9038AB385BD499EA5A883C457E81E43FA440061E462AB59A316457A,285D8AC2715329B5B3B3D5D972F3A9F1228E80116ACF9181969AC1EF6BAF1B17,E056518554D9C7CD63F2E67F9F65868D1423C78F639D5D83CE58309A7BC40D21
9,maa_r0225,lower_neighbor,continuous_2015_2020,2015.01.01,2020.12.31,true,0.225,1377.3,13.77,2.17,1.82,265,1.15,10.6834,11.9739,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,17B67B6CB9038AB385BD499EA5A883C457E81E43FA440061E462AB59A316457A,8CAAA0078E6B267590046C64F3399193A4BFF0EE4610A6BAD8446F9585769957,B5392CBA8AEBF8D99DED5A439BAB6F6D1DDEFE85CD87D905C7C673916635F22A
10,maa_center_r025,center,older_2015_2018,2015.01.01,2018.12.31,true,0.25,969.89,9.7,2.34,1.81,187,1.11,8.2748,8.7387,6402A284BE2C4BDBEC2F44B8851650C64A6AEBAD87A35CF8CA2BD8A0275206D2,AB22F7E064642EC48DDEABC2309D7A99FC8EE36C274CB25167AD605B332EE936,3E93AE071B5229AD98B31AD8D367B823420DEE5032EC44213F0DF3A4344A297C,F340E8B0CA4623E51C4CC2C39DB192BED9A0B8100A25500F07AFD170D0385973,09FBCCA6C7EE2786CAED5BD794D7A1FE48D99CA2280E37C99FE57EB7FDF23A7E
