"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","idb_center","discovery_model1","Independent M15 inside-day breakout discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\001_idb_center_older_2015_2018_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\001_idb_center_older_2015_2018_m1.ini","idb_center_older_2015_2018_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_older_2015_2018_m1","BF3464984E90126F94613BD3BA69EDD142E446BD031720D7F3A2871A949D76D9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"3","idb_center","discovery_model1","Independent M15 inside-day breakout discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\002_idb_center_discovery_2019_2020_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\002_idb_center_discovery_2019_2020_m1.ini","idb_center_discovery_2019_2020_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_discovery_2019_2020_m1","BF3464984E90126F94613BD3BA69EDD142E446BD031720D7F3A2871A949D76D9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"4","idb_center","discovery_model1","Independent M15 inside-day breakout discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\003_idb_center_continuous_2015_2020_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\003_idb_center_continuous_2015_2020_m1.ini","idb_center_continuous_2015_2020_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_continuous_2015_2020_m1","BF3464984E90126F94613BD3BA69EDD142E446BD031720D7F3A2871A949D76D9","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"6","idb_ratio065","discovery_model1","Independent M15 inside-day breakout discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\004_idb_ratio065_older_2015_2018_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\004_idb_ratio065_older_2015_2018_m1.ini","idb_ratio065_older_2015_2018_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_older_2015_2018_m1","5F088E13F0E4E02473963FE917B30C4866EB9909E3DA7AAB27D9B2976E540C10","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"7","idb_ratio065","discovery_model1","Independent M15 inside-day breakout discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\005_idb_ratio065_discovery_2019_2020_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\005_idb_ratio065_discovery_2019_2020_m1.ini","idb_ratio065_discovery_2019_2020_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_discovery_2019_2020_m1","5F088E13F0E4E02473963FE917B30C4866EB9909E3DA7AAB27D9B2976E540C10","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"9","idb_ratio065","discovery_model1","Independent M15 inside-day breakout discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\006_idb_ratio065_continuous_2015_2020_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\006_idb_ratio065_continuous_2015_2020_m1.ini","idb_ratio065_continuous_2015_2020_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_continuous_2015_2020_m1","5F088E13F0E4E02473963FE917B30C4866EB9909E3DA7AAB27D9B2976E540C10","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"10","idb_ratio085","discovery_model1","Independent M15 inside-day breakout discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\007_idb_ratio085_older_2015_2018_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\007_idb_ratio085_older_2015_2018_m1.ini","idb_ratio085_older_2015_2018_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_older_2015_2018_m1","49B8FC48FB8111D19053036B4F1C7EB0A5E5B6E4DB97CAB1B61B5E37490A0C28","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"12","idb_ratio085","discovery_model1","Independent M15 inside-day breakout discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\008_idb_ratio085_discovery_2019_2020_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\008_idb_ratio085_discovery_2019_2020_m1.ini","idb_ratio085_discovery_2019_2020_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_discovery_2019_2020_m1","49B8FC48FB8111D19053036B4F1C7EB0A5E5B6E4DB97CAB1B61B5E37490A0C28","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"13","idb_ratio085","discovery_model1","Independent M15 inside-day breakout discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\009_idb_ratio085_continuous_2015_2020_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\009_idb_ratio085_continuous_2015_2020_m1.ini","idb_ratio085_continuous_2015_2020_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_continuous_2015_2020_m1","49B8FC48FB8111D19053036B4F1C7EB0A5E5B6E4DB97CAB1B61B5E37490A0C28","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"15","idb_minratio015","discovery_model1","Independent M15 inside-day breakout discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\010_idb_minratio015_older_2015_2018_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\010_idb_minratio015_older_2015_2018_m1.ini","idb_minratio015_older_2015_2018_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_minratio015_older_2015_2018_m1","AB44B1F7D7118CC62CBE78D0F20B905AEAB8A022336EDD71AF28B9A657B15ABD","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"16","idb_minratio015","discovery_model1","Independent M15 inside-day breakout discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\011_idb_minratio015_discovery_2019_2020_m1.ini","outputs\independent_m15_inside_day_breakout_discovery_model1_package\configs\011_idb_minratio015_discovery_2019_2020_m1.ini","idb_minratio015_discovery_2019_2020_m1","outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_minratio015_discovery_2019_2020_m1","AB44B1F7D7118CC62CBE78D0F20B905AEAB8A022336EDD71AF28B9A657B15ABD","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
