"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","StrongSignalMinimumBodyRatio","StrongSignalMaximumPositionLots","HighRewardLotCapEnabled","HighRewardMinimumRiskReward","HighRewardMaximumPositionLots","ReversionRiskPercent","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","hrlc_control","1","control","high_reward_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.25","0.15","false","2.50","0.20","0.45","0.75","hrlc_control_older_2015_2018_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\001_hrlc_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\001_hrlc_control_older_2015_2018_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_control_older_2015_2018_m1","D30FF0852B98E31FDD2909B3B8C4FE66AC540D473CC7FE41E6F2BBB5E8E49663","0E62F49458B842BFD099D92845FD30B75419977DEFE6F208752536AC5FAC359B","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"2","hrlc_control","1","control","high_reward_lot_cap_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.25","0.15","false","2.50","0.20","0.45","0.75","hrlc_control_later_2019_2020_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\002_hrlc_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\002_hrlc_control_later_2019_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_control_later_2019_2020_m1","373704D9578B964251753BD3D944A440C61FF53F810847B4011DBE97B1703E01","0E62F49458B842BFD099D92845FD30B75419977DEFE6F208752536AC5FAC359B","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"3","hrlc_control","1","control","high_reward_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.25","0.15","false","2.50","0.20","0.45","0.75","hrlc_control_continuous_2015_2020_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\003_hrlc_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\003_hrlc_control_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_control_continuous_2015_2020_m1","EBC8D26A3F6C38BD483E2E7CC333037786BBE73C914D8D01269F0EAF237809E9","0E62F49458B842BFD099D92845FD30B75419977DEFE6F208752536AC5FAC359B","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"4","hrlc_strong020_reference","2","broad_reference","high_reward_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.25","0.20","false","2.50","0.20","0.45","0.75","hrlc_strong020_reference_older_2015_2018_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\004_hrlc_strong020_reference_older_2015_2018_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\004_hrlc_strong020_reference_older_2015_2018_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_strong020_reference_older_2015_2018_m1","BBF132D75A0610F9908F1304A28D21E55173CC46649813DCA24EC8ADB8988567","CD32EF749414F40857E50D661F1F39CE297DCA119E2B3197B7B4C9FF0ACE64E8","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"5","hrlc_strong020_reference","2","broad_reference","high_reward_lot_cap_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.25","0.20","false","2.50","0.20","0.45","0.75","hrlc_strong020_reference_later_2019_2020_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\005_hrlc_strong020_reference_later_2019_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\005_hrlc_strong020_reference_later_2019_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_strong020_reference_later_2019_2020_m1","4415D0E0E60C167FA41AE4F28111E708451DE7AADBF1FC80BC9E3382F4617FFC","CD32EF749414F40857E50D661F1F39CE297DCA119E2B3197B7B4C9FF0ACE64E8","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"6","hrlc_strong020_reference","2","broad_reference","high_reward_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.25","0.20","false","2.50","0.20","0.45","0.75","hrlc_strong020_reference_continuous_2015_2020_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\006_hrlc_strong020_reference_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\006_hrlc_strong020_reference_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_strong020_reference_continuous_2015_2020_m1","C0988040BA53DECE8F07263F9685341C92195B6144F62DBF615D0B196622F9BB","CD32EF749414F40857E50D661F1F39CE297DCA119E2B3197B7B4C9FF0ACE64E8","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"7","hrlc_rr200","3","threshold_lower_neighbor","high_reward_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.25","0.15","true","2.00","0.20","0.45","0.75","hrlc_rr200_older_2015_2018_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\007_hrlc_rr200_older_2015_2018_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\007_hrlc_rr200_older_2015_2018_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_rr200_older_2015_2018_m1","A94EE7EC4353DE34167219459BEEF75A961595FCF86EDED1307C1806A66C39C2","7AD057CC310C109C756D7F1CD9EB1711EFF367D1933A737164AFF5831C4CCCEC","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"8","hrlc_rr200","3","threshold_lower_neighbor","high_reward_lot_cap_discovery_model1","later_2019_2020","2019.01.01","2020.12.31","1","10000","0.25","0.15","true","2.00","0.20","0.45","0.75","hrlc_rr200_later_2019_2020_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\008_hrlc_rr200_later_2019_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\008_hrlc_rr200_later_2019_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_rr200_later_2019_2020_m1","81090B7BDB1D942169A283792F40658650E45D97E28EAEFB8AC81FF24FB09974","7AD057CC310C109C756D7F1CD9EB1711EFF367D1933A737164AFF5831C4CCCEC","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"9","hrlc_rr200","3","threshold_lower_neighbor","high_reward_lot_cap_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","0.25","0.15","true","2.00","0.20","0.45","0.75","hrlc_rr200_continuous_2015_2020_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\009_hrlc_rr200_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\009_hrlc_rr200_continuous_2015_2020_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_rr200_continuous_2015_2020_m1","6DE5FE24DAE102C62C72080DA85010040C362F7F377CF03F454CCB073682AA71","7AD057CC310C109C756D7F1CD9EB1711EFF367D1933A737164AFF5831C4CCCEC","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
"10","hrlc_center_rr250_cap020","4","center","high_reward_lot_cap_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","0.25","0.15","true","2.50","0.20","0.45","0.75","hrlc_center_rr250_cap020_older_2015_2018_m1","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\010_hrlc_center_rr250_cap020_older_2015_2018_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\configs\010_hrlc_center_rr250_cap020_older_2015_2018_m1.ini","outputs\three_lane_reversion_high_reward_lot_cap_discovery_model1_package\reports_here\hrlc_center_rr250_cap020_older_2015_2018_m1","B7BD762DE83EF9FA7E991FCD2A530A2FC82D3918FDFB3A7E96B4215FF8488F30","5A6988527BD8D130D42637B1906FBADBED37E4C45E8CDBDFC5D1D4C2D39F488F","3CB0574945CD4A7A486408EF5BCE58648392383C43BFEE6EB1F58B424698302F","Sealed pre-2021 discovery. Every report positive. Center no worse than control in both eras; continuous net >= control +4%; CAGR >= control +0.06 point; PF/recovery/return-DD >= control; DD <=1.18% and <=control +0.08 point; trades >=control -2. Center retains >=50% of broad-reference increment and improves DD/recovery/return-DD versus the reference. At least 3 of 4 orthogonal neighbors pass both eras, >=2.5% net improvement, >=97% efficiency, DD <=1.22%, and changed behavior. No post-result rescue."
