"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","m30sc_24_12_tp20","discovery_model1","Independent M30 structure channel discovery Model1","older_2015_2018","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\001_m30sc_24_12_tp20_older_2015_2018_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\001_m30sc_24_12_tp20_older_2015_2018_m1.ini","m30sc_24_12_tp20_older_2015_2018_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_24_12_tp20_older_2015_2018_m1","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"2","m30sc_24_12_tp20","discovery_model1","Independent M30 structure channel discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\002_m30sc_24_12_tp20_discovery_2019_2020_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\002_m30sc_24_12_tp20_discovery_2019_2020_m1.ini","m30sc_24_12_tp20_discovery_2019_2020_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_24_12_tp20_discovery_2019_2020_m1","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"3","m30sc_24_12_tp20","discovery_model1","Independent M30 structure channel discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\003_m30sc_24_12_tp20_continuous_2015_2020_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\003_m30sc_24_12_tp20_continuous_2015_2020_m1.ini","m30sc_24_12_tp20_continuous_2015_2020_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_24_12_tp20_continuous_2015_2020_m1","76E4238247E205150F48CD12C8A22BD50BFE1BF7FD3347D9F9111411D7065FEC","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"4","m30sc_48_24_tp20","discovery_model1","Independent M30 structure channel discovery Model1","older_2015_2018","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\004_m30sc_48_24_tp20_older_2015_2018_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\004_m30sc_48_24_tp20_older_2015_2018_m1.ini","m30sc_48_24_tp20_older_2015_2018_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_48_24_tp20_older_2015_2018_m1","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"5","m30sc_48_24_tp20","discovery_model1","Independent M30 structure channel discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\005_m30sc_48_24_tp20_discovery_2019_2020_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\005_m30sc_48_24_tp20_discovery_2019_2020_m1.ini","m30sc_48_24_tp20_discovery_2019_2020_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_48_24_tp20_discovery_2019_2020_m1","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"6","m30sc_48_24_tp20","discovery_model1","Independent M30 structure channel discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\006_m30sc_48_24_tp20_continuous_2015_2020_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\006_m30sc_48_24_tp20_continuous_2015_2020_m1.ini","m30sc_48_24_tp20_continuous_2015_2020_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_48_24_tp20_continuous_2015_2020_m1","25B863BF9DC8E08CDAA529F86BA323FA3B8FC513FAAB42C604688A3C3FD41488","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"7","m30sc_72_36_tp20","discovery_model1","Independent M30 structure channel discovery Model1","older_2015_2018","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\007_m30sc_72_36_tp20_older_2015_2018_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\007_m30sc_72_36_tp20_older_2015_2018_m1.ini","m30sc_72_36_tp20_older_2015_2018_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_72_36_tp20_older_2015_2018_m1","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"8","m30sc_72_36_tp20","discovery_model1","Independent M30 structure channel discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\008_m30sc_72_36_tp20_discovery_2019_2020_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\008_m30sc_72_36_tp20_discovery_2019_2020_m1.ini","m30sc_72_36_tp20_discovery_2019_2020_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_72_36_tp20_discovery_2019_2020_m1","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"9","m30sc_72_36_tp20","discovery_model1","Independent M30 structure channel discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\009_m30sc_72_36_tp20_continuous_2015_2020_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\009_m30sc_72_36_tp20_continuous_2015_2020_m1.ini","m30sc_72_36_tp20_continuous_2015_2020_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_72_36_tp20_continuous_2015_2020_m1","5402879C4DC8B2D4365C0B15781A8C652000022F48BAFB141770F065182A29F4","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
"10","m30sc_48_24_tp15","discovery_model1","Independent M30 structure channel discovery Model1","older_2015_2018","1","10000","outputs\independent_m30_structure_channel_discovery_model1_package\configs\010_m30sc_48_24_tp15_older_2015_2018_m1.ini","outputs\independent_m30_structure_channel_discovery_model1_package\configs\010_m30sc_48_24_tp15_older_2015_2018_m1.ini","m30sc_48_24_tp15_older_2015_2018_m1","outputs\independent_m30_structure_channel_discovery_model1_package\reports_here\m30sc_48_24_tp15_older_2015_2018_m1","3AE01BEE59077B4C73158993A92F9DA6032E36CF5642561404C00123C6C11A29","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 100 continuous trades, DD at or below 5%, and support from a neighboring channel/exit shape before opening 2021-2026."
