Profile,Year,Trades,NetProfit
hp1.00_mr1.50_dd0.00_rv0.50,2015,2,133.03
hp1.00_mr1.50_dd0.00_rv0.50,2016,0,0.0
hp1.00_mr1.50_dd0.00_rv0.50,2017,3,35.67
hp1.00_mr1.50_dd0.00_rv0.50,2018,3,158.73
hp1.00_mr1.50_dd0.00_rv0.50,2019,5,-55.39
hp1.00_mr1.50_dd0.00_rv0.50,2020,26,1531.24
hp1.00_mr1.50_dd0.00_rv0.50,2021,22,1426.51
hp1.00_mr1.50_dd0.00_rv0.50,2022,28,819.88
hp1.00_mr1.50_dd0.00_rv0.50,2023,25,528.1
hp1.00_mr1.50_dd0.00_rv0.50,2024,31,4012.65
hp1.00_mr1.50_dd0.00_rv0.50,2025,30,1637.35
hp1.00_mr1.50_dd0.00_rv0.50,2026,12,2365.02
hp1.00_mr1.50_dd0.00_rv0.40,2015,2,106.57
hp1.00_mr1.50_dd0.00_rv0.40,2016,0,0.0
hp1.00_mr1.50_dd0.00_rv0.40,2017,3,28.68
hp1.00_mr1.50_dd0.00_rv0.40,2018,3,126.56
hp1.00_mr1.50_dd0.00_rv0.40,2019,5,-55.04
hp1.00_mr1.50_dd0.00_rv0.40,2020,26,1493.49
hp1.00_mr1.50_dd0.00_rv0.40,2021,22,1254.29
hp1.00_mr1.50_dd0.00_rv0.40,2022,28,816.65
hp1.00_mr1.50_dd0.00_rv0.40,2023,25,436.07
hp1.00_mr1.50_dd0.00_rv0.40,2024,31,3919.6
hp1.00_mr1.50_dd0.00_rv0.40,2025,30,1581.09
hp1.00_mr1.50_dd0.00_rv0.40,2026,12,2264.14
hp1.00_mr1.25_dd0.00_rv0.50,2015,2,133.03
hp1.00_mr1.25_dd0.00_rv0.50,2016,0,0.0
hp1.00_mr1.25_dd0.00_rv0.50,2017,3,35.67
hp1.00_mr1.25_dd0.00_rv0.50,2018,3,158.73
hp1.00_mr1.25_dd0.00_rv0.50,2019,5,-55.39
hp1.00_mr1.25_dd0.00_rv0.50,2020,26,1478.18
hp1.00_mr1.25_dd0.00_rv0.50,2021,22,1274.82
hp1.00_mr1.25_dd0.00_rv0.50,2022,28,678.43
hp1.00_mr1.25_dd0.00_rv0.50,2023,25,443.26
hp1.00_mr1.25_dd0.00_rv0.50,2024,31,3747.84
hp1.00_mr1.25_dd0.00_rv0.50,2025,30,1565.3
hp1.00_mr1.25_dd0.00_rv0.50,2026,12,2149.6
hp1.00_mr1.50_dd0.20_rv0.50,2015,3,165.02
hp1.00_mr1.50_dd0.20_rv0.50,2016,4,76.69
hp1.00_mr1.50_dd0.20_rv0.50,2017,10,-96.16
hp1.00_mr1.50_dd0.20_rv0.50,2018,7,223.33
hp1.00_mr1.50_dd0.20_rv0.50,2019,11,-62.37
hp1.00_mr1.50_dd0.20_rv0.50,2020,30,1628.59
hp1.00_mr1.50_dd0.20_rv0.50,2021,29,1362.92
hp1.00_mr1.50_dd0.20_rv0.50,2022,35,815.95
hp1.00_mr1.50_dd0.20_rv0.50,2023,31,469.16
hp1.00_mr1.50_dd0.20_rv0.50,2024,35,4190.0
hp1.00_mr1.50_dd0.20_rv0.50,2025,31,1798.77
hp1.00_mr1.50_dd0.20_rv0.50,2026,12,2405.26
hp1.00_mr1.50_dd0.10_rv0.50,2015,3,149.02
hp1.00_mr1.50_dd0.10_rv0.50,2016,4,38.32
hp1.00_mr1.50_dd0.10_rv0.50,2017,10,-30.08
hp1.00_mr1.50_dd0.10_rv0.50,2018,7,191.13
hp1.00_mr1.50_dd0.10_rv0.50,2019,11,-58.85
hp1.00_mr1.50_dd0.10_rv0.50,2020,30,1579.91
hp1.00_mr1.50_dd0.10_rv0.50,2021,29,1394.93
hp1.00_mr1.50_dd0.10_rv0.50,2022,35,818.06
hp1.00_mr1.50_dd0.10_rv0.50,2023,31,498.74
hp1.00_mr1.50_dd0.10_rv0.50,2024,35,4101.62
hp1.00_mr1.50_dd0.10_rv0.50,2025,31,1717.8
hp1.00_mr1.50_dd0.10_rv0.50,2026,12,2385.23
