"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"m30ce_adx14","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_avg035","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_avg055","-9.43","0.63","4","18.48","3.21","3","9.05","0.02","1.27","7","0.39","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_body45","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_box12","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_box8","6.66","1.77","2","41.51","5.16","5","48.17","0.08","3.59","7","0.22","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_boxmax150","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_boxmax210","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_center","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_exp120","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_exp160","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_h1trend","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_tp150","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_tp200","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
"m30ce_volume105","0","0","0","0","0","0","0","0","0","0","0","False","False","","REJECT_BEFORE_HOLDOUT"
