"Profile","Months","Total","Green","Flat","Red","Worst","Best"
"mar1_may2p50","30","2430.1","6","24","0","0","1277.57"
"mar1_may1p25","30","2308.92","6","24","0","0","1277.57"
"mar1_may1p00","30","2186.25","6","24","0","0","1277.57"
"mar1_may2p00","30","2031.92","5","24","1","-88.97","1277.57"
"mar1_may1p50","30","1982.18","5","24","1","-52.51","1277.57"
"mar1_may3p00","30","1488.84","4","24","2","-290.84","1277.57"
