"QueueRank","Candidate","Role","Window","From","To","Model","BollingerDeviation","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvbd_control200","control","older_2015_2018","2015.01.01","2018.12.31","1","2","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","1036.19","10.36","2.5","1.96","184","45.65","1.11","8.8405","9.3333","5.45","6","8B3D3EB5ADF89B01C6D938FC193DDCF50AD48567CE03FE9B8C56019992775083"
"2","rvbd_control200","control","middle_2019_2020","2019.01.01","2020.12.31","1","2","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","370.6","3.71","1.84","1.94","74","47.3","0.93","3.9155","3.9892","5.64","6","37A2A9A75D1C5D7F07622CD5F6A606409BD49D898E55B90D92E13EB0CB875411"
"3","rvbd_control200","control","recent_2021_2023","2021.01.01","2023.12.31","1","2","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","629.61","6.3","2.06","1.86","109","40.37","1.21","4.8909","5.2066","5.75","8","B8C758072819B39C56873722C3B17F59D8299CD3948F8D1908FC2B88D3FA680C"
"4","rvbd_control200","control","latest_2024_2026","2024.01.01","2026.07.12","1","2","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","434.36","4.34","1.7","3.05","34","52.94","1.22","3.4035","3.5574","6.89","4","48A589C8619D164F424295C65E24C26A145B85B3C194CFF03223BE83E1B49816"
"5","rvbd_control200","control","continuous_2015_2026","2015.01.01","2026.07.12","1","2","F44C3C337C8D083F0354A6879EEDAA31AE9094CF8FA050F6D83F0EAA7ED7F540","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","2660.57","26.61","2.07","1.98","411","45.5","1.15","18.9068","23.1391","5.05","8","E47D5E88A6589BF30847FEF7A625AD2A0E2FD1D1043D60FAD4D967E1B1C85E40"
"6","rvbd_neighbor190","conservative_neighbor","older_2015_2018","2015.01.01","2018.12.31","1","1.9","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","757.22","7.57","1.84","1.68","182","44.51","1.29","5.5867","5.8682","4.34","6","E64E289C56ED8ADC20433B57EBCC55F1D1B16B8E5BA5FD85C4202BF0A6502F13"
"7","rvbd_neighbor190","conservative_neighbor","middle_2019_2020","2019.01.01","2020.12.31","1","1.9","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","207.54","2.08","1.03","1.53","72","45.83","0.93","2.1927","2.2366","4.08","6","3B9976F3FF260A663AB61EB81B34C7B475066A7C4311AC1253228217A0BB8E08"
"8","rvbd_neighbor190","conservative_neighbor","recent_2021_2023","2021.01.01","2023.12.31","1","1.9","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","766.2","7.66","2.5","2.06","109","41.28","1.47","4.9343","5.2109","6.06","8","EFFDA7F1445F9A63F3A4A88E3A79AE1802CBC634EADB46DF360401DB17AE0776"
"9","rvbd_neighbor190","conservative_neighbor","latest_2024_2026","2024.01.01","2026.07.12","1","1.9","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","407.76","4.08","1.59","2.8","34","52.94","1.42","2.8457","2.8732","7.29","4","475DD3A4FDDD157B575F1638A0903CF85A5D509D96E276454F25759B792FDB12"
"10","rvbd_neighbor190","conservative_neighbor","continuous_2015_2026","2015.01.01","2026.07.12","1","1.9","E4BD081B33364DF4E7482982FB9DA814A23D057FEA496B42789B4906C5F619A6","B6810B305549968E2273DAAF736A63759FE5C16F3B416F5C69E39840FBE5173E","D0619DFEF164F5A70F5AC48D124F553C554F30CE613C9A2A208B150B2E71C7FC","PARSED","2270.43","22.7","1.79","1.85","406","45.07","1.33","14.3236","17.0677","4.57","8","F361A40C5C4632BBBAAFD94A01180EF356C5E3FA40BE8C77FFADCA93D52B907C"
