"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","PortfolioOpenRiskPercent","StopRule"
"1","dir_mo015_di12_control","1","control","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_dir_mo015_di12_control_older_2015_2018_m1.ini","dir_mo015_di12_control_older_2015_2018_m1","profiles\dir_mo015_di12_control.set","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-12.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"2","dir_mo015_di12_control","1","control","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\002_dir_mo015_di12_control_repair_2019_m1.ini","dir_mo015_di12_control_repair_2019_m1","profiles\dir_mo015_di12_control.set","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-12.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"3","dir_mo015_di12_control","1","control","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\003_dir_mo015_di12_control_repair_2020_m1.ini","dir_mo015_di12_control_repair_2020_m1","profiles\dir_mo015_di12_control.set","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-12.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"4","dir_mo015_di12_control","1","control","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\004_dir_mo015_di12_control_continuous_2015_2020_m1.ini","dir_mo015_di12_control_continuous_2015_2020_m1","profiles\dir_mo015_di12_control.set","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-12.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"5","dir_mo015_di10_center","2","repair_center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\005_dir_mo015_di10_center_older_2015_2018_m1.ini","dir_mo015_di10_center_older_2015_2018_m1","profiles\dir_mo015_di10_center.set","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-10.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"6","dir_mo015_di10_center","2","repair_center","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\006_dir_mo015_di10_center_repair_2019_m1.ini","dir_mo015_di10_center_repair_2019_m1","profiles\dir_mo015_di10_center.set","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-10.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"7","dir_mo015_di10_center","2","repair_center","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","configs\007_dir_mo015_di10_center_repair_2020_m1.ini","dir_mo015_di10_center_repair_2020_m1","profiles\dir_mo015_di10_center.set","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-10.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"8","dir_mo015_di10_center","2","repair_center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\008_dir_mo015_di10_center_continuous_2015_2020_m1.ini","dir_mo015_di10_center_continuous_2015_2020_m1","profiles\dir_mo015_di10_center.set","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-10.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"9","dir_mo015_di08_strict","3","strict_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\009_dir_mo015_di08_strict_older_2015_2018_m1.ini","dir_mo015_di08_strict_older_2015_2018_m1","profiles\dir_mo015_di08_strict.set","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-8.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
"10","dir_mo015_di08_strict","3","strict_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","configs\010_dir_mo015_di08_strict_repair_2019_m1.ini","dir_mo015_di08_strict_repair_2019_m1","profiles\dir_mo015_di08_strict.set","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-8.0","0.75","Pre-2021 only: both DI -10 centers plus a same-risk adjacent threshold must pass older profitability, 2019/2020 repair, PF/activity/DD/return-efficiency, and exact identity gates before recent data opens."
