"QueueRank","Candidate","Role","StrongSignalRiskEnabled","AdaptiveTrendRiskPercent","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvsarb_control","control","false","0.15","older_2015_2018","2015.01.01","2018.12.31","1","6028DA76A8BBE43269686B4A22BB58D8121F33A65EE7C188B3E1E41ADAC6CB95","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","EFF4120107016A84BBD805E4C3FC068B067B5108F34EBCDA618D3C04FC75BBAB"
"2","rvsarb_control","control","false","0.15","middle_2019_2022","2019.01.01","2022.12.31","1","6028DA76A8BBE43269686B4A22BB58D8121F33A65EE7C188B3E1E41ADAC6CB95","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","694.54","6.95","1.69","1.81","141","41.84","121.19","1.17","5.731","5.9402","5.47","8","13995FB407D4C4AC60CD393CE19E8599FD30F4CBA4915D47B7FB646ECCBDB179"
"3","rvsarb_control","control","false","0.15","recent_2023_2026","2023.01.01","2026.07.12","1","6028DA76A8BBE43269686B4A22BB58D8121F33A65EE7C188B3E1E41ADAC6CB95","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","601.99","6.02","1.67","2.28","76","48.68","127.62","1.2","4.7171","5.0167","5.46","6","B7589C1ABD20EA6EAD3BDB886DB280C2AE4CFAF30420F60FA1338513DE50B38C"
"4","rvsarb_control","control","false","0.15","continuous_2015_2026","2015.01.01","2026.07.12","1","6028DA76A8BBE43269686B4A22BB58D8121F33A65EE7C188B3E1E41ADAC6CB95","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2195.53","21.96","1.74","1.83","415","44.82","138.81","1.17","15.8168","18.7692","4.58","8","F979E69FC1E4661DAE7331FC20EFD0A18DE92D8B516FDAD25EB91F52AD924487"
"5","rvsarb_atb013","lower_neighbor","true","0.13","older_2015_2018","2015.01.01","2018.12.31","1","D9FC35E53C97741ACC7FAD1B486436FCE87E242A0B9AB0B8C38D5E0A42727C0C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","857.94","8.58","2.08","1.82","179","45.25","105.51","1.01","8.1314","8.495","5.65","6","EFD8FB6B0395FAA1CF9BAF9787EAD5B74EB12E361B8EE4DEA2F247B1D9FAC4F2"
"6","rvsarb_atb013","lower_neighbor","true","0.13","middle_2019_2022","2019.01.01","2022.12.31","1","D9FC35E53C97741ACC7FAD1B486436FCE87E242A0B9AB0B8C38D5E0A42727C0C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","720.39","7.2","1.76","1.87","137","41.61","127.98","1.24","5.6289","5.8065","5.93","8","62BA8F1B8C8EDBE95FC601F614436F6D6901081B9791B5BF11F7BE2D4F103149"
"7","rvsarb_atb013","lower_neighbor","true","0.13","recent_2023_2026","2023.01.01","2026.07.12","1","D9FC35E53C97741ACC7FAD1B486436FCE87E242A0B9AB0B8C38D5E0A42727C0C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","2F3DFB79C19A9F724AB2054792063276B3064C7D578AACE67826A65CCDED3B94"
"8","rvsarb_atb013","lower_neighbor","true","0.13","continuous_2015_2026","2015.01.01","2026.07.12","1","D9FC35E53C97741ACC7FAD1B486436FCE87E242A0B9AB0B8C38D5E0A42727C0C","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2311.33","23.11","1.82","1.9","396","44.44","149.18","1.25","15.4936","18.488","5","8","384BE222748488643216F7D93C51D17204E4AE256A930970CF3847DB9B33CB43"
"9","rvsarb_atb014","center","true","0.14","older_2015_2018","2015.01.01","2018.12.31","1","71782EF34D9FFC8792D7C863C02151F72B1218B741E5788D3D51490AEC5517F7","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","846.12","8.46","2.05","1.79","184","44.57","105.51","1.01","8.0193","8.3762","5.21","6","0606A502B6E021733257738B48C97374BC8C5BA5CB62842557AB6C8DAB77E2EB"
"10","rvsarb_atb014","center","true","0.14","middle_2019_2022","2019.01.01","2022.12.31","1","71782EF34D9FFC8792D7C863C02151F72B1218B741E5788D3D51490AEC5517F7","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","725.81","7.26","1.77","1.85","140","41.43","127.98","1.24","5.6713","5.8548","5.43","8","35E0B020E6A57F951950B52D67D51BBF02B4E17A7EDCB8C17B88C04D6D827FBA"
"11","rvsarb_atb014","center","true","0.14","recent_2023_2026","2023.01.01","2026.07.12","1","71782EF34D9FFC8792D7C863C02151F72B1218B741E5788D3D51490AEC5517F7","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","B2273172360F43663FCE933D2C799EC6FB61FA997E208C20E443F2D3DC9732B7"
"12","rvsarb_atb014","center","true","0.14","continuous_2015_2026","2015.01.01","2026.07.12","1","71782EF34D9FFC8792D7C863C02151F72B1218B741E5788D3D51490AEC5517F7","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","2367.32","23.67","1.86","1.9","407","44.47","144.42","1.21","16.3919","19.562","4.79","8","078175B49A92DE1A5A118223EC19454A60C9BF42A60EB4457FB48A3476E4B51B"
"13","rvsarb_atb015","upper_neighbor","true","0.15","older_2015_2018","2015.01.01","2018.12.31","1","04C5C5C9FB144CD70E6D054D20FAF2245D9F39A0FF6C74DB973ECCB44A3FED00","096B49D31562D8A40FF6A3A4E80E40ACA7C3880285D2BB08EEE6CE2F77EA4248","C8F436B0474D166020B210731EF553E64F9BC49700C99FB25F2AA69972ECFBC2","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","90C91D3F525163711016F9A1467810D04551EF1D072BD5BCF0EC7A6EF81198E8"
