EntryTime,Lane,Volume,EntryBalance,InitialRiskMoney,LaneRiskPercent,LaneCapPercent,OpenPositionsAfterEntry,PortfolioInitialRiskPercent,PortfolioCapPercent,LanePass,PortfolioPass,EntryComment
2022-07-01T07:00:00,momentum,0.02,11679.77,12.70,0.1087,0.15,1,0.1087,0.75,True,True,MTSM_SELL
2022-07-08T11:00:00,momentum,0.02,11705.19,15.66,0.1338,0.15,1,0.1338,0.75,True,True,MTSM_SELL
2022-07-20T10:00:00,momentum,0.02,11689.51,12.98,0.1110,0.15,1,0.1110,0.75,True,True,MTSM_SELL
2022-07-20T20:00:00,adaptive_trend,0.01,11676.45,16.15,0.1383,0.15,1,0.1383,0.75,True,True,ATB_H4_SELL
2022-07-21T10:00:00,momentum,0.03,11676.45,14.55,0.1246,0.15,2,0.2629,0.75,True,True,MTSM_SELL
2022-08-11T06:00:00,momentum,0.02,11679.26,16.08,0.1377,0.15,1,0.1377,0.75,True,True,MTSM_SELL
2022-08-16T16:00:00,momentum,0.02,11670.64,14.12,0.1210,0.15,1,0.1210,0.75,True,True,MTSM_SELL
2022-08-19T08:00:00,momentum,0.03,11656.41,17.46,0.1498,0.15,1,0.1498,0.75,True,True,MTSM_SELL
2022-08-22T09:00:00,momentum,0.03,11645.94,17.40,0.1494,0.15,1,0.1494,0.75,True,True,MTSM_SELL
2022-09-06T16:00:00,momentum,0.02,11680.71,17.40,0.1490,0.15,1,0.1490,0.75,True,True,MTSM_SELL
2022-09-15T07:00:00,momentum,0.03,11697.74,17.49,0.1495,0.15,1,0.1495,0.75,True,True,MTSM_SELL
2022-09-28T10:00:00,momentum,0.02,11699.45,17.26,0.1475,0.15,1,0.1475,0.75,True,True,MTSM_SELL
2022-10-10T07:00:00,momentum,0.01,11682.19,9.90,0.0847,0.15,1,0.0847,0.75,True,True,MTSM_SELL
2022-10-11T06:00:00,momentum,0.02,11701.99,17.34,0.1482,0.15,1,0.1482,0.75,True,True,MTSM_SELL
2022-10-21T07:00:00,momentum,0.02,11692.43,14.28,0.1221,0.15,1,0.1221,0.75,True,True,MTSM_SELL
2022-10-31T11:00:00,momentum,0.01,11678.11,8.95,0.0766,0.15,1,0.0766,0.75,True,True,MTSM_SELL
2022-11-03T10:00:00,momentum,0.01,11677.90,9.44,0.0808,0.15,1,0.0808,0.75,True,True,MTSM_SELL
2022-11-08T11:00:00,momentum,0.02,11678.84,13.70,0.1173,0.15,1,0.1173,0.75,True,True,MTSM_SELL
2022-11-21T10:00:00,momentum,0.03,11667.32,15.87,0.1360,0.15,1,0.1360,0.75,True,True,MTSM_SELL
2022-11-25T07:00:00,reversion,0.15,11672.37,46.05,0.3945,0.45,1,0.3945,0.75,True,True,RRO;Band VWAP reversion;Upper
2022-11-25T16:00:00,momentum,0.02,11835.87,12.76,0.1078,0.15,1,0.1078,0.75,True,True,MTSM_SELL
2022-12-15T10:00:00,momentum,0.02,11823.05,15.86,0.1341,0.15,1,0.1341,0.75,True,True,MTSM_SELL
2022-12-22T05:00:00,reversion,0.15,11834.95,31.50,0.2662,0.45,1,0.2662,0.75,True,True,RRO;Band VWAP reversion;Upper
2023-01-10T17:00:00,momentum,0.02,11803.45,16.58,0.1405,0.15,1,0.1405,0.75,True,True,MTSM_BUY
2023-01-11T08:00:00,adaptive_trend,0.01,11792.52,15.53,0.1317,0.15,1,0.1317,0.75,True,True,ATB_H4_BUY
2023-01-12T15:00:00,momentum,0.02,11792.52,13.40,0.1136,0.15,2,0.2453,0.75,True,True,MTSM_BUY
2023-01-24T09:00:00,momentum,0.02,11780.21,16.76,0.1423,0.15,1,0.1423,0.75,True,True,MTSM_BUY
2023-02-20T10:00:00,momentum,0.03,11763.45,15.72,0.1336,0.15,1,0.1336,0.75,True,True,MTSM_BUY
2023-02-27T16:00:00,momentum,0.02,11747.70,13.42,0.1142,0.15,1,0.1142,0.75,True,True,MTSM_BUY
2023-03-01T09:00:00,momentum,0.02,11747.93,15.58,0.1326,0.15,1,0.1326,0.75,True,True,MTSM_BUY
2023-03-03T09:00:00,momentum,0.02,11748.85,11.80,0.1004,0.15,1,0.1004,0.75,True,True,MTSM_BUY
2023-03-17T14:00:00,momentum,0.02,11749.35,16.82,0.1432,0.15,1,0.1432,0.75,True,True,MTSM_BUY
2023-04-11T12:00:00,momentum,0.02,11782.99,15.42,0.1309,0.15,1,0.1309,0.75,True,True,MTSM_BUY
2023-04-20T10:00:00,momentum,0.01,11767.57,9.19,0.0781,0.15,1,0.0781,0.75,True,True,MTSM_BUY
2023-05-08T16:00:00,momentum,0.02,11763.16,13.04,0.1109,0.15,1,0.1109,0.75,True,True,MTSM_BUY
2023-05-24T09:00:00,momentum,0.02,11750.12,14.54,0.1237,0.15,1,0.1237,0.75,True,True,MTSM_BUY
2023-06-12T18:00:00,reversion,0.09,11735.58,51.84,0.4417,0.45,1,0.4417,0.75,True,True,RRO;Band VWAP reversion;Lower
2023-06-29T17:00:00,reversion,0.07,11806.09,51.87,0.4393,0.45,1,0.4393,0.75,True,True,RRO;Band VWAP reversion;Lower
2023-07-07T16:00:00,momentum,0.03,11882.46,17.52,0.1474,0.15,1,0.1474,0.75,True,True,MTSM_BUY
2023-07-11T08:00:00,momentum,0.03,11917.83,16.26,0.1364,0.15,1,0.1364,0.75,True,True,MTSM_BUY
2023-07-12T06:00:00,momentum,0.02,11919.39,16.82,0.1411,0.15,1,0.1411,0.75,True,True,MTSM_BUY
2023-07-13T06:00:00,momentum,0.04,11908.79,17.04,0.1431,0.15,1,0.1431,0.75,True,True,MTSM_BUY
2023-07-13T10:00:00,momentum,0.02,11891.71,16.18,0.1361,0.15,1,0.1361,0.75,True,True,MTSM_BUY
2023-07-21T19:00:00,reversion,0.1,11875.51,41.80,0.3520,0.45,1,0.3520,0.75,True,True,RRO;Band VWAP reversion;Lower
2023-07-26T10:00:00,momentum,0.02,11832.35,15.22,0.1286,0.15,1,0.1286,0.75,True,True,MTSM_BUY
2023-08-22T11:00:00,momentum,0.02,11826.31,16.10,0.1361,0.15,1,0.1361,0.75,True,True,MTSM_BUY
2023-08-28T17:00:00,momentum,0.03,11818.01,16.89,0.1429,0.15,1,0.1429,0.75,True,True,MTSM_BUY
2023-08-30T15:00:00,momentum,0.04,11819.66,17.72,0.1499,0.15,1,0.1499,0.75,True,True,MTSM_BUY
2023-09-06T22:00:00,reversion,0.1,11855.14,30.30,0.2556,0.45,1,0.2556,0.75,True,True,RRO;Band VWAP reversion;Lower
2023-09-14T16:00:00,momentum,0.02,11944.50,12.24,0.1025,0.15,1,0.1025,0.75,True,True,MTSM_SELL
2023-09-21T12:00:00,momentum,0.02,11932.24,15.68,0.1314,0.15,1,0.1314,0.75,True,True,MTSM_SELL
2023-09-25T09:00:00,momentum,0.04,11935.27,15.32,0.1284,0.15,1,0.1284,0.75,True,True,MTSM_SELL
2023-09-26T06:00:00,momentum,0.05,11919.95,17.25,0.1447,0.15,1,0.1447,0.75,True,True,MTSM_SELL
2023-09-27T08:00:00,momentum,0.02,11954.45,13.04,0.1091,0.15,1,0.1091,0.75,True,True,MTSM_SELL
2023-10-02T08:00:00,momentum,0.02,11980.75,13.56,0.1132,0.15,1,0.1132,0.75,True,True,MTSM_SELL
2023-10-05T16:00:00,adaptive_trend,0.01,12007.85,15.87,0.1322,0.15,1,0.1322,0.75,True,True,ATB_H4_SELL
2023-11-01T06:00:00,momentum,0.02,11991.93,17.48,0.1458,0.15,1,0.1458,0.75,True,True,MTSM_SELL
2023-11-06T18:00:00,momentum,0.02,11980.95,16.74,0.1397,0.15,1,0.1397,0.75,True,True,MTSM_SELL
2023-11-13T17:00:00,momentum,0.02,12014.38,14.56,0.1212,0.15,1,0.1212,0.75,True,True,MTSM_SELL
2023-11-17T11:00:00,momentum,0.02,11999.82,12.94,0.1078,0.15,1,0.1078,0.75,True,True,MTSM_BUY
2023-11-24T13:00:00,momentum,0.04,11986.88,16.28,0.1358,0.15,1,0.1358,0.75,True,True,MTSM_BUY
2023-11-24T16:00:00,adaptive_trend,0.01,11986.88,10.49,0.0875,0.15,2,0.2233,0.75,True,True,ATB_H4_BUY
2023-11-28T16:00:00,adaptive_trend,0.01,12039.88,16.50,0.1370,0.15,1,0.1370,0.75,True,True,ATB_H4_BUY
2023-12-01T11:00:00,momentum,0.02,12039.88,13.90,0.1154,0.15,2,0.2525,0.75,True,True,MTSM_BUY
2023-12-07T16:00:00,momentum,0.02,12058.28,16.08,0.1334,0.15,1,0.1334,0.75,True,True,MTSM_BUY
2023-12-13T16:00:00,momentum,0.03,12042.20,16.02,0.1330,0.15,1,0.1330,0.75,True,True,MTSM_BUY
2023-12-22T13:00:00,momentum,0.01,12026.09,9.39,0.0781,0.15,1,0.0781,0.75,True,True,MTSM_BUY
2024-01-02T12:00:00,momentum,0.02,12027.03,16.66,0.1385,0.15,1,0.1385,0.75,True,True,MTSM_BUY
2024-01-18T15:00:00,momentum,0.02,12010.37,15.24,0.1269,0.15,1,0.1269,0.75,True,True,MTSM_BUY
2024-01-19T10:00:00,momentum,0.02,11994.39,16.58,0.1382,0.15,1,0.1382,0.75,True,True,MTSM_BUY
2024-01-29T10:00:00,momentum,0.02,11984.24,15.34,0.1280,0.15,1,0.1280,0.75,True,True,MTSM_BUY
2024-01-31T16:00:00,momentum,0.02,11968.90,12.64,0.1056,0.15,1,0.1056,0.75,True,True,MTSM_BUY
2024-02-06T08:00:00,momentum,0.02,11994.18,13.24,0.1104,0.15,1,0.1104,0.75,True,True,MTSM_BUY
2024-02-12T13:00:00,reversion,0.1,11980.74,16.30,0.1361,0.45,1,0.1361,0.75,True,True,RRO;Band VWAP reversion;Lower
2024-02-15T12:00:00,momentum,0.03,11964.44,15.63,0.1306,0.15,1,0.1306,0.75,True,True,MTSM_BUY
2024-02-20T10:00:00,momentum,0.03,11995.70,14.73,0.1228,0.15,1,0.1228,0.75,True,True,MTSM_BUY
2024-02-27T11:00:00,momentum,0.03,12006.38,17.52,0.1459,0.15,1,0.1459,0.75,True,True,MTSM_BUY
2024-03-01T15:00:00,reversion,0.09,11988.83,50.49,0.4211,0.45,1,0.4211,0.75,True,True,RRO;Band VWAP reversion;Upper
2024-03-05T11:00:00,momentum,0.02,11938.07,17.74,0.1486,0.15,1,0.1486,0.75,True,True,MTSM_BUY
2024-03-08T11:00:00,momentum,0.01,11973.57,9.39,0.0784,0.15,1,0.0784,0.75,True,True,MTSM_BUY
2024-03-15T12:00:00,momentum,0.02,11992.36,17.52,0.1461,0.15,1,0.1461,0.75,True,True,MTSM_BUY
2024-05-15T07:00:00,momentum,0.02,11974.84,12.30,0.1027,0.15,1,0.1027,0.75,True,True,MTSM_BUY
2024-05-17T15:00:00,momentum,0.02,11999.42,17.74,0.1478,0.15,1,0.1478,0.75,True,True,MTSM_BUY
2024-07-03T16:00:00,momentum,0.02,12034.98,17.70,0.1471,0.15,1,0.1471,0.75,True,True,MTSM_BUY
2024-07-05T12:00:00,adaptive_trend,0.01,12035.76,16.75,0.1392,0.15,1,0.1392,0.75,True,True,ATB_H4_BUY
2024-07-10T10:00:00,momentum,0.02,12037.31,12.16,0.1010,0.15,1,0.1010,0.75,True,True,MTSM_BUY
2024-07-30T17:00:00,momentum,0.02,12061.69,16.86,0.1398,0.15,1,0.1398,0.75,True,True,MTSM_BUY
2024-07-31T17:00:00,momentum,0.01,12044.77,9.80,0.0814,0.15,1,0.0814,0.75,True,True,MTSM_BUY
2024-08-29T09:00:00,momentum,0.02,12064.37,15.98,0.1325,0.15,1,0.1325,0.75,True,True,MTSM_BUY
2024-09-05T09:00:00,momentum,0.02,12048.27,18.02,0.1496,0.15,1,0.1496,0.75,True,True,MTSM_BUY
2024-09-16T07:00:00,momentum,0.02,12084.31,17.84,0.1476,0.15,1,0.1476,0.75,True,True,MTSM_BUY
2024-10-01T13:00:00,momentum,0.01,12066.47,9.99,0.0828,0.15,1,0.0828,0.75,True,True,MTSM_BUY
2024-10-04T08:00:00,momentum,0.01,12086.49,9.56,0.0791,0.15,1,0.0791,0.75,True,True,MTSM_BUY
2024-10-09T18:00:00,reversion,0.09,12079.54,49.05,0.4061,0.45,1,0.4061,0.75,True,True,RRO;Band VWAP reversion;Lower
2024-10-28T00:00:00,adaptive_trend,0.01,12257.85,16.94,0.1382,0.15,1,0.1382,0.75,True,True,ATB_H4_BUY
2024-10-30T08:00:00,momentum,0.02,12291.64,15.58,0.1268,0.15,1,0.1268,0.75,True,True,MTSM_BUY
2024-12-20T16:00:00,momentum,0.01,12282.30,9.89,0.0805,0.15,1,0.0805,0.75,True,True,MTSM_BUY
2024-12-31T20:00:00,reversion,0.1,12302.12,40.80,0.3317,0.45,1,0.3317,0.75,True,True,RRO;Band VWAP reversion;Upper
2025-01-10T11:00:00,momentum,0.02,12259.28,18.12,0.1478,0.15,1,0.1478,0.75,True,True,MTSM_BUY
2025-01-28T16:00:00,momentum,0.01,12240.70,9.23,0.0754,0.15,1,0.0754,0.75,True,True,MTSM_BUY
2025-01-30T09:00:00,momentum,0.02,12252.47,15.28,0.1247,0.15,1,0.1247,0.75,True,True,MTSM_BUY
2026-05-25T05:00:00,reversion,0.02,12283.07,38.86,0.3164,0.45,1,0.3164,0.75,True,True,RRO;Band VWAP reversion;Upper
2026-07-06T03:00:00,reversion,0.02,12354.54,40.44,0.3273,0.45,1,0.3273,0.75,True,True,RRO;Band VWAP reversion;Upper
