"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","3","-4.05","4.91","8.96","0.548","33.33","-1.35","2028.11"
"EntrySubtype","other","3","-4.05","4.91","8.96","0.548","33.33","-1.35","2028.11"
"EntryHour","11","1","-3.95","0","3.95","0","0","-3.95","279.67"
"EntryHour","2","1","4.91","4.91","0","INF","100","4.91","5589.98"
"EntryHour","9","1","-5.01","0","5.01","0","0","-5.01","214.67"
"EntryYear","2019","3","-4.05","4.91","8.96","0.548","33.33","-1.35","2028.11"
"EntryMonth","1","2","-8.96","0","8.96","0","0","-4.48","247.17"
"EntryMonth","12","1","4.91","4.91","0","INF","100","4.91","5589.98"
"Side","buy","3","-4.05","4.91","8.96","0.548","33.33","-1.35","2028.11"
"DayOfWeek","Friday","1","4.91","4.91","0","INF","100","4.91","5589.98"
"DayOfWeek","Monday","1","-3.95","0","3.95","0","0","-3.95","279.67"
"DayOfWeek","Thursday","1","-5.01","0","5.01","0","0","-5.01","214.67"
