"Month","Trades","NetProfit","Wins","Losses","WinRatePercent","GrossWin","GrossLoss","ProfitFactor","AvgProfit"
"3","13","274.3","8","5","61.54","366.18","-91.88","3.9854","21.1"
"5","13","12.84","4","9","30.77","177.25","-164.41","1.0781","0.99"
"6","1","20.65","1","0","100","20.65","0","999","20.65"
"7","2","-0.22","1","1","50","8.1","-8.32","0.9736","-0.11"
"8","32","63.74","11","21","34.38","473.55","-409.81","1.1555","1.99"
"10","2","-3.76","1","1","50","6.32","-10.08","0.627","-1.88"
"11","1","21.76","1","0","100","21.76","0","999","21.76"
