"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit"
"1","","baseline","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","2459.19"
"2","","baseline","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"3","","baseline","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"4","","baseline","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","7756.74"
"5","","islp_octdec","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","3095.13"
"6","","islp_octdec","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"7","","islp_octdec","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"8","","islp_octdec","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","9065.41"
