QueueRank,Window,ExpectedReportName,GatePass,Reasons,NetProfit,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor
1,2019,rdmc_mld3_w01_m1_critical_2019,False,ProfitFactor=1.04<1.05,3.15,1.04,25,0.43,0.0738
2,2022,rdmc_mld3_w01_m1_critical_2022,False,ProfitFactor=1.04<1.05,6.24,1.04,27,1.07,0.0584
