"Candidate","Role","OlderNetProfit","MiddleNetProfit","RecentNetProfit","ContinuousNetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown"
"msec_control","control","988.8","743.07","602.11","2428.5","24.28","1.9","1.89","404","1.18","17.0889","20.5763"
"msec_center_060","center","1031.38","743.07","603.29","2492.25","24.92","1.95","1.93","400","1.18","17.5375","21.1186"
