"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"no_follow_soft","12","12","14030.48","6928.7","1342.94","214.18","2138.88","","0","0"
"mfe_no_follow","12","12","14030.48","6928.7","1342.94","214.18","2138.88","","0","0"
"full_soft_path","12","12","14030.48","6928.7","1342.94","214.18","2138.88","","0","0"
"mfe_failure_fast","12","12","13989.8","6883.38","1150.65","214.18","2393.45","","0","0"
"underwater_fast","12","12","13720.83","6692.31","1339.09","214.18","2073.32","","0","0"
"underwater_soft","12","12","13167.2","6125.57","1107.9","214.18","2381.09","","0","0"
"mfe_failure_soft","12","12","13167.2","6125.57","1107.9","214.18","2381.09","","0","0"
"base","12","12","13167.2","6125.57","1107.9","214.18","2381.09","","0","0"
"full_fast_path","12","12","6579.49","1282.05","823.35","214.18","1282.05","","0","0"
"no_follow_tight","12","12","6579.49","1282.05","823.35","214.18","1282.05","","0","0"
