"Year","EntryTime","Side","Profit","RiskR","channel_width_atr","breakout_atr","h1_efficiency","d1_efficiency","d1_momentum_pct","atr_pct","body_ratio","close_location","range_atr","volume_ratio","stop_atr"
"2015","2015-01-08T06:00:00","sell","-6.2","-0.430556","2.55906","0.401475","0.185965","0.11507","9.516157","0.30326","0.72818","0.775561","1.09518","0.688722","1.965356"
"2015","2015-03-11T12:00:00","sell","5.42","0.408748","4.040894","0.121296","0.221651","0.071999","7.025716","0.249085","0.553153","0.846847","1.92341","1.224294","2.297193"
"2015","2015-05-13T15:00:00","buy","22","2.003643","3.062406","0.223032","0.276635","0.026007","2.696355","0.194823","0.578616","0.651992","2.045893","1.636309","2.356058"
"2015","2015-06-04T16:00:00","sell","28.07","1.993608","4.136497","0.152434","0.488372","0.018619","1.712224","0.244841","0.514604","0.666203","2.490906","2.574846","2.438472"
"2015","2015-06-30T14:00:00","sell","-10.68","-0.787611","4.412115","0.276652","0.145494","0.008999","0.761547","0.178702","0.373938","0.450425","1.683759","1.505809","2.155807"
"2015","2015-07-02T10:00:00","sell","25.32","1.996845","3.45812","0.797199","0.461785","0.03582","2.975953","0.159288","0.625954","0.648855","1.411258","1.522453","1.705171"
"2015","2015-07-06T11:00:00","sell","-9.06","-0.635789","3.624463","0.531806","0.153989","0.0426","3.464627","0.209917","0.61807","0.75154","1.992227","1.886632","1.944958"
"2015","2015-07-22T15:00:00","sell","-7.19","-0.868357","5.187402","0.684053","0.474325","0.190375","14.072525","0.322298","0.845649","0.939245","1.735785","1.223481","2.360225"
"2015","2015-07-31T10:00:00","sell","-14.61","-1.004124","4.486957","0.250435","0.184744","0.206299","14.242384","0.265766","0.558696","0.978261","1.6","1.607717","1.686087"
"2015","2015-09-03T13:00:00","sell","24.03","2.0025","4.719472","0.391325","0.351058","0.03205","2.397493","0.187624","0.588384","0.661616","1.867044","1.402738","1.886893"
"2015","2015-10-02T10:00:00","sell","1.45","0.096667","4.385235","0.732723","0.23432","0.100707","7.363377","0.16231","0.518919","0.545946","2.053844","1.213911","1.665362"
"2015","2015-11-11T17:00:00","sell","-7.58","-0.583526","3.419322","0.455235","0.231631","0.160562","11.078467","0.182058","0.49835","0.90099","1.532625","2.6875","2.189024"
"2015","2015-11-25T16:00:00","sell","-5.66","-0.375083","3.96967","0.370205","0.215455","0.134157","9.573225","0.209335","0.614437","0.630282","2.533452","2.388023","2.245406"
"2015","2015-12-07T16:00:00","sell","25.57","2.01022","3.052653","0.323704","0.279936","0.107766","8.060641","0.225987","0.50358","0.747017","1.716861","1.830155","1.739008"
"2015","2015-12-17T16:00:00","sell","6.46","0.690909","3.865215","0.319592","0.425982","0.120108","9.015461","0.407282","0.677652","0.739444","2.248726","2.08234","2.165771"
"2015","2015-12-23T11:00:00","sell","0.55","0.041014","4.415011","0.259995","0.433962","0.115333","9.049283","0.190308","0.814815","0.880952","1.854305","1.80076","2.194677"
"2015","2015-12-28T18:00:00","sell","-13.13","-0.887162","4.136253","0.237226","0.228183","0.10017","7.910277","0.153692","0.425676","0.844595","1.800487","2.106403","1.803163"
"2016","2016-01-13T10:00:00","sell","-14.6","-1","3.989158","0.204082","0.326382","0.0581","4.868018","0.289769","0.712531","0.714988","1.297832","1.105004","1.165051"
"2016","2016-01-25T10:00:00","buy","29.59","1.97662","3.576939","0.45879","0.279373","0.002732","0.232828","0.223116","0.685366","0.778049","1.664637","1.033682","2.024482"
"2016","2016-01-26T09:00:00","buy","-6.78","-0.559406","4.46852","0.429272","0.431967","0.011564","0.992907","0.219425","0.728659","0.868902","1.340965","1.022175","2.479395"
"2016","2016-02-01T10:00:00","buy","-14.45","-1","4.733632","0.150468","0.451257","0.032044","2.793281","0.219018","0.506608","0.594714","0.923139","0.844629","1.173607"
"2016","2016-02-04T12:00:00","buy","24.13","1.981117","5.433759","0.104909","0.381189","0.050168","4.402424","0.324434","0.40081","0.412955","0.664425","1.232585","1.638668"
"2016","2016-02-05T13:00:00","buy","-12.96","-1","4.213323","0.239135","0.314109","0.052891","4.611429","0.227334","0.805405","0.967568","0.702221","0.695178","2.460979"
"2016","2016-03-03T15:00:00","buy","23.62","2.025729","3.346924","0.099273","0.292294","0.108747","10.492458","0.226632","0.132296","0.735409","0.911186","1.041455","2.067736"
"2016","2016-03-08T10:00:00","buy","-6.95","-0.768805","3.046667","0.113333","0.123269","0.144832","14.43717","0.353326","0.791103","0.806576","1.148889","1.07908","2.008889"
"2016","2016-04-05T11:00:00","buy","1.3","0.115865","4.056187","0.445076","0.343634","0.059318","5.979232","0.257808","0.636893","0.881553","1.625631","1.808891","1.769823"
"2016","2016-04-07T08:00:00","buy","11.85","0.88964","3.212772","0.443628","0.09768","0.070809","7.283134","0.287822","0.863636","0.911255","1.305454","0.7011","1.88299"
"2016","2016-04-27T10:00:00","buy","-10.84","-1.005566","5.406348","0.247646","0.502123","0.072675","7.606185","0.229823","0.840194","0.98063","1.44053","1.143473","1.878863"
"2016","2016-05-02T13:00:00","buy","-9.21","-1","5.769182","0.743438","0.626961","0.12949","14.135479","0.306368","0.904059","0.915129","1.361296","1.058434","2.312734"
"2016","2016-05-11T09:00:00","buy","-1.54","-0.110951","4.515334","0.3452","0.247881","0.145633","16.605577","0.254961","0.619469","0.837758","1.044845","0.625386","2.140376"
"2016","2016-05-16T06:00:00","buy","1.28","0.100629","3.857575","0.15857","0.067689","0.150154","17.60631","0.271654","0.545918","0.566327","1.695257","1.507443","1.832737"
"2016","2016-06-08T10:00:00","buy","24.36","2.0199","6.084142","0.238673","0.431175","0.137384","15.999329","0.197705","0.640553","0.741935","0.877832","1.088427","1.625081"
"2016","2016-06-13T14:00:00","buy","-12.42","-1","4.805176","0.126452","0.278183","0.169865","20.181678","0.264585","0.635071","0.872038","0.620497","0.654056","1.826217"
"2016","2016-06-29T06:00:00","buy","-3.26","-0.345339","3.537261","0.128399","0.070238","0.186633","23.66836","0.300918","0.633218","0.633218","0.727593","0.881101","2.375932"
