"Candidate","Role","MORiskPercent","OlderNetProfit","MiddleNetProfit","RecentNetProfit","ContinuousNetProfit","ImprovementPercent","ProfitFactor","Trades","MaxDrawdownPercent","RecoveryFactor","GatePass"
"mre_mo015_control","control","0.15","814.7","239.64","553.67","1616.49","0","1.58","370","3.24","4.5567","False"
"mre_mo0175","lower_neighbor","0.175","866.02","252.38","488.6","1764.04","9.128","1.54","370","3.79","4.2186","True"
"mre_mo020_center","center","0.20","936.3","261.58","636.22","1866.25","15.451","1.51","370","3.68","4.5415","True"
"mre_mo0225","upper_neighbor","0.225","1003.42","253.06","656.86","1926.06","19.151","1.47","370","3.56","4.8252","True"
"mre_mo025","shape","0.25","1081.19","264.08","628.89","2004.3","23.991","1.44","370","4.07","4.3471","False"
"mre_mo0275","shape","0.275","1104.88","226.06","672.83","2136.55","32.172","1.43","370","4.16","4.4977","False"
"mre_mo030","cap_boundary","0.30","1294.69","258.26","768.46","2301.51","42.377","1.43","370","4.05","4.886","False"
