"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","MinimumSweepATR","MinimumReclaimATR","WickToBodyRatio","UseTickVolumeFilter","MinimumVolumeRatio","UseTrendEMAFilter","UseMaximumADXFilter","MaximumADX","TakeProfitR","UsePreviousDayMidpointTarget","SessionStartHour","SessionEndHour","StopRule"
"11","pds_reclaim05","4","independent_m15_prevday_sweep","1","discovery_model1","pds_reclaim05.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_pds_reclaim05_discovery_2019_2020_m1.ini","pds_reclaim05_discovery_2019_2020_m1","profiles\pds_reclaim05.set","4900425C01C302078B1457F856F62DF9527C26B8FE35379B24E8B2C05EF7241C","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.05","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"12","pds_reclaim05","4","independent_m15_prevday_sweep","1","discovery_model1","pds_reclaim05.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_pds_reclaim05_continuous_2015_2020_m1.ini","pds_reclaim05_continuous_2015_2020_m1","profiles\pds_reclaim05.set","4900425C01C302078B1457F856F62DF9527C26B8FE35379B24E8B2C05EF7241C","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.05","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"13","pds_volume105","5","independent_m15_prevday_sweep","1","discovery_model1","pds_volume105.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_pds_volume105_older_2015_2018_m1.ini","pds_volume105_older_2015_2018_m1","profiles\pds_volume105.set","2E68F22B3EF0494A6BEFE91CB3D6C00A585BC4455088BED8C4EB22C5E8DCD62E","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","true","1.05","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"14","pds_volume105","5","independent_m15_prevday_sweep","1","discovery_model1","pds_volume105.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_pds_volume105_discovery_2019_2020_m1.ini","pds_volume105_discovery_2019_2020_m1","profiles\pds_volume105.set","2E68F22B3EF0494A6BEFE91CB3D6C00A585BC4455088BED8C4EB22C5E8DCD62E","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","true","1.05","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"15","pds_volume105","5","independent_m15_prevday_sweep","1","discovery_model1","pds_volume105.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_pds_volume105_continuous_2015_2020_m1.ini","pds_volume105_continuous_2015_2020_m1","profiles\pds_volume105.set","2E68F22B3EF0494A6BEFE91CB3D6C00A585BC4455088BED8C4EB22C5E8DCD62E","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","true","1.05","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"16","pds_trend","6","independent_m15_prevday_sweep","1","discovery_model1","pds_trend.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_pds_trend_older_2015_2018_m1.ini","pds_trend_older_2015_2018_m1","profiles\pds_trend.set","096991F2C2A9CCB32058A0364BF67B61084353B8424C9D2286630216D5FBAE45","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","true","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"17","pds_trend","6","independent_m15_prevday_sweep","1","discovery_model1","pds_trend.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_pds_trend_discovery_2019_2020_m1.ini","pds_trend_discovery_2019_2020_m1","profiles\pds_trend.set","096991F2C2A9CCB32058A0364BF67B61084353B8424C9D2286630216D5FBAE45","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","true","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"18","pds_trend","6","independent_m15_prevday_sweep","1","discovery_model1","pds_trend.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_pds_trend_continuous_2015_2020_m1.ini","pds_trend_continuous_2015_2020_m1","profiles\pds_trend.set","096991F2C2A9CCB32058A0364BF67B61084353B8424C9D2286630216D5FBAE45","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","true","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"19","pds_adx24","7","independent_m15_prevday_sweep","1","discovery_model1","pds_adx24.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_pds_adx24_older_2015_2018_m1.ini","pds_adx24_older_2015_2018_m1","profiles\pds_adx24.set","499B7A603F798328F766B178F4043F8CCB5D52684C599F11DE937D57F8393D34","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","true","24.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"20","pds_adx24","7","independent_m15_prevday_sweep","1","discovery_model1","pds_adx24.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_pds_adx24_discovery_2019_2020_m1.ini","pds_adx24_discovery_2019_2020_m1","profiles\pds_adx24.set","499B7A603F798328F766B178F4043F8CCB5D52684C599F11DE937D57F8393D34","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","true","24.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
