"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","MinimumVolumeRatio","MinimumRangeATR","MinimumWickPercent","MinimumVWAPDeviationATR","MaximumADX","ExtremeLookbackBars","MinimumRiskReward","MaximumTargetR","UseRangePhaseFilter","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"11","m15vcr_range090","4","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_range090.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m15vcr_range090_discovery_2019_2020_m1.ini","m15vcr_range090_discovery_2019_2020_m1","profiles\m15vcr_range090.set","B61422EB9E33896087C0C0E2518EE0D4EE3D7CA4C81AF841AA2CC9895A645425","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","0.90","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_range090_discovery_2019_2020_m1.htm","DBADC1BEC40698EA4643798925E3EE01D563555E014AF90453BC71C04D370B8F","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","730","1.9986","-3.33","9996.67","-0.03","-0.02","-0.02","0.98","-0.1","-0.71","42.86","35","6","65.14","0.65","62.34","65.14","-0.0511"
"12","m15vcr_range090","4","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_range090.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m15vcr_range090_continuous_2015_2020_m1.ini","m15vcr_range090_continuous_2015_2020_m1","profiles\m15vcr_range090.set","B61422EB9E33896087C0C0E2518EE0D4EE3D7CA4C81AF841AA2CC9895A645425","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","0.90","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_range090_continuous_2015_2020_m1.htm","DB3FEDCBA186558B702497A054910067FFC4068E463D4731C75101D5D16DD212","True","FIRST_VALID_EXPORT","10000","2191","5.9986","-23.95","9976.05","-0.24","-0.04","-0.04","0.95","-0.29","-1.86","41.46","82","6","104.52","1.05","94.84","104.52","-0.2291"
"13","m15vcr_range130","5","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_range130.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m15vcr_range130_older_2015_2018_m1.ini","m15vcr_range130_older_2015_2018_m1","profiles\m15vcr_range130.set","F3C3C1EF40BB9E0A150610BB2969C6090DE610752EC2065E12E563E732664B19","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.30","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_range130_older_2015_2018_m1.htm","9D0D73496BB2541742457B5FA12E71E7C7A1410A633F24E8AA49C206319EBE77","True","FIRST_VALID_EXPORT","10000","1460","3.9973","39.63","10039.63","0.4","0.1","0.1","1.27","1.28","6.95","48.39","31","3","70.9","0.71","56.44","70.9","0.559"
"14","m15vcr_range130","5","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_range130.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m15vcr_range130_discovery_2019_2020_m1.ini","m15vcr_range130_discovery_2019_2020_m1","profiles\m15vcr_range130.set","F3C3C1EF40BB9E0A150610BB2969C6090DE610752EC2065E12E563E732664B19","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.30","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_range130_discovery_2019_2020_m1.htm","ACBB84CE1C060203AC4F0C3020B3F49DE19B027431AE5BF75A0EA6777E799818","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","730","1.9986","7.95","10007.95","0.08","0.04","0.04","1.08","0.4","2.35","45","20","5","50.76","0.51","46.28","50.76","0.1566"
"15","m15vcr_range130","5","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_range130.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m15vcr_range130_continuous_2015_2020_m1.ini","m15vcr_range130_continuous_2015_2020_m1","profiles\m15vcr_range130.set","F3C3C1EF40BB9E0A150610BB2969C6090DE610752EC2065E12E563E732664B19","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.30","45.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_range130_continuous_2015_2020_m1.htm","1339E5D108A16AD8C45C5040B4BD1FF0DF054C0A9846E24A4898740400A3D30E","True","FIRST_VALID_EXPORT","10000","2191","5.9986","46.58","10046.58","0.47","0.08","0.08","1.19","0.91","5.62","47.06","51","5","85.85","0.85","70.07","85.85","0.5426"
"16","m15vcr_wick35","6","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_wick35.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_m15vcr_wick35_older_2015_2018_m1.ini","m15vcr_wick35_older_2015_2018_m1","profiles\m15vcr_wick35.set","6CFB0F78FA7655C2BF771DFA19FFBAC654641E0A97802203AD8F80B85A75B381","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","35.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_wick35_older_2015_2018_m1.htm","01AE7CCF92917ADC637F9876F6427B36168DFB0E752FBD5BCAE1151D2BBCFA3E","True","FIRST_VALID_EXPORT","10000","1460","3.9973","25.29","10025.29","0.25","0.06","0.06","1.11","0.54","3.22","44.68","47","7","98.82","0.99","93.6","98.82","0.2559"
"17","m15vcr_wick35","6","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_wick35.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_m15vcr_wick35_discovery_2019_2020_m1.ini","m15vcr_wick35_discovery_2019_2020_m1","profiles\m15vcr_wick35.set","6CFB0F78FA7655C2BF771DFA19FFBAC654641E0A97802203AD8F80B85A75B381","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","35.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_wick35_discovery_2019_2020_m1.htm","8142462BC170BBFDD9AB1E1E7D845A7C896720FFE9D0E0E262D9B035ECCF1214","True","FIRST_VALID_EXPORT","10000","730","1.9986","-23.29","9976.71","-0.23","-0.12","-0.12","0.87","-0.73","-5","40.62","32","6","61.38","0.61","56.2","61.38","-0.3794"
"18","m15vcr_wick35","6","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_wick35.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_m15vcr_wick35_continuous_2015_2020_m1.ini","m15vcr_wick35_continuous_2015_2020_m1","profiles\m15vcr_wick35.set","6CFB0F78FA7655C2BF771DFA19FFBAC654641E0A97802203AD8F80B85A75B381","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","35.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_wick35_continuous_2015_2020_m1.htm","4FE41075AD0830EDAA75A473818438ED79269A100BCF9E9BAA42A7D7EBEBCEF8","True","FIRST_VALID_EXPORT","10000","2191","5.9986","3.64","10003.64","0.04","0.01","0.01","1.01","0.05","0.3","43.04","79","7","98.82","0.99","93.6","98.82","0.0368"
"19","m15vcr_wick55","7","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_wick55.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_m15vcr_wick55_older_2015_2018_m1.ini","m15vcr_wick55_older_2015_2018_m1","profiles\m15vcr_wick55.set","6E23C9936B60AD229CB2EEFBC2B39F762A20299CAA884BBF8C093963271951A5","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","55.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_wick55_older_2015_2018_m1.htm","535E372151BA6CA27DA72628B9CF84F33C745FA768084F3932E3E7DF37822712","True","FIRST_VALID_EXPORT","10000","1460","3.9973","67.28","10067.28","0.67","0.17","0.17","1.36","1.68","9.31","50","40","4","67.64","0.68","58.17","67.64","0.9947"
"20","m15vcr_wick55","7","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_wick55.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\020_m15vcr_wick55_discovery_2019_2020_m1.ini","m15vcr_wick55_discovery_2019_2020_m1","profiles\m15vcr_wick55.set","6E23C9936B60AD229CB2EEFBC2B39F762A20299CAA884BBF8C093963271951A5","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","55.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_wick55_discovery_2019_2020_m1.htm","20B938EBB08A68C95E30FDEC40B8524BC6C562B6E96CBB1D4FDBB4EB00BB1EC6","True","FIRST_VALID_EXPORT","10000","730","1.9986","20.2","10020.2","0.2","0.1","0.1","1.15","0.72","4.82","46.43","28","4","41.41","0.41","36.93","41.41","0.4878"
"21","m15vcr_wick55","7","independent_m15_volume_climax_reversal","discovery_model1","m15vcr_wick55.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_m15vcr_wick55_continuous_2015_2020_m1.ini","m15vcr_wick55_continuous_2015_2020_m1","profiles\m15vcr_wick55.set","6E23C9936B60AD229CB2EEFBC2B39F762A20299CAA884BBF8C093963271951A5","914C5F3832D61DFD3AD2E4F885C70EFBF35E35B6CFFFFE1B8387EDA96AC56A36","1.50","1.10","55.0","0.45","28.0","8","1.10","1.75","true","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent volume/wick/VWAP/phase shape must pass before opening 2021-2026.","PARSED","outputs\independent_m15_volume_climax_reversal_discovery_model1_package\reports_here\m15vcr_wick55_continuous_2015_2020_m1.htm","FB92DF5BBD150B7C8FF4591055D018C08312104A811910255F9635A97006A350","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","2191","5.9986","87.69","10087.69","0.88","0.15","0.15","1.27","1.29","7.76","48.53","68","4","67.64","0.68","58.17","67.64","1.2964"
