"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","","rdmc_momentum_loss_decay_v3","frozen_momentum_loss_decay","2019","2019.01.01","2019.12.31","rdmc_mld3_w01_m1_critical_2019","PARSED","outputs\rdmc_momentum_loss_decay_v3_package\reports_here\rdmc_mld3_w01_m1_critical_2019.htm","10000","364","0.9966","3.15","10003.15","0.03","0.03","0.03","1.04","0.13","0.32","32","25","6","42.7","0.43","36.71","42.7","0.0738"
"","","","rdmc_momentum_loss_decay_v3","frozen_momentum_loss_decay","2022","2022.01.01","2022.12.31","rdmc_mld3_w01_m1_critical_2022","PARSED","outputs\rdmc_momentum_loss_decay_v3_package\reports_here\rdmc_mld3_w01_m1_critical_2022.htm","10000","364","0.9966","6.24","10006.24","0.06","0.06","0.06","1.04","0.23","0.38","37.04","27","4","106.87","1.07","93.73","106.87","0.0584"
