Feature,FeatureIndex,Direction,Quantile,NeighborOffset,Threshold,Trades,KeptTrades,RemovedTrades,Retention,BaselineNet,KeptNet,RemovedNet,Improvement,BaselinePF,KeptPF,early_improvement,early_removed,late_improvement,late_removed,TrainingSupport
ExpansionRatio,4,maximum,0.15000000,-1,1.58966150,55,46,9,0.83636364,186.06000000,123.59000000,62.47000000,-62.47000000,1.69957888,1.54175251,-13.79000000,5,-48.68000000,4,False
ExpansionRatio,4,maximum,0.20000000,0,1.51854740,55,44,11,0.80000000,186.06000000,115.21000000,70.85000000,-70.85000000,1.69957888,1.52720450,-4.19000000,6,-66.66000000,5,False
ExpansionRatio,4,maximum,0.25000000,1,1.44921550,55,41,14,0.74545455,186.06000000,65.75000000,120.31000000,-120.31000000,1.69957888,1.30087402,-36.42000000,8,-83.89000000,6,False
ChannelWidthATR,5,minimum,0.15000000,-1,1.43883640,55,46,9,0.83636364,186.06000000,150.15000000,35.91000000,-35.91000000,1.69957888,1.66119160,-11.86000000,5,-24.05000000,4,False
ChannelWidthATR,5,minimum,0.20000000,0,1.52008520,55,44,11,0.80000000,186.06000000,118.16000000,67.90000000,-67.90000000,1.69957888,1.52032234,-11.86000000,5,-56.04000000,6,False
ChannelWidthATR,5,minimum,0.25000000,1,1.55239750,55,41,14,0.74545455,186.06000000,65.59000000,120.47000000,-120.47000000,1.69957888,1.28882822,-47.12000000,7,-73.35000000,7,False
ChannelWidthATR,5,maximum,0.15000000,-1,2.37617600,55,46,9,0.83636364,186.06000000,189.26000000,-3.20000000,3.20000000,1.69957888,1.90628741,-16.93000000,7,20.13000000,2,False
ChannelWidthATR,5,maximum,0.20000000,0,2.26085500,55,44,11,0.80000000,186.06000000,208.25000000,-22.19000000,22.19000000,1.69957888,2.09697640,2.06000000,9,20.13000000,2,True
ChannelWidthATR,5,maximum,0.25000000,1,2.23346550,55,41,14,0.74545455,186.06000000,183.47000000,2.59000000,-2.59000000,1.69957888,2.02228785,-33.09000000,11,30.50000000,3,False
SqueezeRangeATR,6,minimum,0.15000000,-1,0.59106610,55,46,9,0.83636364,186.06000000,155.66000000,30.40000000,-30.40000000,1.69957888,1.71855237,-11.96000000,5,-18.44000000,4,False
SqueezeRangeATR,6,minimum,0.20000000,0,0.62065560,55,44,11,0.80000000,186.06000000,164.81000000,21.25000000,-21.25000000,1.69957888,1.79826601,-11.96000000,5,-9.29000000,6,False
SqueezeRangeATR,6,minimum,0.25000000,1,0.64994100,55,41,14,0.74545455,186.06000000,168.63000000,17.43000000,-17.43000000,1.69957888,1.90949787,-11.96000000,5,-5.47000000,9,False
SqueezeRangeATR,6,maximum,0.15000000,-1,1.02544540,55,46,9,0.83636364,186.06000000,194.42000000,-8.36000000,8.36000000,1.69957888,1.93323093,41.60000000,7,-33.24000000,2,False
SqueezeRangeATR,6,maximum,0.20000000,0,0.95571280,55,44,11,0.80000000,186.06000000,156.52000000,29.54000000,-29.54000000,1.69957888,1.75130802,3.70000000,9,-33.24000000,2,False
