"Profile","Phase","Set","ReportsExpected","ReportsParsed","MissingReports","UnparsedReports","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","LosingWindows","ProfitableWindows","FlatWindows","WorstDrawdownMoney","AverageProfitFactor","AverageSharpeRatio","AverageWinRatePercent","WorstConsecutiveLosses","EvidenceComplete"
"rvtf_h1_control","reversion_timeframe_transfer_discovery_model1","control","3","3","0","0","1141.33","89.73","568.7","0.87","0.45","0.86","0.45","0","3","0","88.14","3.1833","8.9267","51.86","2","True"
"rvtf_h2_duration","reversion_timeframe_transfer_discovery_model1","duration_normalized","3","3","0","0","83.6","0","41.8","0.06","0","0.06","0","0","2","1","71.28","1.4467","0.1933","33.33","1","True"
"rvtf_h2_local","reversion_timeframe_transfer_discovery_model1","local_bars","3","3","0","0","653.86","132.62","326.93","0.57","0.49","0.56","0.48","0","3","0","95.17","4.3567","0.8367","57.94","2","True"
"rvtf_h2_mid","reversion_timeframe_transfer_discovery_model1","mid_duration","3","3","0","0","-95.56","-47.78","-1.87","-0.07","-0.11","-0.07","-0.12","3","0","0","109.12","0.53","-0.23","19.44","2","True"
"rvtf_m30_duration","reversion_timeframe_transfer_discovery_model1","duration_normalized","3","3","0","0","-103.2","-118.63","67.03","-0.02","-0.3","-0.02","-0.3","2","1","0","216.2","0.88","-0.5267","15.87","6","True"
"rvtf_m30_local","reversion_timeframe_transfer_discovery_model1","local_bars","3","3","0","0","-604.62","-307.99","5.68","-0.68","-1.54","-0.68","-1.55","2","1","0","515.09","0.47","-2.1233","17.78","9","True"
"rvtf_m30_mid","reversion_timeframe_transfer_discovery_model1","mid_duration","3","3","0","0","-193.54","-96.77","-10.03","-0.21","-0.43","-0.21","-0.43","3","0","0","314.08","0.7833","-0.96","24.96","8","True"
