"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"fsd_strict","8","8","9934.78","6222.35","1107.93","214.3","2390.2","","0","0"
"base","8","8","9508.14","5814.52","1107.93","214.3","2371.39","","0","0"
