Profile,MomentumMaximumRiskPercent,AdaptiveMaximumRiskPercent,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,Trades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown,Decision
rr2_mo160,0.160,0.30,2621.40,26.21,2.04,1.84,415,1.41,16.2921,18.589,REJECT_RETURN_DD
rr2_mo165,0.165,0.30,2657.50,26.58,2.07,1.82,415,1.49,15.6241,17.839,REJECT_RECOVERY_AND_RETURN_DD
rr2_mo170,0.170,0.30,2776.71,27.77,2.15,1.84,416,1.48,16.3249,18.764,REJECT_RETURN_DD
rr2_pair_center,0.175,0.30,2832.59,28.33,2.19,1.83,416,1.50,16.3280,18.887,ISOLATED_CENTER
rr2_mo180,0.180,0.30,2810.82,28.11,2.17,1.81,416,1.58,15.8249,17.791,REJECT_RETURN_DD
rr2_mo185,0.185,0.30,2784.55,27.85,2.15,1.78,416,1.62,14.8644,17.191,REJECT_RECOVERY_AND_RETURN_DD
rr2_mo190,0.190,0.30,2807.44,28.07,2.17,1.77,416,1.62,14.9866,17.327,REJECT_RECOVERY_AND_RETURN_DD
