"Candidate","ProfileSha256","OlderNetProfit","NetProfit2019","ProfitFactor2019","NetProfit2020","ProfitFactor2020","ContinuousNetProfit","ContinuousReturnPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousRecoveryFactor","EraGatePass","QualityGatePass","ParentComparisonPass","AdjacentSupportPass","BaseGatePass","Decision"
"rddi_released_control","8E3E313DDAD08771569AE86E36D6DC86E261E79302DFF21CC80E1B833007C64F","814.7","-4.98","0.98","-100.47","0.77","694.13","6.94","1.42","225","2.77","2.2843","False","False","True","False","False","CONTROL_ONLY"
"rddi_di10_parent","15B22FA04F5EC7DECEC723D9F76D12DEE52731E21299D3AC21D7D8EC258D840B","663.37","-4.98","0.98","66.3","1.25","719.25","7.19","1.51","216","1.49","4.4794","False","True","True","False","False","PARENT_ONLY"
"rddi_di10_m12","6DD21EBFFB4908E960D919E210E706A6E31C0273BBB32C281C72A5434C5A0E12","724.77","-4.98","0.98","66.3","1.25","780.65","7.81","1.56","215","1.48","4.8617","False","True","True","False","False","REJECT_BEFORE_HOLDOUT"
"rddi_di10_m10_center","652CEA1E94335DAD384E9A0CD6FB8512FE16961366EC21F051E91A461C5A4A9B","724.77","-4.98","0.98","105.6","1.47","819.95","8.2","1.61","214","1.47","5.1065","False","True","True","False","False","REJECT_BEFORE_HOLDOUT"
"rddi_di10_m8","1DE0CCCC21481B7EA481EF1ABE8C2746C2079532B1ABE598C3CD9FF1EDAD46B3","659.14","-4.98","0.98","105.6","1.47","754.32","7.54","1.57","212","1.48","4.6978","False","True","True","False","False","REJECT_BEFORE_HOLDOUT"
