"Profile","Phase","Set","ReportsExpected","ReportsParsed","MissingReports","UnparsedReports","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","LosingWindows","ProfitableWindows","FlatWindows","WorstDrawdownMoney","AverageProfitFactor","AverageSharpeRatio","AverageWinRatePercent","WorstConsecutiveLosses","EvidenceComplete"
"ars_adx24","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-130.32","-65.16","-32.22","-0.12","-0.16","-0.12","-0.16","3","0","0","124.73","0.7167","-4.88","28.61","7","True"
"ars_center","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-518.57","-263.39","-42.57","-0.39","-0.53","-0.4","-0.54","3","0","0","317.28","0.6267","-5","34.01","11","True"
"ars_entry10","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-309.4","-160.25","-12.06","-0.22","-0.34","-0.22","-0.34","3","0","0","204.61","0.6733","-4.0133","36.18","6","True"
"ars_midpoint","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-241.67","-121.21","-22.6","-0.18","-0.24","-0.19","-0.25","3","0","0","200.9","0.7067","-4.4867","33.49","10","True"
"ars_reclaim05","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-518.57","-263.39","-42.57","-0.39","-0.53","-0.4","-0.54","3","0","0","317.28","0.6267","-5","34.01","11","True"
"ars_rr20","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-519.26","-262","-33.2","-0.39","-0.56","-0.39","-0.57","3","0","0","320.76","0.6333","-4.8367","34.01","11","True"
"ars_sweep05","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-518.57","-263.39","-42.57","-0.39","-0.53","-0.4","-0.54","3","0","0","317.28","0.6267","-5","34.01","11","True"
"ars_sweep15","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-606.19","-305.79","-79.71","-0.49","-0.55","-0.49","-0.56","3","0","0","357.5","0.55","-5","32.6","11","True"
"ars_volume105","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-215.2","-110.05","-26.56","-0.17","-0.2","-0.17","-0.2","3","0","0","176.26","0.73","-5","31.68","8","True"
"ars_wick15","discovery_model1","independent_m15_asian_range_sweep","3","3","0","0","-574.66","-306.67","27.17","-0.37","-0.77","-0.38","-0.78","2","1","0","388.24","0.57","-1.5833","35.23","10","True"
