"QueueRank","Candidate","Role","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","RVRiskPercent","MORiskPercent","RVMinimumDIEdge","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","dir_mo015_di12_control","control","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dir_mo015_di12_control_older_2015_2018_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_older_2015_2018_m1.htm","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-12.0","10000","1460","3.9973","814.7","10814.7","8.15","2.04","1.98","1.87","5.36","7.37","46.05","152","5","105.51","1.01","7.7215"
"2","dir_mo015_di12_control","control","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","dir_mo015_di12_control_repair_2019_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_repair_2019_m1.htm","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-12.0","10000","364","0.9966","-4.98","9995.02","-0.05","-0.05","-0.05","0.98","-0.13","-0.26","35.14","37","7","127.85","1.26","-0.039"
"3","dir_mo015_di12_control","control","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","dir_mo015_di12_control_repair_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_repair_2020_m1.htm","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-12.0","10000","365","0.9993","-100.47","9899.53","-1","-1.01","-1.01","0.77","-2.87","-3.33","40","35","6","313.42","3.08","-0.3206"
"4","dir_mo015_di12_control","control","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dir_mo015_di12_control_continuous_2015_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di12_control_continuous_2015_2020_m1.htm","0093752C917ADF03280767519975A1749C95FEFF6FA0F454460A6827595C4479","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-12.0","10000","2191","5.9986","694.13","10694.13","6.94","1.16","1.13","1.42","3.09","4.23","43.11","225","7","303.87","2.77","2.2843"
"5","dir_mo015_di10_center","repair_center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dir_mo015_di10_center_older_2015_2018_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_older_2015_2018_m1.htm","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-10.0","10000","1460","3.9973","663.37","10663.37","6.63","1.66","1.62","1.75","4.51","6.66","45.58","147","5","94.98","0.92","6.9843"
"6","dir_mo015_di10_center","repair_center","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","dir_mo015_di10_center_repair_2019_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_repair_2019_m1.htm","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-10.0","10000","364","0.9966","-4.98","9995.02","-0.05","-0.05","-0.05","0.98","-0.13","-0.26","35.14","37","7","127.85","1.26","-0.039"
"7","dir_mo015_di10_center","repair_center","discovery_model1","repair_2020","2020.01.01","2020.12.31","1","10000","dir_mo015_di10_center_repair_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_repair_2020_m1.htm","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-10.0","10000","365","0.9993","66.3","10066.3","0.66","0.66","0.66","1.25","2.14","3.32","45.16","31","3","161.36","1.59","0.4109"
"8","dir_mo015_di10_center","repair_center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dir_mo015_di10_center_continuous_2015_2020_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di10_center_continuous_2015_2020_m1.htm","C32A4BD16A6ADD186C4418562E871BA4B3AA6C8EFC6B103CB0DC550C0CEBE3F4","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-10.0","10000","2191","5.9986","719.25","10719.25","7.19","1.2","1.16","1.51","3.33","5.07","43.52","216","7","160.57","1.49","4.4794"
"9","dir_mo015_di08_strict","strict_neighbor","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dir_mo015_di08_strict_older_2015_2018_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_older_2015_2018_m1.htm","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-8.0","10000","1460","3.9973","566.94","10566.94","5.67","1.42","1.39","1.65","3.94","5.97","45.14","144","5","87.62","0.87","6.4704"
"10","dir_mo015_di08_strict","strict_neighbor","discovery_model1","repair_2019","2019.01.01","2019.12.31","1","10000","dir_mo015_di08_strict_repair_2019_m1","PARSED","outputs\rc2_di_repair_portfolio_discovery_model1_package\reports_here\dir_mo015_di08_strict_repair_2019_m1.htm","831CD4D847EF465C2E3F7A7A54BBB6C774F08A19D966CF27B519F7BC6CEA3839","9141137A9550F3394DE85E1725E018671B4F2A2FF0F43A3EF23F9FB1238CD302","rc2_di_repair_portfolio_discovery_model1","0.45","0.15","-8.0","10000","364","0.9966","26.32","10026.32","0.26","0.26","0.26","1.13","0.73","1.39","36.11","36","6","96.55","0.95","0.2726"
