"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","m15fvg_b12_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\001_m15fvg_b12_a8_tp20_older_2015_2018_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\001_m15fvg_b12_a8_tp20_older_2015_2018_m1.ini","m15fvg_b12_a8_tp20_older_2015_2018_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b12_a8_tp20_older_2015_2018_m1","C4302DDEB1862B0BED7246A3E94FA1F489A805676EF2FC1CBEF8FE8640A7C7C8","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"2","m15fvg_b12_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\002_m15fvg_b12_a8_tp20_discovery_2019_2020_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\002_m15fvg_b12_a8_tp20_discovery_2019_2020_m1.ini","m15fvg_b12_a8_tp20_discovery_2019_2020_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b12_a8_tp20_discovery_2019_2020_m1","C4302DDEB1862B0BED7246A3E94FA1F489A805676EF2FC1CBEF8FE8640A7C7C8","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"3","m15fvg_b12_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\003_m15fvg_b12_a8_tp20_continuous_2015_2020_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\003_m15fvg_b12_a8_tp20_continuous_2015_2020_m1.ini","m15fvg_b12_a8_tp20_continuous_2015_2020_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b12_a8_tp20_continuous_2015_2020_m1","C4302DDEB1862B0BED7246A3E94FA1F489A805676EF2FC1CBEF8FE8640A7C7C8","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"4","m15fvg_b20_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\004_m15fvg_b20_a8_tp20_older_2015_2018_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\004_m15fvg_b20_a8_tp20_older_2015_2018_m1.ini","m15fvg_b20_a8_tp20_older_2015_2018_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b20_a8_tp20_older_2015_2018_m1","AC870CC80A686F0F112148F28A33D9734172FE12F5727EAF550F99848A78F7B7","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"5","m15fvg_b20_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\005_m15fvg_b20_a8_tp20_discovery_2019_2020_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\005_m15fvg_b20_a8_tp20_discovery_2019_2020_m1.ini","m15fvg_b20_a8_tp20_discovery_2019_2020_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b20_a8_tp20_discovery_2019_2020_m1","AC870CC80A686F0F112148F28A33D9734172FE12F5727EAF550F99848A78F7B7","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"6","m15fvg_b20_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\006_m15fvg_b20_a8_tp20_continuous_2015_2020_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\006_m15fvg_b20_a8_tp20_continuous_2015_2020_m1.ini","m15fvg_b20_a8_tp20_continuous_2015_2020_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b20_a8_tp20_continuous_2015_2020_m1","AC870CC80A686F0F112148F28A33D9734172FE12F5727EAF550F99848A78F7B7","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"7","m15fvg_b32_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\007_m15fvg_b32_a8_tp20_older_2015_2018_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\007_m15fvg_b32_a8_tp20_older_2015_2018_m1.ini","m15fvg_b32_a8_tp20_older_2015_2018_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b32_a8_tp20_older_2015_2018_m1","A388A6AB2855AC27DFBABD330194A0D5224B4F6763C7A4E184877EA5F52F402E","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"8","m15fvg_b32_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\008_m15fvg_b32_a8_tp20_discovery_2019_2020_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\008_m15fvg_b32_a8_tp20_discovery_2019_2020_m1.ini","m15fvg_b32_a8_tp20_discovery_2019_2020_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b32_a8_tp20_discovery_2019_2020_m1","A388A6AB2855AC27DFBABD330194A0D5224B4F6763C7A4E184877EA5F52F402E","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"9","m15fvg_b32_a8_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\009_m15fvg_b32_a8_tp20_continuous_2015_2020_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\009_m15fvg_b32_a8_tp20_continuous_2015_2020_m1.ini","m15fvg_b32_a8_tp20_continuous_2015_2020_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b32_a8_tp20_continuous_2015_2020_m1","A388A6AB2855AC27DFBABD330194A0D5224B4F6763C7A4E184877EA5F52F402E","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"10","m15fvg_b20_a4_tp20","discovery_model1","Independent M15 displacement FVG retest discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\010_m15fvg_b20_a4_tp20_older_2015_2018_m1.ini","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\010_m15fvg_b20_a4_tp20_older_2015_2018_m1.ini","m15fvg_b20_a4_tp20_older_2015_2018_m1","outputs\independent_m15_fvg_retest_discovery_model1_package\reports_here\m15fvg_b20_a4_tp20_older_2015_2018_m1","F9E62483E4240CF98CBFC0ECB5F1B2700D1DFBE9AB58BB66CA93AF8F447A792C","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
