"Dimension","Segment","Trades","NetProfit","GrossProfit","GrossLoss","ProfitFactor","WinRatePercent","AverageProfit","AverageHoldMinutes"
"Overall","all","5","4.43","15.82","11.39","1.3889","40","0.89","1515.26"
"EntrySubtype","other","5","4.43","15.82","11.39","1.3889","40","0.89","1515.26"
"EntryHour","13","1","-1.41","0","1.41","0","0","-1.41","960"
"EntryHour","16","1","-8.16","0","8.16","0","0","-8.16","180"
"EntryHour","17","1","-1.82","0","1.82","0","0","-1.82","600"
"EntryHour","2","1","4.91","4.91","0","INF","100","4.91","5589.98"
"EntryHour","6","1","10.91","10.91","0","INF","100","10.91","246.33"
"EntryYear","2019","5","4.43","15.82","11.39","1.3889","40","0.89","1515.26"
"EntryMonth","1","1","-8.16","0","8.16","0","0","-8.16","180"
"EntryMonth","12","1","4.91","4.91","0","INF","100","4.91","5589.98"
"EntryMonth","6","1","10.91","10.91","0","INF","100","10.91","246.33"
"EntryMonth","7","1","-1.41","0","1.41","0","0","-1.41","960"
"EntryMonth","9","1","-1.82","0","1.82","0","0","-1.82","600"
"Side","buy","5","4.43","15.82","11.39","1.3889","40","0.89","1515.26"
"DayOfWeek","Friday","2","15.82","15.82","0","INF","100","7.91","2918.16"
"DayOfWeek","Monday","1","-1.82","0","1.82","0","0","-1.82","600"
"DayOfWeek","Thursday","1","-8.16","0","8.16","0","0","-8.16","180"
"DayOfWeek","Tuesday","1","-1.41","0","1.41","0","0","-1.41","960"
