Version,Profile,Window,From,To,Model,Deposit,NetProfit,TotalReturnPercent,CagrPercent,ProfitFactor,Trades,MaxDrawdownPercent,RecoveryFactor,ReturnDrawdown
v1,control,older_2015_2018,2015.01.01,2018.12.31,4,10000,856.18,8.56,2.08,1.79,187,1.01,8.0688,8.475
v1,residual_risk_selected,older_2015_2018,2015.01.01,2018.12.31,4,10000,1012.80,10.13,2.44,1.58,204,1.46,6.5698,6.938
v1,control,middle_2019_2022,2019.01.01,2022.12.31,4,10000,572.09,5.72,1.40,1.68,131,1.17,4.8006,4.889
v1,residual_risk_selected,middle_2019_2022,2019.01.01,2022.12.31,4,10000,640.18,6.40,1.56,1.45,167,1.60,3.8633,4.000
v1,control,recent_2023_2026,2023.01.01,2026.07.12,4,10000,602.11,6.02,1.67,2.28,76,1.24,4.7859,4.855
v1,residual_risk_selected,recent_2023_2026,2023.01.01,2026.07.12,4,10000,1046.62,10.47,2.86,2.31,98,1.74,6.0161,6.017
v1,control,continuous_2015_2026,2015.01.01,2026.07.12,4,10000,2105.08,21.05,1.67,1.81,404,1.15,15.6686,18.304
v1,residual_risk_selected,continuous_2015_2026,2015.01.01,2026.07.12,4,10000,2935.46,29.35,2.26,1.68,475,1.94,12.8455,15.129
