"probe_id","year","source_sha256","trade_symbol","reference_symbol","timeframe","xau_closed_bars","broker_reference_bars","aligned_bars","missing_bars","alignment_percent","lookback_ready_bars","lookback_ready_percent","maximum_alignment_seconds","first_aligned_bar","last_aligned_bar","reference_digits","reference_point","reference_minimum_volume"
"xau_eurusd_history_older_2015_2018","2015","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","EURUSD","PERIOD_M15","23361","24776","23361","0","100.0000","23361","100.0000","900","2015.01.02 09:00","2015.12.31 18:45","5","0.00001000","0.0100"
"xau_eurusd_history_older_2015_2018","2016","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","EURUSD","PERIOD_M15","23539","24898","23516","23","99.9023","23516","100.0000","900","2016.01.04 01:00","2016.12.30 23:45","5","0.00001000","0.0100"
"xau_eurusd_history_older_2015_2018","2017","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","EURUSD","PERIOD_M15","23440","24804","23440","0","100.0000","23440","100.0000","900","2017.01.03 01:00","2017.12.29 23:45","5","0.00001000","0.0100"
"xau_eurusd_history_older_2015_2018","2018","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","EURUSD","PERIOD_M15","23406","24720","23406","0","100.0000","23406","100.0000","0","2018.01.02 09:00","2018.12.28 23:30","5","0.00001000","0.0100"
"xau_eurusd_history_discovery_2019_2020","2019","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","EURUSD","PERIOD_M15","23475","24784","23475","0","100.0000","23475","100.0000","0","2019.01.02 06:00","2019.12.31 20:45","5","0.00001000","0.0100"
"xau_eurusd_history_discovery_2019_2020","2020","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","EURUSD","PERIOD_M15","23530","24812","23530","0","100.0000","23530","100.0000","0","2020.01.02 06:00","2020.12.30 23:30","5","0.00001000","0.0100"
"xau_usdjpy_history_older_2015_2018","2015","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","USDJPY","PERIOD_M15","23361","24776","23361","0","100.0000","23361","100.0000","900","2015.01.02 09:00","2015.12.31 18:45","3","0.00100000","0.0100"
"xau_usdjpy_history_older_2015_2018","2016","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","USDJPY","PERIOD_M15","23539","24916","23532","7","99.9703","23532","100.0000","900","2016.01.04 01:00","2016.12.30 23:45","3","0.00100000","0.0100"
"xau_usdjpy_history_older_2015_2018","2017","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","USDJPY","PERIOD_M15","23440","24803","23438","2","99.9915","23438","100.0000","900","2017.01.03 01:00","2017.12.29 23:45","3","0.00100000","0.0100"
"xau_usdjpy_history_older_2015_2018","2018","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","USDJPY","PERIOD_M15","23406","24721","23406","0","100.0000","23406","100.0000","0","2018.01.02 09:00","2018.12.28 23:30","3","0.00100000","0.0100"
"xau_usdjpy_history_discovery_2019_2020","2019","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","USDJPY","PERIOD_M15","23475","24785","23475","0","100.0000","23475","100.0000","0","2019.01.02 06:00","2019.12.31 20:45","3","0.00100000","0.0100"
"xau_usdjpy_history_discovery_2019_2020","2020","A282C43CFE9C29E89075A608F574E5C2E16753410109BC6201379825EBEA001B","XAUUSD","USDJPY","PERIOD_M15","23530","24812","23530","0","100.0000","23530","100.0000","0","2020.01.02 06:00","2020.12.30 23:30","3","0.00100000","0.0100"
