QueueRank,Window,ExpectedReportName,GatePass,Reasons,NetProfit,ProfitFactor,TotalTrades,MaxDrawdownPercent,RecoveryFactor
1,2019,rdmc_hlr4_w01_m1_critical_2019,False,ProfitFactor=1.04<1.05,3.15,1.04,25,0.43,0.0738
2,2022,rdmc_hlr4_w01_m1_critical_2022,True,PASS,39.78,1.32,27,0.73,0.5425
