"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Deposit"
"1","1","reversion_reward_quality_risk_discovery_model1","rqri_control","control","older_2015_2018","2015.01.01","2018.12.31","rqri_control_older_2015_2018_m1","10000"
"2","2","reversion_reward_quality_risk_discovery_model1","rqri_control","control","discovery_2019_2020","2019.01.01","2020.12.31","rqri_control_discovery_2019_2020_m1","10000"
"3","3","reversion_reward_quality_risk_discovery_model1","rqri_control","control","continuous_2015_2020","2015.01.01","2020.12.31","rqri_control_continuous_2015_2020_m1","10000"
"4","4","reversion_reward_quality_risk_discovery_model1","rqri_body070","body_risk_diagnostic","older_2015_2018","2015.01.01","2018.12.31","rqri_body070_older_2015_2018_m1","10000"
"5","5","reversion_reward_quality_risk_discovery_model1","rqri_body070","body_risk_diagnostic","discovery_2019_2020","2019.01.01","2020.12.31","rqri_body070_discovery_2019_2020_m1","10000"
"6","6","reversion_reward_quality_risk_discovery_model1","rqri_body070","body_risk_diagnostic","continuous_2015_2020","2015.01.01","2020.12.31","rqri_body070_continuous_2015_2020_m1","10000"
"7","7","reversion_reward_quality_risk_discovery_model1","rqri_rr135","reward_lower","older_2015_2018","2015.01.01","2018.12.31","rqri_rr135_older_2015_2018_m1","10000"
"8","8","reversion_reward_quality_risk_discovery_model1","rqri_rr135","reward_lower","discovery_2019_2020","2019.01.01","2020.12.31","rqri_rr135_discovery_2019_2020_m1","10000"
"9","9","reversion_reward_quality_risk_discovery_model1","rqri_rr135","reward_lower","continuous_2015_2020","2015.01.01","2020.12.31","rqri_rr135_continuous_2015_2020_m1","10000"
"10","10","reversion_reward_quality_risk_discovery_model1","rqri_center150_070","center","older_2015_2018","2015.01.01","2018.12.31","rqri_center150_070_older_2015_2018_m1","10000"
"11","11","reversion_reward_quality_risk_discovery_model1","rqri_center150_070","center","discovery_2019_2020","2019.01.01","2020.12.31","rqri_center150_070_discovery_2019_2020_m1","10000"
"12","12","reversion_reward_quality_risk_discovery_model1","rqri_center150_070","center","continuous_2015_2020","2015.01.01","2020.12.31","rqri_center150_070_continuous_2015_2020_m1","10000"
"13","13","reversion_reward_quality_risk_discovery_model1","rqri_rr165","reward_upper","older_2015_2018","2015.01.01","2018.12.31","rqri_rr165_older_2015_2018_m1","10000"
"14","14","reversion_reward_quality_risk_discovery_model1","rqri_rr165","reward_upper","discovery_2019_2020","2019.01.01","2020.12.31","rqri_rr165_discovery_2019_2020_m1","10000"
"15","15","reversion_reward_quality_risk_discovery_model1","rqri_rr165","reward_upper","continuous_2015_2020","2015.01.01","2020.12.31","rqri_rr165_continuous_2015_2020_m1","10000"
"16","16","reversion_reward_quality_risk_discovery_model1","rqri_risk065","risk_lower","older_2015_2018","2015.01.01","2018.12.31","rqri_risk065_older_2015_2018_m1","10000"
"17","17","reversion_reward_quality_risk_discovery_model1","rqri_risk065","risk_lower","discovery_2019_2020","2019.01.01","2020.12.31","rqri_risk065_discovery_2019_2020_m1","10000"
"18","18","reversion_reward_quality_risk_discovery_model1","rqri_risk065","risk_lower","continuous_2015_2020","2015.01.01","2020.12.31","rqri_risk065_continuous_2015_2020_m1","10000"
"19","19","reversion_reward_quality_risk_discovery_model1","rqri_risk075","risk_upper","older_2015_2018","2015.01.01","2018.12.31","rqri_risk075_older_2015_2018_m1","10000"
"20","20","reversion_reward_quality_risk_discovery_model1","rqri_risk075","risk_upper","discovery_2019_2020","2019.01.01","2020.12.31","rqri_risk075_discovery_2019_2020_m1","10000"
"21","21","reversion_reward_quality_risk_discovery_model1","rqri_risk075","risk_upper","continuous_2015_2020","2015.01.01","2020.12.31","rqri_risk075_continuous_2015_2020_m1","10000"
