"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","PullbackEMAPeriod","PullbackLookbackBars","MinimumADX","TakeProfitR","UseSignalVolumeFilter","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence"
"1","m15tpb_center","1","independent_m15_trend_pullback","1","discovery_model1","m15tpb_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m15tpb_center_older_2015_2018_m1.ini","m15tpb_center_older_2015_2018_m1","profiles\m15tpb_center.set","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_center_older_2015_2018_m1.htm","878AC078EE42A5849CA5B4C781F1F96492DFFB307146276450D92A849CD6898C","10000","1460","3.9973","-146.31","9853.69","-1.46","-0.37","-0.37","0.42","-3.4","-5","37.21","43","10","197.95","1.97","185.6","197.95","-0.7391","REPORT_FOUND","Reused existing non-empty package report."
"2","m15tpb_center","1","independent_m15_trend_pullback","1","discovery_model1","m15tpb_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m15tpb_center_discovery_2019_2020_m1.ini","m15tpb_center_discovery_2019_2020_m1","profiles\m15tpb_center.set","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_center_discovery_2019_2020_m1.htm","B706EE0083E75C31D4D503E81D05F6D19BE5EBAE545D4DBA876B81B471D6CF9E","10000","730","1.9986","-164.58","9835.42","-1.65","-0.82","-0.83","0.21","-5.31","-5","25.81","31","7","175.02","1.75","165.33","175.02","-0.9403","REPRODUCED_REPORT","The first fresh-worker export contained zero trades; the exact config was rerun on a warmed isolated worker, produced 31 trades, and replaced the initialization artifact before decision generation."
"3","m15tpb_center","1","independent_m15_trend_pullback","1","discovery_model1","m15tpb_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m15tpb_center_continuous_2015_2020_m1.ini","m15tpb_center_continuous_2015_2020_m1","profiles\m15tpb_center.set","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_center_continuous_2015_2020_m1.htm","F7E58409CD55B7782554B9C7DBF1CAD3F43A22585C13EEE42B2800CC25243325","10000","2191","5.9986","-305.62","9694.38","-3.06","-0.51","-0.52","0.33","-4.13","-5","32.43","74","10","359.72","3.58","344.67","359.72","-0.8496","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"4","m15tpb_ema15","2","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m15tpb_ema15_older_2015_2018_m1.ini","m15tpb_ema15_older_2015_2018_m1","profiles\m15tpb_ema15.set","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema15_older_2015_2018_m1.htm","860CC06204493356DA5C976236CE60D2B4E341287621EDB8466642D08509284E","10000","1460","3.9973","-234.26","9765.74","-2.34","-0.59","-0.59","0.38","-3.6","-5","36.92","65","12","299.44","2.98","258.57","299.44","-0.7823","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"5","m15tpb_ema15","2","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m15tpb_ema15_discovery_2019_2020_m1.ini","m15tpb_ema15_discovery_2019_2020_m1","profiles\m15tpb_ema15.set","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema15_discovery_2019_2020_m1.htm","2BEC0055BB7A265E767DCB401F70EDFB9E6695127B762219385446F106517A16","10000","730","1.9986","-149.6","9850.4","-1.5","-0.75","-0.75","0.4","-3.74","-5","30","40","8","153.8","1.54","149.6","153.8","-0.9727","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"6","m15tpb_ema15","2","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m15tpb_ema15_continuous_2015_2020_m1.ini","m15tpb_ema15_continuous_2015_2020_m1","profiles\m15tpb_ema15.set","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema15_continuous_2015_2020_m1.htm","0625D43D0672067AD60105E4876C6C489D233DC3D4DA744B3FE456E78048B802","10000","2191","5.9986","-378.91","9621.09","-3.79","-0.63","-0.64","0.39","-3.61","-5","34.29","105","12","414.99","4.13","378.91","414.99","-0.9131","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"7","m15tpb_ema30","3","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m15tpb_ema30_older_2015_2018_m1.ini","m15tpb_ema30_older_2015_2018_m1","profiles\m15tpb_ema30.set","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","30","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema30_older_2015_2018_m1.htm","D8C98D00227D5AC78030F6C3839DCBC32131129BE2B8CAAEFE0EF243690C70D7","10000","1460","3.9973","-137.78","9862.22","-1.38","-0.34","-0.35","0.33","-4.31","-5","31.25","32","7","163.65","1.63","151.3","163.65","-0.8419","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"8","m15tpb_ema30","3","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m15tpb_ema30_discovery_2019_2020_m1.ini","m15tpb_ema30_discovery_2019_2020_m1","profiles\m15tpb_ema30.set","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","30","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema30_discovery_2019_2020_m1.htm","B80854A72A37E5DC0ED187DE7F42CF9A5263A26DB31A6A7C5C574818EA488C72","10000","730","1.9986","-108.96","9891.04","-1.09","-0.55","-0.55","0.15","-5.73","-5","26.32","19","5","112.32","1.12","108.96","112.32","-0.9701","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"9","m15tpb_ema30","3","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m15tpb_ema30_continuous_2015_2020_m1.ini","m15tpb_ema30_continuous_2015_2020_m1","profiles\m15tpb_ema30.set","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","30","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_ema30_continuous_2015_2020_m1.htm","C55D46061B3243C71E1D269759B6157BF818DE7502AF974AEA1CE4103D3035CC","10000","2191","5.9986","-241.47","9758.53","-2.41","-0.4","-0.41","0.27","-4.73","-5","29.41","51","7","262.72","2.62","254","262.72","-0.9191","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"10","m15tpb_pb2","4","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb2.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m15tpb_pb2_older_2015_2018_m1.ini","m15tpb_pb2_older_2015_2018_m1","profiles\m15tpb_pb2.set","8AAD820D5DCDAD41C944BC35546D0B1BC0D09AE960705611F294EA0545A7D8F6","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","20","2","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026.","PARSED","outputs\independent_m15_trend_pullback_discovery_model1_package\reports_here\m15tpb_pb2_older_2015_2018_m1.htm","00A3018E968FA3982FC160D6F7EF02413077FE89107359BB61EF2C1832A89548","10000","1460","3.9973","-158.8","9841.2","-1.59","-0.4","-0.4","0.39","-3.69","-5","34.88","43","9","187.04","1.87","173.64","187.04","-0.849","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
