"QueueRank","Rank","Wave","Phase","Role","Candidate","Profile","Set","Window","From","To","Model","Deposit","InitialDeposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","ConfigSha256","MinNetProfit","MinProfitFactor","MinTrades","MaxDrawdownPercent","MinRecoveryFactor","MinCagrPercent","MaxParallelism","StopRule","Status"
"1","1","1","wave_01_m1_critical","critical","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","2019","2019.01.01","2019.12.31","1","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\001_rdmc_exec_w01_m1_critical_2019.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\001_rdmc_exec_w01_m1_critical_2019.ini","rdmc_exec_w01_m1_critical_2019","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w01_m1_critical_2019","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","F652BD387861EF0F197F5E22C95259B6A0C993DCA61C909B7925EFD4A8E427FC","0.01","1.05","15","3","0","0","2","Reject immediately unless net>0, PF>=1.05, trades meet the frozen floor, and equity drawdown<=3%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"2","2","1","wave_01_m1_critical","critical","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","2022","2022.01.01","2022.12.31","1","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\002_rdmc_exec_w01_m1_critical_2022.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\002_rdmc_exec_w01_m1_critical_2022.ini","rdmc_exec_w01_m1_critical_2022","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w01_m1_critical_2022","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","11C17CDE6532CC2DFEEC6759EC2182ACCC71AD5D33581BA3D3C52320EF34C921","0.01","1.05","20","3","0","0","2","Reject immediately unless net>0, PF>=1.05, trades meet the frozen floor, and equity drawdown<=3%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"3","3","2","wave_02_m1_broad","broad","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","older_2015_2018","2015.01.01","2018.12.31","1","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\003_rdmc_exec_w02_m1_broad_older_2015_2018.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\003_rdmc_exec_w02_m1_broad_older_2015_2018.ini","rdmc_exec_w02_m1_broad_older_2015_2018","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w02_m1_broad_older_2015_2018","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","B398CB48E1F860816D3C7D68333D2B8521C152CCA19B1651796F9B26E8A964FD","0.01","1.2","80","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"4","4","2","wave_02_m1_broad","broad","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","middle_2019_2022","2019.01.01","2022.12.31","1","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\004_rdmc_exec_w02_m1_broad_middle_2019_2022.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\004_rdmc_exec_w02_m1_broad_middle_2019_2022.ini","rdmc_exec_w02_m1_broad_middle_2019_2022","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w02_m1_broad_middle_2019_2022","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","C9C71FC2D64A6DF1B093255A5D5695B8D18A974465380CF94EF0A09A605E20A6","0.01","1.2","80","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"5","5","2","wave_02_m1_broad","broad","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","recent_2023_2026","2023.01.01","2026.07.12","1","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\005_rdmc_exec_w02_m1_broad_recent_2023_2026.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\005_rdmc_exec_w02_m1_broad_recent_2023_2026.ini","rdmc_exec_w02_m1_broad_recent_2023_2026","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w02_m1_broad_recent_2023_2026","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","D8ADD57BEF2F583EC44FF706973DF17EF635AAA293EC2F44904BBF4CD75E2C83","0.01","1.2","30","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"6","6","2","wave_02_m1_broad","continuous","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\006_rdmc_exec_w02_m1_continuous_continuous_2015_2026.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\006_rdmc_exec_w02_m1_continuous_continuous_2015_2026.ini","rdmc_exec_w02_m1_continuous_continuous_2015_2026","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w02_m1_continuous_continuous_2015_2026","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","472087950C5374F950160FA8C8E52CC2D9FD49A505D1519244811CF3253F1748","0.01","1.25","250","5","2","0.75","4","Model1 is triage only: require net>0, PF>=1.25, >=250 trades, <=5% drawdown, >=2 recovery, and >=0.75% CAGR.","LOCKED_LOCAL_LAUNCH_DISABLED"
"7","7","3","wave_03_m4_critical","critical","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","2019","2019.01.01","2019.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\007_rdmc_exec_w03_m4_critical_2019.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\007_rdmc_exec_w03_m4_critical_2019.ini","rdmc_exec_w03_m4_critical_2019","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w03_m4_critical_2019","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","D0058D1162BE05833BAEDA43AF427557A8386AD3BA7BB65A493793F67335E4F6","0.01","1.05","15","3","0","0","2","Reject immediately unless net>0, PF>=1.05, trades meet the frozen floor, and equity drawdown<=3%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"8","8","3","wave_03_m4_critical","critical","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","2022","2022.01.01","2022.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\008_rdmc_exec_w03_m4_critical_2022.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\008_rdmc_exec_w03_m4_critical_2022.ini","rdmc_exec_w03_m4_critical_2022","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w03_m4_critical_2022","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","8E0A8C07CE825EB33EAD99FF9D65AB2462F7BFDD8945328F915C582AD218FCC4","0.01","1.05","20","3","0","0","2","Reject immediately unless net>0, PF>=1.05, trades meet the frozen floor, and equity drawdown<=3%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"9","9","4","wave_04_m4_broad","broad","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","older_2015_2018","2015.01.01","2018.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\009_rdmc_exec_w04_m4_broad_older_2015_2018.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\009_rdmc_exec_w04_m4_broad_older_2015_2018.ini","rdmc_exec_w04_m4_broad_older_2015_2018","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w04_m4_broad_older_2015_2018","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","2B69BAF9B3CDBEDC7A1FD3C919A15AC171AC7B2EDDC53A346BB9AAAF2BA00410","0.01","1.2","80","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
"10","10","4","wave_04_m4_broad","broad","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen","middle_2019_2022","2019.01.01","2022.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\010_rdmc_exec_w04_m4_broad_middle_2019_2022.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\010_rdmc_exec_w04_m4_broad_middle_2019_2022.ini","rdmc_exec_w04_m4_broad_middle_2019_2022","outputs\rdmc_diversified_repair_executable_gate_package\reports_here\rdmc_exec_w04_m4_broad_middle_2019_2022","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","2C165524F7B161047C1895028A6F43C55C710DE6411F86B153C47F67378D6661","0.01","1.2","80","5","0","0","4","Reject unless every disjoint broad era is profitable with PF>=1.20, sufficient activity, and equity drawdown<=5%.","LOCKED_LOCAL_LAUNCH_DISABLED"
