"QueueRank","Candidate","Window","From","To","Model","StrongSignalRiskEnabled","NoncompoundingRiskBudgetEnabled","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","ncrb_control","older_2015_2018","2015.01.01","2018.12.31","1","false","false","7FAE398D8B503BCB0AD61884D2E0568251A1BBF043C7F4EBBCE12C886FEECF76","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","8EB01AFDBC612212CCDB5143843F9477A2C4E170BC34216023EF5F6FBD326B3B"
"2","ncrb_control","middle_2019_2022","2019.01.01","2022.12.31","1","false","false","7FAE398D8B503BCB0AD61884D2E0568251A1BBF043C7F4EBBCE12C886FEECF76","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","694.54","6.95","1.69","1.81","141","41.84","121.19","1.17","5.731","5.9402","5.47","8","EB048DE166756CFECBF1E17926B60F6B3EC3B809905D32B17D08DCC78349D0A2"
"3","ncrb_control","recent_2023_2026","2023.01.01","2026.07.12","1","false","false","7FAE398D8B503BCB0AD61884D2E0568251A1BBF043C7F4EBBCE12C886FEECF76","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","601.99","6.02","1.67","2.28","76","48.68","127.62","1.2","4.7171","5.0167","5.46","6","38F981771C42BA4D78ACC8BEA6F3EB7B643B6B541DA588A1E6D924E8EBCCFCF8"
"4","ncrb_control","continuous_2015_2026","2015.01.01","2026.07.12","1","false","false","7FAE398D8B503BCB0AD61884D2E0568251A1BBF043C7F4EBBCE12C886FEECF76","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","2195.53","21.96","1.74","1.83","415","44.82","138.81","1.17","15.8168","18.7692","4.58","8","D672117A4530BCEE71304E09AFAFAEAAF5DEA7CA0D85A10049A81088E5043504"
"5","ncrb_budget_only","older_2015_2018","2015.01.01","2018.12.31","1","false","true","130337F3B1FF0CAA809AAAEDAC9B18148F71F05BFE58AD7B3EF0103D757576F1","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","815.51","8.16","1.98","1.79","185","44.86","105.51","1.01","7.7292","8.0792","5.07","6","A8A8BE79675DC62A2CBDE64A5C6E9CA1D9B0353EF278A871DAEB9B0B473B6445"
"6","ncrb_budget_only","middle_2019_2022","2019.01.01","2022.12.31","1","false","true","130337F3B1FF0CAA809AAAEDAC9B18148F71F05BFE58AD7B3EF0103D757576F1","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","614.68","6.15","1.5","1.73","140","41.43","115.59","1.12","5.3178","5.4911","5.2","8","4DE1DAA34D31221E28CB42E874DAD91EA89E00BB01FC3984F95DCCCF48E8CCCF"
"7","ncrb_budget_only","recent_2023_2026","2023.01.01","2026.07.12","1","false","true","130337F3B1FF0CAA809AAAEDAC9B18148F71F05BFE58AD7B3EF0103D757576F1","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","599","5.99","1.66","2.31","76","48.68","127.62","1.2","4.6936","4.9917","5.44","6","C6852D009947348323D0BFEEB782FBB3F03777065A09F6BA25A2548886B5B3CB"
"8","ncrb_budget_only","continuous_2015_2026","2015.01.01","2026.07.12","1","false","true","130337F3B1FF0CAA809AAAEDAC9B18148F71F05BFE58AD7B3EF0103D757576F1","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","2030.2","20.3","1.62","1.87","402","44.28","127.62","1.06","15.9082","19.1509","4.84","8","4C585C45484CFD3C6C56A3961F93EBA9ACC5511ED73D89FEFFFCC4204068A195"
"9","ncrb_strong_dynamic","older_2015_2018","2015.01.01","2018.12.31","1","true","false","2DD90CDFFFB07BDF6573EB8A9EC55514A3814BDC13095E0B3DC0FAD34224017C","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","74509EC5C21123DEEAA2A47DC3818294D6C7A490A92FBC766796A69C18E7ED05"
"10","ncrb_strong_dynamic","middle_2019_2022","2019.01.01","2022.12.31","1","true","false","2DD90CDFFFB07BDF6573EB8A9EC55514A3814BDC13095E0B3DC0FAD34224017C","B72F61E0633F5A57C3BC4D5688C8F7F29155B772F7D2BDE3EDC72429A41E9EA8","7D5F1FF625C50609019B8DEBB48026DEF58583613DE971ADA63D5B0AF0DCF03F","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","C96AEAEDD2CA1D001A544057D3D4B708D8C4EF193BD9B8D5F62D420FC40E6E5F"
