"QueueRank","Candidate","Window","From","To","Model","PriceNormalizedStopCap","MaximumStopPriceDistance","MaximumStopPricePercent","Promotable","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","ReportSha256"
"1","drns_fixed6","older_2015_2018","2015.01.01","2018.12.31","1","false","6.00","0.30","False","5E23ABDBD28719EBF086F691AF49A1DA260E0367B1BBF7DC6D0E6972D6E70A35","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","187.2","1.87","0.47","1.39","103","50.49","103.73","1.04","1.8047","1.7981","1FC1E253C096B89A9F6BF8E884750C86FC70D7F2041768AC2F2F3FA9B60A3F05"
"2","drns_fixed6","pre_2019_2020","2019.01.01","2020.12.31","1","false","6.00","0.30","False","5E23ABDBD28719EBF086F691AF49A1DA260E0367B1BBF7DC6D0E6972D6E70A35","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","59.59","0.6","0.3","1.17","74","45.95","88.88","0.89","0.6705","0.6742","C3D7BD2DF6636288CFD203EE93514B58587203C1F1DD45E128BA60906BECFFC1"
"3","drns_fixed6","transition_2021_2023","2021.01.01","2023.12.31","1","false","6.00","0.30","False","5E23ABDBD28719EBF086F691AF49A1DA260E0367B1BBF7DC6D0E6972D6E70A35","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","181.94","1.82","0.6","1.35","120","51.67","71.32","0.7","2.551","2.6","570BB4E8029C65C039D2374177C03150BCF265FC3939C78B556F934D7A61C4BF"
"4","drns_fixed6","recent_2024_2026","2024.01.01","2026.07.17","1","false","6.00","0.30","False","5E23ABDBD28719EBF086F691AF49A1DA260E0367B1BBF7DC6D0E6972D6E70A35","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","-66.41","-0.66","-0.26","0.76","54","37.04","102.79","1.03","-0.6461","-0.6408","187F92100DAD975F7CF5B8423198DBCEFC64A1923708E4DCAC3F3F651621CA63"
"5","drns_fixed6","continuous_2015_2026","2015.01.01","2026.07.17","1","false","6.00","0.30","False","5E23ABDBD28719EBF086F691AF49A1DA260E0367B1BBF7DC6D0E6972D6E70A35","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","364.6","3.65","0.31","1.22","351","47.86","111.96","1.07","3.2565","3.4112","40A1F693D2EB757EBD721165C53B89A4D16A86FD9116CF2382E942AC14088F5C"
"6","drns_pct025","older_2015_2018","2015.01.01","2018.12.31","1","true","6.00","0.25","True","428B7ED480CD9183A959179A916D55477D43965AEA7F67383501166F859C1454","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","190.09","1.9","0.47","1.41","101","50.5","110.65","1.11","1.7179","1.7117","1F986523F8B63B26B98EBE95233C4BF7B7027BE7E1D0BD9C52F43FF7E8DBC644"
"7","drns_pct025","pre_2019_2020","2019.01.01","2020.12.31","1","true","6.00","0.25","True","428B7ED480CD9183A959179A916D55477D43965AEA7F67383501166F859C1454","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","74.62","0.75","0.37","1.22","72","47.22","88.88","0.89","0.8396","0.8427","BFF280AD60999317D2802E59836544F866677A7D80DAFF586E4D08237A797F30"
"8","drns_pct025","transition_2021_2023","2021.01.01","2023.12.31","1","true","6.00","0.25","True","428B7ED480CD9183A959179A916D55477D43965AEA7F67383501166F859C1454","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","103.87","1.04","0.35","1.21","110","49.09","102.69","1.02","1.0115","1.0196","1F71AB1AFD32BE62BB25A3B4D894F4D1C49D49BE80B2B994EF07D9E851F2A43E"
"9","drns_pct025","recent_2024_2026","2024.01.01","2026.07.17","1","true","6.00","0.25","True","428B7ED480CD9183A959179A916D55477D43965AEA7F67383501166F859C1454","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","-18.42","-0.18","-0.07","0.94","69","42.03","102.79","1.03","-0.1792","-0.1748","C9EFD5178A8BE0CFD0EC17B8F38DA1130D06F26CB2442697BB99333B80373E04"
"10","drns_pct025","continuous_2015_2026","2015.01.01","2026.07.17","1","true","6.00","0.25","True","428B7ED480CD9183A959179A916D55477D43965AEA7F67383501166F859C1454","E6AB84CA7780A47FDE04A01CB74966204220B91B2DA97B65F1095066A10D2F50","7DB6E68B540055739E9D4F6F6A74B37358DE1F9B286E22684009ADCDFDC5D7D4","PARSED","350.15","3.5","0.3","1.21","352","47.73","113.07","1.09","3.0968","3.211","A2500DF84C102EBBCBFA33A90781A45FF95FBEC5E68AC89222E0714FF00B4008"
