"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","ObservationEndHour","MinimumImpulseATR","MinimumEfficiency","MinimumDirectionalBarsPercent","MinimumPullbackRetracement","MaximumPullbackRetracement","PullbackLookbackBars","TakeProfitR","StopRule"
"1","sip_center","1","independent_m15_session_impulse_pullback","1","discovery_model1","sip_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_sip_center_older_2015_2018_m1.ini","sip_center_older_2015_2018_m1","profiles\sip_center.set","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"2","sip_center","1","independent_m15_session_impulse_pullback","1","discovery_model1","sip_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_sip_center_discovery_2019_2020_m1.ini","sip_center_discovery_2019_2020_m1","profiles\sip_center.set","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"3","sip_center","1","independent_m15_session_impulse_pullback","1","discovery_model1","sip_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_sip_center_continuous_2015_2020_m1.ini","sip_center_continuous_2015_2020_m1","profiles\sip_center.set","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"4","sip_end8","2","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end8.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_sip_end8_older_2015_2018_m1.ini","sip_end8_older_2015_2018_m1","profiles\sip_end8.set","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","8","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"5","sip_end8","2","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_sip_end8_discovery_2019_2020_m1.ini","sip_end8_discovery_2019_2020_m1","profiles\sip_end8.set","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","8","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"6","sip_end8","2","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_sip_end8_continuous_2015_2020_m1.ini","sip_end8_continuous_2015_2020_m1","profiles\sip_end8.set","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","8","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"7","sip_end10","3","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end10.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_sip_end10_older_2015_2018_m1.ini","sip_end10_older_2015_2018_m1","profiles\sip_end10.set","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","10","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"8","sip_end10","3","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end10.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_sip_end10_discovery_2019_2020_m1.ini","sip_end10_discovery_2019_2020_m1","profiles\sip_end10.set","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","10","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"9","sip_end10","3","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end10.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_sip_end10_continuous_2015_2020_m1.ini","sip_end10_continuous_2015_2020_m1","profiles\sip_end10.set","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","10","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"10","sip_impulse40","4","independent_m15_session_impulse_pullback","1","discovery_model1","sip_impulse40.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_sip_impulse40_older_2015_2018_m1.ini","sip_impulse40_older_2015_2018_m1","profiles\sip_impulse40.set","B6FC40AFF943FFF4610C3FB95BA0F2CD416F4E07FE48A9D2551B70F9C95B2F11","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.40","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"11","sip_impulse40","4","independent_m15_session_impulse_pullback","1","discovery_model1","sip_impulse40.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_sip_impulse40_discovery_2019_2020_m1.ini","sip_impulse40_discovery_2019_2020_m1","profiles\sip_impulse40.set","B6FC40AFF943FFF4610C3FB95BA0F2CD416F4E07FE48A9D2551B70F9C95B2F11","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.40","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
