"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","Started","Finished"
"1","1","wgf_center","older_2015_2018","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_center_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","15BDA1093B032C5CAC0F4EE02DF626D501D03CABB3154BABDFB1F3C9DBCBFA02","True","2026-07-17T21:54:59","2026-07-17T21:55:18"
"2","2","wgf_center","repair_2019_2020","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_center_repair_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","FEEFEB8EB42A159206FE5A0CCB019EA68514DB6DE2CB3D6C7CE73A836E7ACE4C","False","2026-07-17T21:57:32","2026-07-17T21:57:46"
"3","3","wgf_center","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_center_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","7355C77BE45F3EE35A92B7B81CCC1D62B9F0B8D3A05AF6A33760921CFAAD45C6","True","2026-07-17T21:54:59","2026-07-17T21:55:19"
"4","4","wgf_gap005","older_2015_2018","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap005_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","7D4F23FB8A3BBABFD5C11CA85BF447A52A417E7046CBF33C7E7AC92CCA41DC04","False","2026-07-17T21:57:33","2026-07-17T21:57:46"
"1","5","wgf_gap005","repair_2019_2020","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap005_repair_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","15BDA1093B032C5CAC0F4EE02DF626D501D03CABB3154BABDFB1F3C9DBCBFA02","False","2026-07-17T21:55:18","2026-07-17T21:55:32"
"2","6","wgf_gap005","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap005_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","FEEFEB8EB42A159206FE5A0CCB019EA68514DB6DE2CB3D6C7CE73A836E7ACE4C","False","2026-07-17T21:55:16","2026-07-17T21:55:30"
"3","7","wgf_gap012","older_2015_2018","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap012_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","7355C77BE45F3EE35A92B7B81CCC1D62B9F0B8D3A05AF6A33760921CFAAD45C6","False","2026-07-17T21:55:19","2026-07-17T21:55:35"
"4","8","wgf_gap012","repair_2019_2020","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap012_repair_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","7D4F23FB8A3BBABFD5C11CA85BF447A52A417E7046CBF33C7E7AC92CCA41DC04","False","2026-07-17T21:55:17","2026-07-17T21:55:32"
"1","9","wgf_gap012","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_gap012_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","15BDA1093B032C5CAC0F4EE02DF626D501D03CABB3154BABDFB1F3C9DBCBFA02","False","2026-07-17T21:55:32","2026-07-17T21:55:48"
"2","10","wgf_confirm000","older_2015_2018","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm000_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","FEEFEB8EB42A159206FE5A0CCB019EA68514DB6DE2CB3D6C7CE73A836E7ACE4C","False","2026-07-17T21:55:30","2026-07-17T21:55:44"
"3","11","wgf_confirm000","repair_2019_2020","REPORT_FOUND","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm000_repair_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","7355C77BE45F3EE35A92B7B81CCC1D62B9F0B8D3A05AF6A33760921CFAAD45C6","False","2026-07-17T21:55:35","2026-07-17T21:55:51"
