"QueueRank","Profile","Candidate","Phase","Set","Window","From","To","Model","Deposit","RiskScale","RVRiskPercent","MORiskPercent","ATBRiskPercent","PortfolioOpenRiskPercent","PackageConfig","ExpectedReportName","ReportDestination","ConfigSha256","SourceSha256","ProfileSha256"
"1","tlat_rc2_decomp_control","tlat_rc2_decomp_control","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","1","10000","control","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\001_tlat_rc2_decomp_control_older_2015_2018_m1.ini","tlat_rc2_decomp_control_older_2015_2018_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_control_older_2015_2018_m1","52F216AE1652E1C6EEC61EE0236938E0CE006F9B8B32B5AC38BACF012E8E0E7F","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","EA0538B304A850D5CE39DB59F49BF4E6D5FAF7755BB6F7E7F6FDDE90EBDA794B"
"2","tlat_rc2_decomp_control","tlat_rc2_decomp_control","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","1","10000","control","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\002_tlat_rc2_decomp_control_middle_2019_2022_m1.ini","tlat_rc2_decomp_control_middle_2019_2022_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_control_middle_2019_2022_m1","9D97E66BE495CFC862F5E5423F748CD8E8182915DFEFB9A11DBDE8013D6D1158","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","EA0538B304A850D5CE39DB59F49BF4E6D5FAF7755BB6F7E7F6FDDE90EBDA794B"
"3","tlat_rc2_decomp_control","tlat_rc2_decomp_control","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","1","10000","control","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\003_tlat_rc2_decomp_control_recent_2023_2026_m1.ini","tlat_rc2_decomp_control_recent_2023_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_control_recent_2023_2026_m1","D068B904CA940B28D8D37D0FFCCB2416E1117D8941FDC44A33DE4FEF0ECE7F03","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","EA0538B304A850D5CE39DB59F49BF4E6D5FAF7755BB6F7E7F6FDDE90EBDA794B"
"4","tlat_rc2_decomp_control","tlat_rc2_decomp_control","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","control","0.45","0.15","0.10","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\004_tlat_rc2_decomp_control_continuous_2015_2026_m1.ini","tlat_rc2_decomp_control_continuous_2015_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_control_continuous_2015_2026_m1","F472E5210F61E151D0190FE9AEE07D50B95E4199AE06E17E8530189A14161777","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","EA0538B304A850D5CE39DB59F49BF4E6D5FAF7755BB6F7E7F6FDDE90EBDA794B"
"5","tlat_rc2_decomp_atb125","tlat_rc2_decomp_atb125","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","1","10000","atb_1.25","0.45","0.15","0.125","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\005_tlat_rc2_decomp_atb125_older_2015_2018_m1.ini","tlat_rc2_decomp_atb125_older_2015_2018_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb125_older_2015_2018_m1","2D4FBA45ECCC45D67FA6B023B2AEE8E4F46B262271E0D5883A4CCEB3B49BAC67","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","87E108850E8E5AD6CFCF61134C5B3911707C9955DB1C50817493C9E33085C516"
"6","tlat_rc2_decomp_atb125","tlat_rc2_decomp_atb125","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","1","10000","atb_1.25","0.45","0.15","0.125","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\006_tlat_rc2_decomp_atb125_middle_2019_2022_m1.ini","tlat_rc2_decomp_atb125_middle_2019_2022_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb125_middle_2019_2022_m1","E4E55A05A2752DF3941EAA6113952F22B3394B4195393A7FF9B47C5D681BFBDF","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","87E108850E8E5AD6CFCF61134C5B3911707C9955DB1C50817493C9E33085C516"
"7","tlat_rc2_decomp_atb125","tlat_rc2_decomp_atb125","growthdecomp","trade_ready_rc2","recent_2023_2026","2023.01.01","2026.07.12","1","10000","atb_1.25","0.45","0.15","0.125","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\007_tlat_rc2_decomp_atb125_recent_2023_2026_m1.ini","tlat_rc2_decomp_atb125_recent_2023_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb125_recent_2023_2026_m1","2D9D14681CC02F6036FFC8EB8949B46BB8D95ED3F0EF511659369D1A1274B1C5","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","87E108850E8E5AD6CFCF61134C5B3911707C9955DB1C50817493C9E33085C516"
"8","tlat_rc2_decomp_atb125","tlat_rc2_decomp_atb125","growthdecomp","trade_ready_rc2","continuous_2015_2026","2015.01.01","2026.07.12","1","10000","atb_1.25","0.45","0.15","0.125","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\008_tlat_rc2_decomp_atb125_continuous_2015_2026_m1.ini","tlat_rc2_decomp_atb125_continuous_2015_2026_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb125_continuous_2015_2026_m1","7EDD2287DA3A1E00489553327052523B6989FECFA24AEEBD5B3A821D34E52D5D","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","87E108850E8E5AD6CFCF61134C5B3911707C9955DB1C50817493C9E33085C516"
"9","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecomp","trade_ready_rc2","older_2015_2018","2015.01.01","2018.12.31","1","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\009_tlat_rc2_decomp_atb150_older_2015_2018_m1.ini","tlat_rc2_decomp_atb150_older_2015_2018_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb150_older_2015_2018_m1","C0CDE7832F6CF2F974CA569308E3DC4B9BAA6793D7CE19F5D6319348B127895F","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
"10","tlat_rc2_decomp_atb150","tlat_rc2_decomp_atb150","growthdecomp","trade_ready_rc2","middle_2019_2022","2019.01.01","2022.12.31","1","10000","atb_1.50","0.45","0.15","0.15","0.75","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\configs\010_tlat_rc2_decomp_atb150_middle_2019_2022_m1.ini","tlat_rc2_decomp_atb150_middle_2019_2022_m1","outputs\three_lane_trade_ready_rc2_growth_decomp_model1_package\reports_here\tlat_rc2_decomp_atb150_middle_2019_2022_m1","A4D1DE8CFF5995FBF05E225849E6F6D30ECB619AD727E53D461B3E8D2403B836","2F1C1C74067DA6173EB4133DB75C0B0DB4DE7BE46F2BB7A453AEE044536B2158","705E2154CF6D123151B67757FFCA3EBF7D8BD525CD859E8237F89674CF70DC4E"
