"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit"
"1","","prev_jun_octdec","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","2507.85"
"2","","prev_jun_octdec","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"3","","prev_jun_octdec","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"4","","prev_jun_octdec","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","7210.3"
"5","","current_tp150_risk050","","","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","2186.33"
"6","","current_tp150_risk050","","","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.18"
"7","","current_tp150_risk050","","","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","1375.04"
"8","","current_tp150_risk050","","","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1974.32"
