Window,EntryTime,Lane,Volume,EntryBalance,InitialRiskMoney,InitialRiskPercent,HardCapPercent,Pass,EntryComment
2015_2018,2017-07-27T01:05:00,daily_donchian,0.01,10003.46,17.86,0.1785,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2015_2018,2017-09-20T12:00:00,momentum,0.03,10044.07,9.21,0.0917,0.10,True,MTSM_BUY
2015_2018,2017-10-12T11:00:00,momentum,0.02,10034.86,8.20,0.0817,0.10,True,MTSM_BUY
2015_2018,2017-11-15T12:00:00,momentum,0.01,10028.62,5.18,0.0517,0.10,True,MTSM_BUY
2015_2018,2017-11-20T01:05:00,daily_donchian,0.01,10023.44,17.83,0.1779,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2015_2018,2017-12-12T01:05:00,daily_donchian,0.01,10005.61,17.99,0.1798,0.50,True,DDB;DDB;Daily Donchian sell;AD
2015_2018,2018-01-03T04:45:00,daily_donchian,0.01,9987.38,14.96,0.1498,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2015_2018,2018-02-06T08:00:00,momentum,0.01,10001.50,7.92,0.0792,0.10,True,MTSM_BUY
2015_2018,2018-03-01T07:00:00,momentum,0.02,9998.65,7.12,0.0712,0.10,True,MTSM_SELL
2015_2018,2018-03-09T06:00:00,momentum,0.02,10012.91,8.78,0.0877,0.10,True,MTSM_SELL
2015_2018,2018-03-23T11:00:00,momentum,0.02,10010.17,8.68,0.0867,0.10,True,MTSM_BUY
2015_2018,2018-03-26T01:45:00,daily_donchian,0.01,10027.26,21.20,0.2114,0.50,True,DDB;DDB;Daily Donchian buy;ADX
2015_2018,2018-04-11T14:00:00,momentum,0.01,10005.80,5.15,0.0515,0.10,True,MTSM_BUY
2015_2018,2018-05-08T18:00:00,band_vwap_reversion,0.1,10016.09,24.60,0.2456,0.50,True,RRO;Band VWAP reversion;Lower-
2015_2018,2018-06-18T01:05:00,daily_donchian,0.01,10062.29,16.19,0.1609,0.50,True,DDB;DDB;Daily Donchian sell;AD
2015_2018,2018-09-28T15:00:00,band_vwap_reversion,0.1,10130.49,32.30,0.3188,0.50,True,RRO;Band VWAP reversion;Lower-
2015_2018,2018-10-08T13:00:00,momentum,0.02,10202.69,7.34,0.0719,0.10,True,MTSM_SELL
2015_2018,2018-10-29T14:00:00,momentum,0.03,10217.35,9.51,0.0931,0.10,True,MTSM_SELL
2015_2018,2018-11-05T19:00:00,momentum,0.02,10207.84,7.06,0.0692,0.10,True,MTSM_SELL
2015_2018,2018-11-08T12:00:00,momentum,0.03,10203.31,10.14,0.0994,0.10,True,MTSM_SELL
2015_2018,2018-11-12T01:30:00,daily_donchian,0.01,10193.17,18.32,0.1797,0.50,True,DDB;DDB;Daily Donchian sell;AD
2015_2018,2018-12-05T07:00:00,momentum,0.02,10174.46,8.40,0.0826,0.10,True,MTSM_SELL
2015_2018,2018-12-14T13:00:00,momentum,0.03,10168.92,7.77,0.0764,0.10,True,MTSM_SELL
2015_2018,2018-12-21T01:05:00,daily_donchian,0.01,10184.49,16.17,0.1588,0.50,True,DDB;DDB;Daily Donchian buy;ADX
