"Candidate","EvidencePhase","LeadLookbackBars","OlderNetProfit","OlderAnnualizedReturnPercent","OlderProfitFactor","OlderDrawdownPercent","OlderTrades","OlderGatePass","NewerNetProfit","NewerAnnualizedReturnPercent","NewerProfitFactor","NewerDrawdownPercent","NewerTrades","NewerGatePass","AggregateValidationNetScore","WorstEraNetProfit","NumericGatePass","NeighborhoodReproduced","AdjacentSupportPass","PromotionGatePass","ContinuousOpened","RecentDataOpened","Model4Opened","Verdict","Reason"
"xmll_lead4","Discovery","4","42.08","0.14","1.13","1.04","75","True","135.46","0.45","1.5","0.46","76","True","177.54","42.08","True","True","False","False","False","False","False","REJECTED_ISOLATED_LOOKBACK","The four-bar row reproduced, but both adjacent lookbacks failed both eras."
"xmll_xag125","Discovery","8","47.05","0.16","1.18","0.56","59","True","-32.76","-0.11","0.9","1.23","75","False","14.29","-32.76","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_lead5","Neighborhood","5","-25.83","-0.09","0.94","1.24","85","False","-33.47","-0.11","0.92","0.81","87","False","-59.3","-33.47","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_lead3","Neighborhood","3","-9.06","-0.03","0.98","1.25","78","False","-36.36","-0.12","0.9","0.84","79","False","-45.42","-36.36","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_lead7","Neighborhood","7","-41.02","-0.14","0.92","1.64","106","False","-2.62","-0.01","0.99","1.15","99","False","-43.64","-41.02","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_tp200","Discovery","8","-61.72","-0.21","0.87","1.12","89","False","-51.16","-0.17","0.89","1.39","105","False","-112.88","-61.72","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_lead6","Neighborhood","6","-39.13","-0.13","0.92","1.69","96","False","-61.94","-0.21","0.85","1.47","93","False","-101.07","-61.94","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_no_range","Discovery","8","-40.28","-0.13","0.94","1.1","137","False","-68.15","-0.23","0.89","0.92","144","False","-108.43","-68.15","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_xaumax100","Discovery","8","-80.41","-0.27","0.87","1.77","121","False","-79.03","-0.26","0.87","1.56","134","False","-159.44","-80.41","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_lead2","Neighborhood","2","-81.72","-0.27","0.75","1.36","64","False","-87.77","-0.29","0.69","1.02","53","False","-169.49","-87.77","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
"xmll_tol020","Discovery","8","-90","-0.3","0.83","1.27","103","False","-81.63","-0.27","0.85","1.37","119","False","-171.63","-90","False","False","False","False","False","False","False","REJECTED_BROAD_ERAS","The candidate failed at least one disjoint-era numeric gate."
