"QueueRank","Candidate","Phase","PhaseLabel","Window","Role","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_dgf_lossblock_model1_package\configs\001_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\001_re_may140_late15_dgf_liq_reject1_cush50_2019_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2019_m1","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"2","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_dgf_lossblock_model1_package\configs\002_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\002_re_may140_late15_dgf_liq_reject1_cush50_2021_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2021_m1","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"3","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_dgf_lossblock_model1_package\configs\003_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\003_re_may140_late15_dgf_liq_reject1_cush50_2023_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2023_m1","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"4","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_dgf_lossblock_model1_package\configs\004_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\004_re_may140_late15_dgf_liq_reject1_cush50_2024_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2024_m1","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"5","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2025_full","profit_control","1","outputs\range_elite_dgf_lossblock_model1_package\configs\005_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\005_re_may140_late15_dgf_liq_reject1_cush50_2025_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2025_m1","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"6","re_may140_late15_dgf_liq_reject1_cush50","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2026_ytd","high_dd_recent","1","outputs\range_elite_dgf_lossblock_model1_package\configs\006_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\006_re_may140_late15_dgf_liq_reject1_cush50_2026_ytd_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_2026ytd_m1","94D72420AB9D5750912522CB4D7E3F14A9BA2D2EA3DB0D85F0508BB6530D3300","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"7","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_dgf_lossblock_model1_package\configs\007_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\007_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2019_m1","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"8","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_dgf_lossblock_model1_package\configs\008_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\008_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2021_m1","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"9","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_dgf_lossblock_model1_package\configs\009_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\009_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2023_m1","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"10","re_may140_late15_dgf_liq_reject1_cush50_dgflossblock","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_dgf_lossblock_model1_package\configs\010_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_full_m1.ini","outputs\range_elite_dgf_lossblock_model1_package\configs\010_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_full_m1.ini","re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_m1","outputs\range_elite_dgf_lossblock_model1_package\reports_here\re_risk_re_may140_late15_dgf_liq_reject1_cush50_dgflossblock_2024_m1","BA8C99E7ACE32103F487CD15E03D1A1041DB28482B23057D07849009EF42A217","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
