Profile,Eligible,DonchianRiskPercent,ReversionRiskPercent,CombinedDesiredRiskPercent,OpenRiskCapPercent,Score,NetProfit,EndingBalance,TotalReturnPercent,AnnualizedReturnPercent,CagrPercent,ProfitFactor,Trades,SkippedTrades,ScaledTrades,MaxClosedDrawdownPercent,MaxRiskFloorDrawdownPercent,MaxOpenRiskPercent,RecoveryFactor,ReturnDrawdown,RedYears,InactiveYears,WorstYear,WorstYearNet,LargestYearSharePercent,WorstRolling12MonthNet,NegativeRolling12MonthWindows,MaxConsecutiveLosses,BaseOlder2015_2018Net,BaseMiddle2019_2022Net,BaseRecent2023_2026Net,StressRPerTrade,StressNetProfit,StressProfitFactor,StressMaxRiskFloorDrawdownPercent,StressRedYears,StressOlder2015_2018Net,StressMiddle2019_2022Net,StressRecent2023_2026Net
dd0.175_rv0.325,False,0.175,0.325,0.5,1.0,0.1965,1072.14,11072.14,10.72,0.93,0.89,1.833,92,0,0,1.88,2.2,0.5,4.77,4.88,2,0,2017,-91.03,30.72,-162.19,32,8,148.95,436.72,486.49,0.05,949.86,1.704,2.31,2,116.69,384.23,448.94
dd0.250_rv0.250,False,0.25,0.25,0.5,1.0,-0.791,928.72,10928.72,9.29,0.81,0.77,1.698,92,0,0,2.2,2.44,0.5,3.72,3.81,2,0,2017,-145.43,23.38,-181.84,29,8,138.01,340.51,450.2,0.05,803.93,1.576,2.57,2,103.9,286.05,413.99
dd0.100_rv0.400,False,0.1,0.4,0.5,1.0,-0.9815,1215.49,11215.49,12.15,1.05,1.0,1.977,92,0,0,1.75,2.14,0.5,5.51,5.68,3,0,2017,-36.73,36.37,-142.54,33,8,159.38,533.27,522.84,0.05,1095.83,1.842,2.25,3,128.98,482.87,483.97
dd0.325_rv0.175,False,0.325,0.175,0.5,1.0,-1.8445,785.27,10785.27,7.85,0.68,0.66,1.571,92,0,0,2.52,2.69,0.5,2.85,2.92,2,0,2017,-199.94,21.09,-206.32,31,8,126.59,244.67,414.01,0.05,658.09,1.456,2.94,2,90.61,188.31,379.16
dd0.400_rv0.100,False,0.4,0.1,0.5,1.0,-8.3535,641.85,10641.85,6.42,0.56,0.54,1.453,92,0,0,2.95,3.25,0.5,1.92,1.97,4,0,2017,-254.55,32.05,-254.55,41,8,114.68,149.25,377.94,0.05,512.39,1.344,3.52,5,76.85,91.1,344.45
