"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","StopLookbackBars","StopBufferATR","MinimumStopATR","MaximumStopATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","RunnerSourceSha256","PortableBinarySha256"
"1","ods2_center","1","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_ods2_center_older_2015_2018_m1.ini","ods2_center_older_2015_2018_m1","profiles\ods2_center.set","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_center_older_2015_2018_m1.htm","EEB8310F0B47B69EC55A411ED9C111B567CCE9CC8EFD3041558BCFE3FD1490D5","10000","1460","3.9973","16.16","10016.16","0.16","0.04","0.04","1.03","0.13","0.66","46.34","123","10","165.04","1.63","152.96","165.04","0.0979","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"3","ods2_center","1","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_ods2_center_discovery_2019_2020_m1.ini","ods2_center_discovery_2019_2020_m1","profiles\ods2_center.set","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_center_discovery_2019_2020_m1.htm","F7CDB9D9631E0E631997DC03736E56DC2C058B99F27FABB93516AB026B37A82F","10000","730","1.9986","13.31","10013.31","0.13","0.07","0.07","1.07","0.28","1.67","54.17","48","5","65.54","0.65","56.06","65.54","0.2031","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
"4","ods2_center","1","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_ods2_center_continuous_2015_2020_m1.ini","ods2_center_continuous_2015_2020_m1","profiles\ods2_center.set","4062B3A72E0136DEC90DC626504BBDD0978771242B9DC756B3FE22B7D742F5CC","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_center_continuous_2015_2020_m1.htm","B97092AAC487644A8FCD1739A5E9F99F54718B8F009628E87F9CC526DC87C77A","10000","2191","5.9986","34.47","10034.47","0.34","0.06","0.06","1.04","0.2","1.06","48.54","171","10","165.04","1.63","152.96","165.04","0.2089","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"6","ods2_lookback3","2","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback3.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_ods2_lookback3_older_2015_2018_m1.ini","ods2_lookback3_older_2015_2018_m1","profiles\ods2_lookback3.set","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","3","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback3_older_2015_2018_m1.htm","5959A53E45081413B3CAC61488DDE29FCA4B6B204556CD9A32136A451F18A304","10000","1460","3.9973","-80.76","9919.24","-0.81","-0.2","-0.2","0.87","-0.66","-3.67","43.9","123","9","164.46","1.64","154.07","164.46","-0.4911","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
"7","ods2_lookback3","2","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback3.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_ods2_lookback3_discovery_2019_2020_m1.ini","ods2_lookback3_discovery_2019_2020_m1","profiles\ods2_lookback3.set","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","3","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback3_discovery_2019_2020_m1.htm","F0BF874878222C977D5BC0A5708B841B2B097D1147B4BF7B959D3A1B70DCD00B","10000","730","1.9986","23.51","10023.51","0.24","0.12","0.12","1.12","0.48","2.81","55.1","49","5","64.51","0.64","54.85","64.51","0.3644","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"9","ods2_lookback3","2","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback3.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_ods2_lookback3_continuous_2015_2020_m1.ini","ods2_lookback3_continuous_2015_2020_m1","profiles\ods2_lookback3.set","236F7D4F11372E016994D34811E5B72FC91BDC2A410C420EF68F961E8A17B266","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","3","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback3_continuous_2015_2020_m1.htm","F5BB046A0E9DACC93FAADB299D5A78FF2A6653EDDFB6F581E448F22269ABE136","10000","2191","5.9986","-56.15","9943.85","-0.56","-0.09","-0.09","0.93","-0.33","-1.85","47.09","172","9","164.46","1.64","154.07","164.46","-0.3414","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
"10","ods2_lookback6","3","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback6.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_ods2_lookback6_older_2015_2018_m1.ini","ods2_lookback6_older_2015_2018_m1","profiles\ods2_lookback6.set","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","6","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback6_older_2015_2018_m1.htm","42AC1E75D029728830A54F75ED13F1B2D6265D4C8BEB76A460226E24C01FEFF1","10000","1460","3.9973","102.56","10102.56","1.03","0.26","0.26","1.19","0.83","3.75","50.81","124","9","103.33","1.02","88.4","103.33","0.9925","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"12","ods2_lookback6","3","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback6.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_ods2_lookback6_discovery_2019_2020_m1.ini","ods2_lookback6_discovery_2019_2020_m1","profiles\ods2_lookback6.set","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","6","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback6_discovery_2019_2020_m1.htm","6BE5F3528FE8D901BFED95925436187767F8F6519B9963A00991E8EEF1BD215D","10000","730","1.9986","9.25","10009.25","0.09","0.05","0.05","1.05","0.2","1.16","52.17","46","5","69.6","0.7","62.64","69.6","0.1329","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
"13","ods2_lookback6","3","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_lookback6.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_ods2_lookback6_continuous_2015_2020_m1.ini","ods2_lookback6_continuous_2015_2020_m1","profiles\ods2_lookback6.set","B0B6D2A5E68CC0560938E3A0E6F264ABA1D1731F4D4708D0D795A38E3C072FBE","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","6","0.05","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_lookback6_continuous_2015_2020_m1.htm","8F0C5C464BE32E7C311B7981182304939B529316F9A83BFD4C0C3132E31C720D","10000","2191","5.9986","114.17","10114.17","1.14","0.19","0.19","1.15","0.67","3.22","51.18","170","9","103.33","1.02","88.4","103.33","1.1049","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","9E246182FAF1CD1E16C1CBF88EB1E50057B5434FCA246C526F87E4C5DB228CF5"
"15","ods2_buffer02","4","independent_m15_overnight_drift_structure_v2","1","discovery_model1","ods2_buffer02.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_ods2_buffer02_older_2015_2018_m1.ini","ods2_buffer02_older_2015_2018_m1","profiles\ods2_buffer02.set","29EFF4AAF2329E4FD427B2CB995B5569F112BC1CFFD3BF6C12FD30C5B31AB651","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","4","0.02","0.05","0.35","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_structure_v2_discovery_model1_package\reports_here\ods2_buffer02_older_2015_2018_m1.htm","A8A01BCBB0AAB23EE2E8AEAF9C93D17280107DE72C7CE0112A774AAE31F2AF56","10000","1460","3.9973","-136.66","9863.34","-1.37","-0.34","-0.34","0.78","-1.13","-5","43.8","121","11","219.43","2.19","204.7","219.43","-0.6228","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","2E98481FBE42F58B61CB824652CA58FED62C0A005FD14EEB6C5B4110D4C56AE6","014CBAC91645B006F255D5F33CECA664CC6DEFB4015BA41467A8BA5904C89318"
