"QueueRank","Rank","Wave","Phase","Role","Candidate","Profile","Set","Window","From","To","Model","Deposit","InitialDeposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","ConfigSha256","MinNetProfit","MinProfitFactor","MinTrades","MaxDrawdownPercent","MinRecoveryFactor","MinCagrPercent","MaxParallelism","StopRule","Status"
"13","13","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2015","2015.01.01","2015.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\013_rdmc_mrgr_exec_w05_m4_annual_2015.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\013_rdmc_mrgr_exec_w05_m4_annual_2015.ini","rdmc_mrgr_exec_w05_m4_annual_2015","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2015","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","2EC853CFDBB44D70F433F575A5B0462E88D21772FD154852EE6A79EE672714B3","0.01","1","8","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"14","14","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2016","2016.01.01","2016.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\014_rdmc_mrgr_exec_w05_m4_annual_2016.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\014_rdmc_mrgr_exec_w05_m4_annual_2016.ini","rdmc_mrgr_exec_w05_m4_annual_2016","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2016","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","7AB517747C89D3AEF3FB352DF12D844FEC9395934DAE96D2B0721DDB0B403394","0.01","1","15","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"15","15","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2017","2017.01.01","2017.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\015_rdmc_mrgr_exec_w05_m4_annual_2017.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\015_rdmc_mrgr_exec_w05_m4_annual_2017.ini","rdmc_mrgr_exec_w05_m4_annual_2017","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2017","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","3202164F3063DC5A6EEFB9D7B3556F92713C51F584734E94AC8AFAA4D706666A","0.01","1","20","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"16","16","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2018","2018.01.01","2018.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\016_rdmc_mrgr_exec_w05_m4_annual_2018.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\016_rdmc_mrgr_exec_w05_m4_annual_2018.ini","rdmc_mrgr_exec_w05_m4_annual_2018","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2018","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","873F4EADFA2E590CB6FD2E94B3373C5E9716BCA3C87A2D7474F21FCDE828BEF8","0.01","1","20","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"17","17","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2019","2019.01.01","2019.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\017_rdmc_mrgr_exec_w05_m4_annual_2019.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\017_rdmc_mrgr_exec_w05_m4_annual_2019.ini","rdmc_mrgr_exec_w05_m4_annual_2019","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2019","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","977F3A7A33C0A14716A0E0CB462E0926A10E60936C68DF1F618E930113B5A4ED","0.01","1","15","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"18","18","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2020","2020.01.01","2020.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\018_rdmc_mrgr_exec_w05_m4_annual_2020.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\018_rdmc_mrgr_exec_w05_m4_annual_2020.ini","rdmc_mrgr_exec_w05_m4_annual_2020","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2020","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","EC3102C0A40DDE36B338573D2F24B7BB54C21D3BE3E7C7201702F639F8E6C3B7","0.01","1","12","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"19","19","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2021","2021.01.01","2021.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\019_rdmc_mrgr_exec_w05_m4_annual_2021.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\019_rdmc_mrgr_exec_w05_m4_annual_2021.ini","rdmc_mrgr_exec_w05_m4_annual_2021","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2021","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","8A132250046B7F46E3459BA5163A8BBEBD8870B0CD29FF2EE131595E5E9A42D2","0.01","1","15","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"20","20","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2022","2022.01.01","2022.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\020_rdmc_mrgr_exec_w05_m4_annual_2022.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\020_rdmc_mrgr_exec_w05_m4_annual_2022.ini","rdmc_mrgr_exec_w05_m4_annual_2022","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2022","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","E2034A31B55353D5F416A1199BE93F0616F5C58515BD1BECEF98554A59024A23","0.01","1","20","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"21","21","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2023","2023.01.01","2023.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\021_rdmc_mrgr_exec_w05_m4_annual_2023.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\021_rdmc_mrgr_exec_w05_m4_annual_2023.ini","rdmc_mrgr_exec_w05_m4_annual_2023","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2023","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","ECE89E4F0ECF5BF26CF1754CB2FAFEC396EB4F9D710384B121914C308DEE5FB6","0.01","1","20","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
"22","22","5","wave_05_m4_annual","annual","rdmc_money_ready_gate_repair_v1","rdmc_money_ready_gate_repair_v1","frozen_gate_repair","2024","2024.01.01","2024.12.31","4","10000","10000","outputs\rdmc_money_ready_gate_repair_executable_package\configs\022_rdmc_mrgr_exec_w05_m4_annual_2024.ini","outputs\rdmc_money_ready_gate_repair_executable_package\configs\022_rdmc_mrgr_exec_w05_m4_annual_2024.ini","rdmc_mrgr_exec_w05_m4_annual_2024","outputs\rdmc_money_ready_gate_repair_executable_package\reports_here\rdmc_mrgr_exec_w05_m4_annual_2024","8A2D3B36ACD6A7B754B20A5D8AF8A98ED2F2AFD739B03CC3EE1A82BD8C2E3E3E","104F1B2D77876FA9856C8BECF7BF2D81DAB187F54BF3ED12C07493BCD6F6D6C8","C316C8393E20DF1B6BF5B0E2FEF055AFA7D5D36F4D27D76BCC87CC3F25A7FFCB","0.01","1","15","3","0","0","6","Require all 12 annual/YTD real-tick rows profitable, within the activity and 3% drawdown floors, then enforce annual-sum/continuous-net consistency of 0.75x to 1.25x.","LOCKED_LOCAL_LAUNCH_DISABLED"
