"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","r10_base","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2019_full","1","outputs\peak_r20_oos_yearly_package\configs\001_r10_base_2019_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\001_r10_base_2019_full_m1.ini","peak_r20_oos_r10_base_2019_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_base_2019_full_m1","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"2","r10_base","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2020_full","1","outputs\peak_r20_oos_yearly_package\configs\002_r10_base_2020_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\002_r10_base_2020_full_m1.ini","peak_r20_oos_r10_base_2020_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_base_2020_full_m1","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"3","r10_base","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2021_full","1","outputs\peak_r20_oos_yearly_package\configs\003_r10_base_2021_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\003_r10_base_2021_full_m1.ini","peak_r20_oos_r10_base_2021_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_base_2021_full_m1","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"4","r10_base","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2022_full","1","outputs\peak_r20_oos_yearly_package\configs\004_r10_base_2022_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\004_r10_base_2022_full_m1.ini","peak_r20_oos_r10_base_2022_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_base_2022_full_m1","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"5","r10_base","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2023_full","1","outputs\peak_r20_oos_yearly_package\configs\005_r10_base_2023_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\005_r10_base_2023_full_m1.ini","peak_r20_oos_r10_base_2023_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_base_2023_full_m1","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"6","r10_base","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2024_full","1","outputs\peak_r20_oos_yearly_package\configs\006_r10_base_2024_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\006_r10_base_2024_full_m1.ini","peak_r20_oos_r10_base_2024_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_base_2024_full_m1","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"7","r10_base","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2025_full","1","outputs\peak_r20_oos_yearly_package\configs\007_r10_base_2025_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\007_r10_base_2025_full_m1.ini","peak_r20_oos_r10_base_2025_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_base_2025_full_m1","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"8","r10_base","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2026_ytd","1","outputs\peak_r20_oos_yearly_package\configs\008_r10_base_2026_ytd_m1.ini","outputs\peak_r20_oos_yearly_package\configs\008_r10_base_2026_ytd_m1.ini","peak_r20_oos_r10_base_2026_ytd_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_base_2026_ytd_m1","88CBC2C42EC5C591966A77F0F4CD25D1942220D4195A771504ACCC3DDC7DDB9E","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"9","r10_loss_scale_15","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2019_full","1","outputs\peak_r20_oos_yearly_package\configs\009_r10_loss_scale_15_2019_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\009_r10_loss_scale_15_2019_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2019_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_loss_scale_15_2019_full_m1","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
"10","r10_loss_scale_15","phase2_oos_yearly_model1","Peak R20 R10 OOS yearly Model1","2020_full","1","outputs\peak_r20_oos_yearly_package\configs\010_r10_loss_scale_15_2020_full_m1.ini","outputs\peak_r20_oos_yearly_package\configs\010_r10_loss_scale_15_2020_full_m1.ini","peak_r20_oos_r10_loss_scale_15_2020_full_m1","outputs\peak_r20_oos_yearly_package\reports_here\peak_r20_oos_r10_loss_scale_15_2020_full_m1","CBACFF055A796C46779E707281728BA525C8B59AB55168025BE05DAE80AB86F5","Reject money-ready claims if older/yearly windows are red, too sparse, or show unstable drawdown/profit quality."
