"QueueRank","Candidate","Role","StrongSignalRiskEnabled","ProtectionEnabled","ProtectionTriggerR","ProtectionLockR","Window","From","To","Model","ProfileSha256","SourceSha256","BinarySha256","Status","NetProfit","TotalReturnPercent","CagrPercent","ProfitFactor","TotalTrades","WinRatePercent","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor","ReturnDrawdown","SharpeRatio","MaxConsecutiveLosses","ReportSha256"
"1","rvssp_control","control","false","false","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","5646ADAAD6817F65D21B1553DDF481B7F24B1C505ABE4D11379A486F60ED52C4","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","0388BEC4A5800C932DE139F8897F5892635253E37EC591C9EE878E8C5116EC24"
"2","rvssp_control","control","false","false","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","5646ADAAD6817F65D21B1553DDF481B7F24B1C505ABE4D11379A486F60ED52C4","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","694.54","6.95","1.69","1.81","141","41.84","121.19","1.17","5.731","5.9402","5.47","8","6DCBBDA95617FA4085CDAE1FDC693CF671333CD6E8C92BF69199D1B3626A4B93"
"3","rvssp_control","control","false","false","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","5646ADAAD6817F65D21B1553DDF481B7F24B1C505ABE4D11379A486F60ED52C4","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","601.99","6.02","1.67","2.28","76","48.68","127.62","1.2","4.7171","5.0167","5.46","6","B24656B3556928523BC690DDC4EA78C02FF6E4EBB49CEF86D5A162F4CA3C1A1E"
"4","rvssp_control","control","false","false","1","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","5646ADAAD6817F65D21B1553DDF481B7F24B1C505ABE4D11379A486F60ED52C4","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","2195.53","21.96","1.74","1.83","415","44.82","138.81","1.17","15.8168","18.7692","4.58","8","A6F3E74E4DFCE36B3855B5E4D1DEACA17D309BE34D27FBA3E0B0B4D6DD53F805"
"5","rvssp_strong_only","strong_control","true","false","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","92361F1DAE688335F2F08F46D37F2E4C726139CEE6AD676FA01EA6BD39B1B19E","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","C97D07E0B7DCE020DF866629668D432C786274D12AC8C3C5A65970030FEF2B80"
"6","rvssp_strong_only","strong_control","true","false","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","92361F1DAE688335F2F08F46D37F2E4C726139CEE6AD676FA01EA6BD39B1B19E","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","4A2C00F4A1C75760553BA98318540D409599696F12B869608D98944F5A726E18"
"7","rvssp_strong_only","strong_control","true","false","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","92361F1DAE688335F2F08F46D37F2E4C726139CEE6AD676FA01EA6BD39B1B19E","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","D2FDCD06653A885C39459FFC2289C9A7BB0C31DC89210AFDFE0E339EDF95B43F"
"8","rvssp_strong_only","strong_control","true","false","1","0.1","continuous_2015_2026","2015.01.01","2026.07.12","1","92361F1DAE688335F2F08F46D37F2E4C726139CEE6AD676FA01EA6BD39B1B19E","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","2391.89","23.92","1.88","1.89","415","44.82","144.42","1.21","16.562","19.7686","4.65","8","2F96F5C77BCCD2875B405A75F3F16240EB453269DC6A12653FEAC712B9BA7B36"
"9","rvssp_lock005","lower_neighbor","true","true","1","0.05","older_2015_2018","2015.01.01","2018.12.31","1","5530B4F62BDC7A8074C750A9A0459A4C69561D5DB505983BCA48CBE259A513ED","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","A88003B9707699870CEA684EF9DEE4CA128C58987A2E20813FB1BF47A1F3AFD1"
"10","rvssp_lock005","lower_neighbor","true","true","1","0.05","middle_2019_2022","2019.01.01","2022.12.31","1","5530B4F62BDC7A8074C750A9A0459A4C69561D5DB505983BCA48CBE259A513ED","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","5D79E5D9DFC52252DE1DC4F071A2E4D458DCAD56EFC536F8311CCC8689E9D689"
"11","rvssp_lock005","lower_neighbor","true","true","1","0.05","recent_2023_2026","2023.01.01","2026.07.12","1","5530B4F62BDC7A8074C750A9A0459A4C69561D5DB505983BCA48CBE259A513ED","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","5B5DA1BD10B2DA34B6FD202DA89C5B1E216792B1F66804F05DA20CCA48684341"
"12","rvssp_lock005","lower_neighbor","true","true","1","0.05","continuous_2015_2026","2015.01.01","2026.07.12","1","5530B4F62BDC7A8074C750A9A0459A4C69561D5DB505983BCA48CBE259A513ED","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","2391.89","23.92","1.88","1.89","415","44.82","144.42","1.21","16.562","19.7686","4.65","8","865E8855616119DF41F0260CEB47C89E297A062F6DCDB573A138D3A233D9FE77"
"13","rvssp_center","center","true","true","1","0.1","older_2015_2018","2015.01.01","2018.12.31","1","0A07BC3AAF29E25D3C0D12D1DC22045AE1BDEABF96F9D2424CDE15CCED49016D","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","860.86","8.61","2.09","1.79","187","44.92","105.51","1.01","8.159","8.5248","5.1","6","317C37931982325868181DA4DD80172A81FAE2B8B7E75F6371D426F8B866D2CF"
"14","rvssp_center","center","true","true","1","0.1","middle_2019_2022","2019.01.01","2022.12.31","1","0A07BC3AAF29E25D3C0D12D1DC22045AE1BDEABF96F9D2424CDE15CCED49016D","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","752.95","7.53","1.83","1.88","141","41.84","127.98","1.24","5.8833","6.0726","5.53","8","6F1C988A6F5FC16F8F24C4C6DE3690E70D79D5668DC1B17E1B63C23020DCA434"
"15","rvssp_center","center","true","true","1","0.1","recent_2023_2026","2023.01.01","2026.07.12","1","0A07BC3AAF29E25D3C0D12D1DC22045AE1BDEABF96F9D2424CDE15CCED49016D","9810F048C62E93C217FB955DA51A4364055BF7806EFC739B37621E3B251F9206","88FF0942B85D70C0530DDCC94ADCF5A64857605545C3B20AFCDD564390099EA5","PARSED","682.6","6.83","1.89","2.42","76","48.68","127.62","1.2","5.3487","5.6917","5.72","6","935D1EF32BFFDB313EE43853280CF4BD5E18A1536CA1CC1109F9DD8C4C6CC42D"
