"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","Started","Finished"
"2","14","tlr_q21","repair_2019","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","34B841E9EA32518C2438CEC7D465E4986505B2C24AB78E7BB57A0889012BFAC1","False","2026-07-17T23:42:32","2026-07-17T23:42:46"
"3","15","tlr_q21","repair_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","DE0A8F04C397CEB8C6E7ABDA5EDE28ECDDEA017D40D82A75DE72B3A034FACB97","False","2026-07-17T23:42:36","2026-07-17T23:42:50"
"4","16","tlr_q21","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_q21_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","424F39197E0439238989B9FD3F0E4AADFD4EF45BFD361816D22DC95928B0D4E0","False","2026-07-17T23:42:31","2026-07-17T23:42:45"
"1","17","tlr_body30","older_2015_2018","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_body30_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","AD64A875CD7ECADC51085137810E033C980EADE5736C3E46F27E049EA08FDACF","False","2026-07-17T23:42:52","2026-07-17T23:43:07"
"2","18","tlr_body30","repair_2019","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_body30_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","34B841E9EA32518C2438CEC7D465E4986505B2C24AB78E7BB57A0889012BFAC1","False","2026-07-17T23:42:46","2026-07-17T23:43:00"
"3","19","tlr_body30","repair_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_body30_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","DE0A8F04C397CEB8C6E7ABDA5EDE28ECDDEA017D40D82A75DE72B3A034FACB97","False","2026-07-17T23:42:50","2026-07-17T23:43:04"
"4","20","tlr_body30","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_body30_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","424F39197E0439238989B9FD3F0E4AADFD4EF45BFD361816D22DC95928B0D4E0","False","2026-07-17T23:42:45","2026-07-17T23:43:01"
"1","21","tlr_lookback08","older_2015_2018","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback08_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","AD64A875CD7ECADC51085137810E033C980EADE5736C3E46F27E049EA08FDACF","False","2026-07-17T23:43:07","2026-07-17T23:43:23"
"2","22","tlr_lookback08","repair_2019","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback08_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","34B841E9EA32518C2438CEC7D465E4986505B2C24AB78E7BB57A0889012BFAC1","False","2026-07-17T23:43:00","2026-07-17T23:43:14"
"3","23","tlr_lookback08","repair_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback08_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","DE0A8F04C397CEB8C6E7ABDA5EDE28ECDDEA017D40D82A75DE72B3A034FACB97","False","2026-07-17T23:43:04","2026-07-17T23:43:18"
"4","24","tlr_lookback08","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback08_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","424F39197E0439238989B9FD3F0E4AADFD4EF45BFD361816D22DC95928B0D4E0","False","2026-07-17T23:43:01","2026-07-17T23:43:17"
"1","25","tlr_lookback20","older_2015_2018","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","AD64A875CD7ECADC51085137810E033C980EADE5736C3E46F27E049EA08FDACF","False","2026-07-17T23:43:23","2026-07-17T23:43:38"
"2","26","tlr_lookback20","repair_2019","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_repair_2019_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","34B841E9EA32518C2438CEC7D465E4986505B2C24AB78E7BB57A0889012BFAC1","False","2026-07-17T23:43:14","2026-07-17T23:43:28"
"3","27","tlr_lookback20","repair_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_repair_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","DE0A8F04C397CEB8C6E7ABDA5EDE28ECDDEA017D40D82A75DE72B3A034FACB97","False","2026-07-17T23:43:18","2026-07-17T23:43:33"
"4","28","tlr_lookback20","continuous_2015_2020","REPORT_FOUND","outputs\independent_m15_trend_liquidity_reclaim_discovery_model1_package\reports_here\tlr_lookback20_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","67167ACC0BFEA04357EE17195C30320342DEE0D566F2C94E01CC1BF521F26002","424F39197E0439238989B9FD3F0E4AADFD4EF45BFD361816D22DC95928B0D4E0","False","2026-07-17T23:44:53","2026-07-17T23:45:08"
