"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","1","discovery_model1","dnrb_center","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_center_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_older_2015_2018_m1.htm","10000","1460","3.9973","-6.28","9993.72","-0.06","-0.02","-0.02","0.68","-0.9","-0.25","28.57","7","3","33.59","0.34","18.45","33.59","-0.187"
"2","2","discovery_model1","dnrb_center","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_center_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_discovery_2019_2020_m1.htm","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","11.02","15.06","-0.7317"
"3","3","discovery_model1","dnrb_center","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_center_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_continuous_2015_2020_m1.htm","10000","2191","5.9986","-17.3","9982.7","-0.17","-0.03","-0.03","0.43","-1.73","-1.08","20","10","3","33.59","0.34","18.45","33.59","-0.515"
"4","4","discovery_model1","dnrb_nr5","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_nr5_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_older_2015_2018_m1.htm","10000","1460","3.9973","-6.28","9993.72","-0.06","-0.02","-0.02","0.68","-0.9","-0.25","28.57","7","3","33.59","0.34","18.45","33.59","-0.187"
"5","5","discovery_model1","dnrb_nr5","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_nr5_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_discovery_2019_2020_m1.htm","10000","730","1.9986","-7.06","9992.94","-0.07","-0.04","-0.04","0.36","-1.77","-0.29","25","4","2","17.9","0.18","8.5","17.9","-0.3944"
"6","6","discovery_model1","dnrb_nr5","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_nr5_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_continuous_2015_2020_m1.htm","10000","2191","5.9986","-13.34","9986.66","-0.13","-0.02","-0.02","0.56","-1.21","-0.92","27.27","11","3","33.59","0.34","18.45","33.59","-0.3971"
"7","7","discovery_model1","dnrb_nr10","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_nr10_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_older_2015_2018_m1.htm","10000","1460","3.9973","6.24","10006.24","0.06","0.02","0.02","1.9","1.25","0.2","40","5","2","21.07","0.21","5.93","21.07","0.2962"
"8","8","discovery_model1","dnrb_nr10","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_nr10_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_discovery_2019_2020_m1.htm","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"9","9","discovery_model1","dnrb_nr10","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_nr10_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_continuous_2015_2020_m1.htm","10000","2191","5.9986","6.24","10006.24","0.06","0.01","0.01","1.9","1.25","0.2","40","5","2","21.07","0.21","5.93","21.07","0.2962"
"10","10","discovery_model1","dnrb_maxatr070","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_maxatr070_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr070_older_2015_2018_m1.htm","10000","1460","3.9973","1.62","10001.62","0.02","0","0","1.14","0.27","0.05","33.33","6","3","25.69","0.26","10.55","25.69","0.0631"
"11","11","discovery_model1","dnrb_maxatr070","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_maxatr070_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr070_discovery_2019_2020_m1.htm","10000","730","1.9986","-8.5","9991.5","-0.08","-0.04","-0.04","0","-8.5","-0.11","0","1","1","11.8","0.12","8.5","11.8","-0.7203"
"12","12","discovery_model1","dnrb_maxatr070","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_maxatr070_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr070_continuous_2015_2020_m1.htm","10000","2191","5.9986","-6.88","9993.12","-0.07","-0.01","-0.01","0.66","-0.98","-0.28","28.57","7","3","25.69","0.26","10.55","25.69","-0.2678"
"13","13","discovery_model1","dnrb_maxatr100","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_maxatr100_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr100_older_2015_2018_m1.htm","10000","1460","3.9973","-6.28","9993.72","-0.06","-0.02","-0.02","0.68","-0.9","-0.25","28.57","7","3","33.59","0.34","18.45","33.59","-0.187"
